Assemblage_Name	7265853-4-4	3-3-3	2-2-9654220	7265853-5290244-4	2-2-0	2-2-7242498	2-4397786-0	2-4-9333913	1-3-2	8591242-4-4	2-4-4	6469948-4-4	7112268-2-0	2-9404733-4
assemblage-677-600	0	15	0	0	158	0	0	0	0	14	274	34	0	5
assemblage-909-174	0	0	0	0	110	0	0	0	0	49	232	78	24	7
assemblage-410-115	67	0	0	0	114	0	39	0	0	26	186	58	0	3
assemblage-730-265	0	39	32	0	118	0	0	0	0	61	106	125	0	19
assemblage-835-941	0	223	0	0	0	0	0	0	0	0	94	9	0	18
assemblage-496-703	22	0	0	0	102	0	51	15	0	18	235	6	0	8
assemblage-113-959	0	22	0	0	94	0	0	0	110	0	186	72	0	8
assemblage-432-775	59	0	0	0	159	0	11	0	0	6	211	10	7	8
assemblage-370-178	0	39	0	0	103	0	0	0	1	0	299	39	0	7
assemblage-586-303	0	0	0	63	140	0	0	33	0	41	153	68	0	2
assemblage-413-864	0	0	0	0	119	0	0	0	0	55	226	70	21	9
assemblage-990-711	69	0	0	0	150	0	13	0	0	5	198	19	0	21
assemblage-974-263	52	0	0	0	121	0	0	25	0	44	167	72	0	13
assemblage-520-365	0	44	30	0	99	0	0	0	0	85	121	115	0	6
assemblage-787-428	0	0	0	0	411	0	0	0	0	47	16	14	0	12
assemblage-802-744	0	0	0	72	238	2	0	9	0	0	119	47	0	9
assemblage-949-300	0	65	50	0	29	0	0	0	0	46	254	20	0	19
assemblage-421-662	0	0	0	63	201	0	0	24	0	106	89	13	0	4
assemblage-827-761	0	0	0	91	224	11	0	0	0	0	127	31	0	5
assemblage-424-664	0	0	0	81	290	0	0	8	0	17	92	0	0	12
assemblage-261-874	9	0	0	0	197	0	0	0	0	0	82	105	58	5
assemblage-391-432	0	0	0	0	183	0	0	0	0	100	203	0	0	14
assemblage-664-667	0	0	0	44	139	0	0	114	0	102	58	0	0	4
assemblage-167-498	0	0	0	0	234	0	0	0	0	0	245	11	0	10
assemblage-860-803	0	22	112	0	26	0	0	0	21	0	215	82	0	5
assemblage-152-385	0	38	0	0	237	0	0	0	0	23	102	81	0	11
assemblage-801-129	0	0	0	24	227	32	0	15	0	51	145	0	0	2
assemblage-388-860	0	0	0	0	271	0	0	15	0	26	150	10	0	17
assemblage-489-515	0	0	13	0	104	0	0	0	0	19	187	168	0	3
assemblage-794-401	9	0	0	0	291	0	0	0	0	64	46	90	0	0
