Assemblage_Name	831938-1-2	1-4013266-1	0-1-2	23423-3036604-3	2-2-1	4645431-1-2	23423-3-3	1-9878607-1	23423-3036604-9233248	1-3-1	9859350-2-1	2198331-2-1
assemblage-931-801	0	0	0	185	113	0	0	0	15	146	0	19
assemblage-796-465	0	0	0	225	138	0	0	0	81	39	0	7
assemblage-431-760	6	0	0	182	151	0	0	0	0	154	0	7
assemblage-389-888	44	0	44	111	221	0	6	19	0	38	9	8
assemblage-516-349	0	0	159	93	14	0	152	0	0	67	0	6
assemblage-958-295	0	0	0	90	197	22	0	0	92	97	0	2
assemblage-461-365	0	0	0	212	217	0	0	0	0	55	0	16
assemblage-113-959	0	0	147	93	7	0	147	0	0	97	0	3
assemblage-423-115	52	0	0	145	165	0	0	0	0	132	0	6
assemblage-463-898	0	0	151	137	46	0	163	0	0	0	0	3
assemblage-413-864	34	0	36	29	246	0	29	0	0	122	0	4
assemblage-784-763	0	0	0	115	73	0	0	0	32	245	0	3
assemblage-207-392	0	0	37	171	219	0	8	0	0	39	15	5
assemblage-520-365	0	0	228	22	130	0	51	0	0	58	0	11
assemblage-684-671	0	0	0	237	133	0	0	0	91	23	0	8
assemblage-893-305	0	0	0	73	127	0	11	0	0	266	0	15
assemblage-795-100	0	0	0	195	91	0	0	0	9	163	0	35
assemblage-517-700	14	0	0	170	163	0	0	0	0	150	0	3
assemblage-963-273	0	20	0	233	58	10	0	0	50	128	0	1
assemblage-430-192	25	0	25	123	37	13	0	0	0	244	0	8
assemblage-914-787	0	0	0	154	109	0	0	0	0	192	0	10
assemblage-276-265	0	0	69	0	307	0	0	0	0	48	0	11
assemblage-533-383	0	0	159	96	21	0	139	0	0	54	0	19
assemblage-390-425	0	0	0	56	159	0	12	0	0	254	0	9
assemblage-238-250	0	0	0	127	121	0	0	0	106	130	0	6
assemblage-164-524	0	46	0	230	68	0	0	0	74	72	0	4
assemblage-478-871	52	0	213	39	154	0	7	5	0	24	0	6
assemblage-476-875	0	0	103	64	156	0	33	17	0	113	6	8
assemblage-262-256	0	0	54	0	283	0	8	0	0	48	0	4
assemblage-249-264	0	64	0	208	68	0	0	0	82	67	0	11
