Assemblage_Name	2-3-4260861	7407727-6972416-2	3884544-0-5467141	2-1-2	0-4466823-1	0-0-2	2-3-2925565	9223954-8233695-3	9223954-3-3	9895264-0-2	4219883-3-6254001	6749528-3-3	0-4466823-3046079	2-3-3	5299532-0-2	0-1257726-1	2-3-3208899	9223954-3-1181560	6749528-2222568-3	2619825-3-3208899	2169686-3-3	9223954-5829361-3	6749528-2222568-7679332	0-1257726-2488573	3884544-2932105-5467141	9223954-5377573-3
assemblage-796-465	0	0	0	0	0	0	0	0	276	0	6	0	0	0	0	0	29	65	0	58	0	13	10	0	0	13
assemblage-363-861	0	0	0	0	0	0	0	0	286	0	25	9	0	0	0	0	89	0	0	23	0	9	0	0	0	29
assemblage-825-957	0	0	6	0	0	0	114	0	175	0	0	0	0	105	0	14	4	0	0	0	0	0	0	0	0	21
assemblage-273-900	0	0	0	0	0	8	0	0	184	0	0	84	0	0	104	0	54	0	0	0	0	0	0	17	0	35
assemblage-429-781	0	0	0	0	0	0	0	0	248	0	0	20	0	0	0	31	129	0	0	0	0	0	0	23	0	7
assemblage-667-575	8	0	0	0	0	20	0	0	28	0	0	76	0	0	111	55	84	0	0	0	0	0	0	65	0	24
assemblage-917-785	0	0	0	0	0	0	0	12	274	0	5	0	0	0	0	0	135	12	0	0	0	12	0	0	0	37
assemblage-961-281	0	0	0	0	0	0	0	0	275	0	0	0	0	0	13	0	132	0	12	8	0	0	22	0	0	33
assemblage-521-677	0	0	87	18	8	0	17	0	93	0	0	0	16	48	0	112	26	0	0	0	0	0	0	52	0	23
assemblage-113-959	0	30	52	191	0	7	0	0	35	0	0	0	0	0	0	112	35	0	0	0	0	0	0	0	0	18
assemblage-788-470	0	0	0	0	0	0	0	27	236	0	0	0	0	0	0	0	141	8	0	0	10	0	56	0	0	22
assemblage-423-115	0	0	0	0	0	0	0	0	174	0	0	0	0	0	8	36	112	0	0	0	0	0	0	94	18	22
assemblage-463-898	33	0	0	0	0	51	0	0	44	24	0	0	0	0	9	109	57	0	0	0	0	0	0	6	128	20
assemblage-900-315	0	0	0	0	0	13	0	0	195	0	0	77	0	0	83	0	73	0	0	0	0	0	0	12	5	27
assemblage-586-303	0	0	0	0	0	0	0	0	304	0	24	9	0	0	0	0	95	0	0	27	0	7	5	0	0	8
assemblage-513-685	0	0	71	23	6	0	15	0	102	0	0	0	22	53	0	111	26	0	0	0	0	0	0	47	0	24
assemblage-526-377	0	0	78	27	13	0	17	0	92	0	0	0	24	36	0	97	23	0	0	0	0	0	0	67	0	26
assemblage-473-354	0	0	0	0	0	0	0	0	308	0	0	92	0	0	22	0	56	0	0	0	0	0	0	0	0	14
assemblage-397-865	11	0	0	0	0	41	0	0	32	0	0	69	0	0	119	51	94	0	0	0	0	0	0	37	5	22
assemblage-993-720	0	0	0	0	0	0	0	0	103	0	0	35	0	0	103	10	155	0	0	0	0	0	0	56	0	28
assemblage-97-538	0	0	0	0	0	0	0	22	230	0	0	0	0	0	0	0	137	13	0	0	0	0	64	0	0	34
assemblage-901-168	25	0	0	0	0	23	0	0	143	10	0	27	0	0	37	28	121	0	0	0	0	0	0	37	18	11
assemblage-457-369	0	0	0	0	0	0	0	0	271	0	0	0	0	0	28	0	119	0	10	12	0	0	24	0	0	19
assemblage-382-848	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	91	0	0	14	0	0	0	6	0	10
assemblage-375-188	26	7	23	12	20	25	0	0	94	5	0	14	0	0	0	63	92	0	0	0	0	0	0	57	45	17
assemblage-427-762	0	0	0	0	0	0	0	0	265	0	0	25	0	0	33	0	56	0	49	0	0	0	0	7	0	22
assemblage-801-129	0	0	0	0	0	0	0	38	191	0	6	0	0	0	0	0	13	0	0	15	64	0	0	0	0	7
assemblage-757-617	0	0	0	0	0	0	0	39	198	0	0	0	0	0	0	0	24	0	0	12	70	0	0	0	0	6
assemblage-147-401	63	21	16	29	0	29	0	0	86	0	0	34	0	0	0	94	105	0	0	0	0	0	0	9	0	14
assemblage-254-263	0	0	22	5	18	0	0	0	0	0	0	0	0	0	0	353	6	0	0	0	0	0	0	42	0	10
