Assemblage_Name	1-1689149-1	1-1-4	1-9687080-8036117	2-3-4	1-9687080-1	0-1-4	1-3-7518584	590445-9074117-1	1-9074117-1	1-3-1	1-3-975643	1-3-3905551
assemblage-592-295	0	0	0	40	125	0	21	0	0	313	0	1
assemblage-991-720	0	0	0	70	0	0	8	0	7	414	0	1
assemblage-271-278	0	4	0	0	0	40	0	0	18	436	0	2
assemblage-796-465	0	0	26	32	106	0	0	0	0	314	0	4
assemblage-224-414	0	0	0	64	0	26	0	20	9	378	0	3
assemblage-661-568	0	0	0	59	0	25	0	24	12	374	0	6
assemblage-488-381	0	0	0	78	132	0	19	0	0	269	0	2
assemblage-479-511	0	19	0	68	0	30	0	0	10	371	0	2
assemblage-370-847	0	0	0	0	47	0	4	0	0	442	0	7
assemblage-389-408	0	0	0	72	0	8	0	0	0	417	0	3
assemblage-521-677	0	0	0	93	0	33	0	0	25	339	5	5
assemblage-835-941	0	0	0	0	0	16	0	0	0	457	0	8
assemblage-423-115	0	0	0	87	0	19	0	0	46	344	0	4
assemblage-370-178	0	5	0	59	0	18	0	0	0	394	10	5
assemblage-513-685	0	0	0	97	0	30	0	0	26	341	4	2
assemblage-751-631	4	0	10	0	45	0	0	0	0	438	0	3
assemblage-800-398	0	0	0	37	70	0	11	0	0	380	0	2
assemblage-488-508	0	0	0	42	0	0	0	0	83	368	0	7
assemblage-400-899	0	0	0	77	0	25	0	20	9	368	0	1
assemblage-893-305	0	0	0	94	0	5	0	11	0	387	0	3
assemblage-802-744	0	0	45	44	96	0	0	0	0	298	0	6
assemblage-382-848	0	0	0	0	111	0	0	0	0	384	0	5
assemblage-803-471	0	0	0	0	33	0	0	0	0	455	0	12
assemblage-530-672	0	60	0	73	0	52	0	0	0	301	0	8
assemblage-770-637	10	0	6	8	40	0	0	0	0	426	0	10
assemblage-919-801	16	0	5	0	33	0	0	0	0	429	0	10
assemblage-508-722	0	0	0	180	73	0	0	0	0	238	0	9
assemblage-1006-705	0	0	0	72	0	0	13	0	0	411	0	4
assemblage-262-256	0	17	0	0	0	52	0	0	11	412	0	8
assemblage-794-401	0	0	0	43	20	0	14	0	0	420	0	3
