Assemblage_Name	1-3-7825408	43258-8614483-0	7539694-4-1770589	9388667-3-0	43258-3-6784548	6604969-4-4	4-4-8959875	2296112-5846763-2895764	2554290-4-4	6007234-6858777-1770589	4583047-4-1770589	2296112-5846763-4	3769995-6858777-1770589	1276862-4-4	1-6937230-0	4-4556743-3201345	4-4-5292085	1-3-2414593	4-4-4	43258-6043184-0	1331096-4-1770589	1-3-0	4583047-5170450-1770589	43258-3-0	4-7717901-3201345	4-3697672-4	2296112-5846763-7389867	4583047-9954365-1770589	1-2239441-4204056	4-9406608-4	4583047-6858777-1770589	4-3708956-4	4543358-0-3	4583047-4-7245138	4-5846763-4	3420667-3-0
assemblage-433-120	0	0	0	19	0	0	0	0	0	0	52	0	0	18	0	15	0	22	156	0	0	0	20	101	0	0	0	19	0	0	45	0	0	0	9	11
assemblage-754-613	171	7	0	0	0	0	0	0	0	79	0	0	13	0	0	0	11	0	0	0	0	0	27	59	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-122-945	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	38	0	58	0	0	0	73	0	0	0	0	0	0	0	0	0	0	12
assemblage-379-824	153	8	0	0	13	0	12	0	0	0	0	0	23	0	0	0	12	8	0	0	0	0	75	98	0	0	8	0	0	0	32	0	0	0	0	25
assemblage-275-260	0	0	39	0	0	0	0	0	0	0	41	0	0	0	13	0	0	0	80	0	0	0	0	0	0	0	0	0	0	124	0	46	76	21	0	15
assemblage-475-889	0	0	0	0	0	34	0	0	39	0	20	10	0	79	0	0	0	52	27	0	5	60	0	10	0	0	0	25	0	0	0	0	0	0	118	16
assemblage-667-575	0	0	0	0	0	0	0	0	74	0	36	56	0	7	0	11	0	30	15	0	0	0	7	27	0	0	0	0	0	0	0	0	0	0	192	19
assemblage-526-705	0	0	0	0	11	0	0	0	0	0	49	0	0	0	0	0	0	71	41	7	0	0	62	191	0	4	0	0	18	0	19	0	0	0	0	22
assemblage-821-743	101	0	0	0	0	0	0	0	0	38	0	0	62	0	0	0	33	0	0	0	0	0	78	83	0	0	15	0	0	0	0	0	0	0	0	32
assemblage-511-700	4	0	0	0	0	0	0	0	0	0	49	89	0	0	0	0	0	79	77	0	0	0	21	140	0	0	0	0	0	0	20	0	0	0	0	21
assemblage-722-263	0	0	6	0	0	0	0	0	0	0	142	0	0	0	11	0	0	0	25	0	0	98	0	0	41	0	0	0	0	4	0	0	41	0	12	30
assemblage-900-315	0	0	0	9	0	0	0	0	0	0	7	97	0	0	0	10	0	34	0	0	0	0	0	117	0	12	0	20	31	0	0	0	0	0	125	12
assemblage-252-252	67	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	45	52	0	5	0	0	44	103	0	0	114	0	0	0	7	0	0	0	0	12
assemblage-792-473	61	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	125	0	0	0	7	0	0	0	0	0	0	0	0	35
assemblage-800-398	0	0	0	0	77	0	85	9	0	0	0	0	0	0	0	0	67	0	17	0	0	0	88	74	0	0	47	0	0	0	0	0	0	0	0	15
assemblage-447-675	158	89	0	0	168	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-993-720	9	0	0	0	0	0	0	0	0	0	60	76	0	0	0	0	0	102	74	0	0	0	19	119	0	0	0	0	0	0	29	0	0	0	0	12
assemblage-520-365	0	0	0	0	0	0	0	0	7	0	94	0	0	0	20	0	0	0	51	0	0	149	0	0	0	0	0	15	0	14	0	35	19	0	0	23
assemblage-212-405	0	0	0	24	0	7	0	0	5	0	81	0	0	8	0	0	0	69	61	0	0	59	12	22	0	0	0	0	0	0	0	0	0	0	91	14
assemblage-687-581	0	0	0	0	0	0	0	0	61	0	47	53	0	9	0	30	0	39	4	0	0	0	5	45	0	0	0	0	0	0	0	0	0	0	166	22
assemblage-664-667	53	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	105	0	0	0	7	0	0	0	0	0	0	0	0	32
assemblage-376-184	0	0	0	0	0	2	0	0	92	0	3	65	0	75	0	0	0	0	109	0	26	77	0	4	10	0	0	0	0	0	0	0	0	0	10	27
assemblage-715-242	0	0	0	0	0	0	0	0	28	0	49	0	0	33	0	0	0	0	61	0	45	34	0	8	37	0	0	0	0	18	0	0	13	21	87	47
assemblage-959-273	0	0	0	0	7	0	2	61	0	0	11	0	0	0	0	0	10	21	38	0	0	0	78	223	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-495-501	0	0	0	0	0	22	0	0	79	0	0	68	0	45	0	0	0	0	123	0	12	109	0	4	7	0	0	0	0	0	0	0	0	0	10	16
assemblage-757-617	194	15	0	0	0	0	0	0	0	61	0	0	8	0	0	0	7	0	0	0	0	0	37	52	0	0	11	0	0	0	0	0	0	0	0	17
assemblage-388-860	68	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	38	51	0	0	0	0	28	150	0	0	73	0	0	0	7	0	0	0	0	14
assemblage-272-732	11	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	87	12	44	0	0	9	56	0	0	78	0	0	0	140	0	0	0	0	44
assemblage-254-263	0	0	38	0	0	0	0	0	0	0	51	0	0	0	8	0	0	0	84	0	0	0	0	0	0	0	0	0	0	125	0	50	68	9	0	13
assemblage-896-310	0	0	0	13	0	0	0	0	0	0	20	87	0	0	0	11	0	43	0	0	0	0	0	123	0	14	0	24	27	0	0	0	0	0	89	20
