Assemblage_Name	4402667-0-1723195	4593573-0-9658632	4402667-5136641-2086974	4593573-0-4387693	8947572-0-0	9851202-0-1723195	9393227-0-1723195	9393227-5927418-1723195	4593573-0-4	3-0-8209805	4402667-8909220-1723195	3-6148876-436714	4-1-4	7836337-0-0	3-0-436714	4402667-5136641-1723195	4-1530291-4	3-0-2	4402667-8474446-1723195
assemblage-865-797	54	0	0	0	4	0	0	0	0	0	0	0	293	0	22	0	63	0	23
assemblage-826-970	8	0	0	0	0	0	0	0	15	0	0	0	422	6	22	0	0	3	15
assemblage-479-511	109	0	0	0	4	0	55	0	25	0	0	0	72	37	46	0	0	66	36
assemblage-227-401	222	30	0	0	0	0	82	0	27	0	9	0	19	5	6	0	29	0	40
assemblage-893-167	127	51	0	0	17	0	115	0	68	8	0	0	0	30	0	0	0	47	28
assemblage-521-677	43	0	0	0	100	0	0	0	0	0	0	0	100	0	68	0	30	122	26
assemblage-264-747	282	102	0	0	0	0	0	0	0	0	0	0	0	0	42	52	0	0	16
assemblage-546-680	45	0	0	0	109	0	0	0	0	0	0	0	81	0	65	0	52	108	23
assemblage-371-189	94	0	0	0	7	0	0	0	55	0	0	0	23	70	0	0	163	62	8
assemblage-784-763	215	118	17	0	0	20	0	0	0	0	0	0	0	0	15	61	0	0	24
assemblage-187-516	190	140	0	7	0	15	0	0	50	0	0	0	0	0	40	44	0	0	9
assemblage-513-707	58	53	0	0	0	0	78	16	120	0	18	0	0	61	0	0	0	0	22
assemblage-993-720	98	92	0	0	0	0	58	0	80	17	0	0	0	116	0	0	0	0	15
assemblage-684-671	327	6	0	15	0	0	0	7	0	0	0	52	0	0	0	69	0	0	13
assemblage-437-101	133	22	0	0	0	0	189	0	16	0	0	0	0	42	0	0	29	0	19
assemblage-803-761	226	107	13	0	0	23	0	0	0	0	0	0	0	0	10	74	0	0	16
assemblage-787-428	283	100	0	0	0	0	0	0	0	0	0	0	0	0	51	36	0	0	18
assemblage-483-866	286	0	0	0	2	0	0	0	31	0	0	0	87	0	0	0	22	40	16
assemblage-517-700	297	52	0	0	0	0	92	0	29	0	0	0	0	12	0	0	0	0	18
assemblage-791-421	279	0	0	0	0	0	26	0	27	0	0	0	0	53	20	0	0	0	19
assemblage-421-662	223	31	108	36	0	0	0	0	0	0	0	13	0	0	0	36	0	0	21
assemblage-895-169	169	0	0	0	0	0	4	0	85	0	0	0	14	78	9	0	86	0	17
assemblage-277-258	22	0	0	0	0	0	0	0	0	0	0	0	128	0	203	0	26	64	13
assemblage-166-517	365	16	0	0	0	0	0	0	0	0	0	0	0	0	31	55	0	0	20
assemblage-804-125	148	0	0	104	0	87	0	0	124	0	0	0	0	0	0	22	0	0	15
assemblage-167-498	235	83	0	0	0	0	0	29	0	0	0	25	0	0	44	42	0	0	17
assemblage-876-300	69	134	0	0	0	0	61	0	8	39	49	0	0	72	13	0	31	0	16
assemblage-762-622	184	0	0	0	0	156	0	0	0	0	0	4	0	0	0	106	0	0	28
assemblage-262-256	33	0	0	0	0	0	0	0	0	0	0	0	127	0	202	0	30	61	6
assemblage-402-413	228	28	0	0	13	0	132	0	18	17	0	0	0	14	0	0	8	0	10
