Assemblage_Name	2-5022561-3	2-1-6037333	2-4-2	8045686-1-4	2-1-3	2-1-4	2-1-5762643	3848953-1-3	4829029-4-2
assemblage-140-383	0	9	206	16	179	49	35	0	6
assemblage-797-476	172	0	181	0	143	2	0	0	2
assemblage-796-465	138	0	163	0	191	0	0	0	8
assemblage-516-349	0	0	107	4	149	96	128	13	3
assemblage-865-797	0	0	50	0	398	25	18	3	6
assemblage-363-861	18	0	179	0	255	47	0	0	1
assemblage-262-886	0	0	279	0	89	90	21	0	4
assemblage-429-781	0	0	71	0	259	125	20	0	12
assemblage-410-115	0	0	279	0	83	95	24	0	9
assemblage-893-167	0	17	209	0	89	19	160	0	6
assemblage-755-622	91	0	215	0	190	0	0	0	4
assemblage-264-747	0	0	86	0	334	78	0	0	2
assemblage-260-895	0	18	138	0	241	27	76	0	0
assemblage-98-541	10	0	285	0	200	5	0	0	0
assemblage-469-877	0	3	219	18	193	33	31	0	3
assemblage-813-103	167	0	47	0	122	0	0	0	8
assemblage-729-265	0	0	100	21	222	96	39	16	1
assemblage-950-291	0	0	0	5	91	267	0	110	6
assemblage-787-428	0	0	88	0	345	66	0	0	1
assemblage-791-421	81	0	72	0	291	51	0	0	5
assemblage-276-265	0	0	305	0	82	98	0	12	3
assemblage-994-710	0	0	272	0	115	90	13	0	5
assemblage-770-637	117	0	121	0	217	0	0	0	6
assemblage-250-249	102	0	97	0	243	53	0	0	5
assemblage-238-250	32	0	161	0	260	46	0	0	1
assemblage-391-891	0	4	282	0	89	82	29	0	6
assemblage-503-522	0	0	122	12	171	128	58	0	3
assemblage-436-224	0	0	265	0	177	45	0	0	13
assemblage-402-869	0	34	195	0	76	15	171	0	0
assemblage-121-967	0	0	39	0	301	93	0	59	8
