Assemblage_Name	1-2-2	1-4-1	1-4-2	1-1403380-1	1-2-3537876	2-1-4	3-0-3	4-3-2	0-3-0	1-2451513-1
assemblage-867-301	0	281	0	0	0	0	212	0	0	7
assemblage-754-613	0	198	0	0	0	0	301	0	0	1
assemblage-224-414	0	390	0	31	0	0	79	0	0	0
assemblage-278-731	0	234	0	0	0	0	265	0	0	1
assemblage-436-686	0	197	0	0	0	0	302	0	0	1
assemblage-451-195	0	136	0	0	0	0	362	0	0	2
assemblage-825-957	13	56	9	0	0	0	316	70	25	11
assemblage-227-401	0	187	0	19	0	0	294	0	0	0
assemblage-730-265	99	80	16	0	23	14	245	9	11	3
assemblage-835-941	8	43	17	0	0	0	347	53	24	8
assemblage-113-959	0	275	71	0	0	53	0	14	72	4
assemblage-432-775	0	311	0	0	0	0	183	0	0	6
assemblage-463-898	6	419	0	0	0	16	56	0	0	3
assemblage-907-307	0	341	0	0	0	0	155	0	0	4
assemblage-593-283	0	49	0	0	0	0	450	0	0	1
assemblage-103-549	0	292	0	0	0	0	204	0	0	4
assemblage-469-877	13	302	14	31	0	26	106	0	7	1
assemblage-800-398	0	185	0	0	0	0	297	0	0	0
assemblage-447-675	0	323	0	0	0	0	177	0	0	0
assemblage-207-392	0	426	0	5	0	0	66	0	0	3
assemblage-803-471	0	355	0	0	0	0	145	0	0	0
assemblage-172-503	0	270	0	0	0	0	225	0	0	5
assemblage-534-685	103	75	20	0	26	30	218	16	9	3
assemblage-250-249	0	57	0	0	0	0	441	0	0	2
assemblage-805-423	0	176	0	0	0	0	299	0	0	0
assemblage-386-420	0	223	0	9	0	0	267	0	0	1
assemblage-715-242	4	243	0	0	22	56	165	0	0	10
assemblage-1005-716	0	216	0	0	0	0	283	0	0	1
assemblage-156-401	0	417	0	0	0	21	58	0	0	4
assemblage-795-450	0	171	0	0	0	0	321	0	0	8
