Assemblage_Name	0-2-2464693	1-2-3	0-2-2027423	4-3-4	1-2-692631	3-2-1	3-2-3	0-2-3	4-7776232-4
assemblage-140-383	0	0	0	170	92	58	35	144	1
assemblage-667-580	0	0	27	75	169	78	6	143	2
assemblage-748-637	70	0	0	0	27	0	0	396	7
assemblage-797-468	92	0	0	13	123	0	0	272	0
assemblage-599-278	0	0	0	147	105	0	16	226	6
assemblage-427-192	0	0	0	234	69	87	0	78	5
assemblage-601-285	0	0	0	76	238	0	20	162	4
assemblage-779-409	0	0	0	76	195	0	14	214	1
assemblage-389-408	0	0	0	155	7	0	95	228	8
assemblage-149-384	0	0	0	126	112	0	8	253	1
assemblage-802-123	11	0	0	0	211	0	0	270	8
assemblage-513-685	0	43	0	126	61	0	164	101	5
assemblage-546-680	0	49	0	90	51	0	203	97	10
assemblage-98-546	88	0	0	8	134	0	0	269	1
assemblage-235-258	0	0	0	131	113	0	26	227	3
assemblage-473-354	10	0	0	71	106	0	20	290	3
assemblage-262-911	0	0	0	70	135	0	24	229	8
assemblage-923-806	16	0	0	8	211	0	0	264	1
assemblage-670-582	0	0	44	133	130	18	12	161	2
assemblage-397-865	0	0	27	126	117	37	8	181	4
assemblage-893-305	15	0	0	191	33	29	9	222	1
assemblage-994-710	0	0	0	139	59	17	19	262	4
assemblage-534-685	0	8	0	188	173	24	81	23	3
assemblage-951-307	0	0	0	417	0	5	59	11	8
assemblage-279-744	28	0	0	71	93	8	95	204	1
assemblage-427-762	0	0	0	102	51	7	43	294	3
assemblage-672-669	21	0	0	15	126	0	0	337	1
assemblage-495-501	0	0	0	44	114	0	30	305	7
assemblage-262-256	0	35	0	12	0	36	310	105	2
assemblage-254-263	0	37	0	8	0	29	297	127	2
