Assemblage_Name	4172260-3-0	2357297-4084855-0	4-2-3	7663735-2-3	4963224-3-0	4-2-5843652	7125452-2-3	4-7276102-0	2357297-2220940-0	4-3-7687549	7365338-2-3	7961464-3-0	7961464-203069-0	4-3-0	7365338-4939059-3	4-8744979-0	2357297-8464878-0	2-2-3	8890486-2-3	4-850565-0	4-229228-1806757	1-4-0	2146420-2-3	1991427-257081-0	2357297-3-0	1991427-3-0	4-6301848-0	4-2897120-2276613	4-8448922-0
assemblage-420-685	76	0	0	8	0	0	0	0	210	0	0	0	0	48	0	0	11	0	0	0	0	0	0	112	0	14	0	0	7
assemblage-667-580	0	0	51	0	0	12	0	0	0	0	0	48	0	273	0	0	0	0	5	0	26	0	67	0	8	0	0	0	7
assemblage-991-720	0	0	3	0	52	0	0	0	0	0	9	0	0	131	19	64	0	0	0	0	0	0	8	0	97	48	0	0	35
assemblage-674-596	0	0	0	0	7	0	105	0	0	0	0	0	0	287	0	0	0	0	22	6	16	0	15	0	23	0	0	0	17
assemblage-271-278	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	121	0	0	115	0	0	70	0	0	0	17
assemblage-435-763	0	9	74	0	41	1	33	0	0	16	27	36	7	137	3	0	0	0	15	0	0	0	18	0	0	35	0	30	18
assemblage-479-511	0	0	11	0	38	11	0	0	0	0	0	21	0	262	0	0	0	0	0	0	39	0	59	0	45	0	0	0	14
assemblage-779-409	0	0	8	0	0	0	0	0	0	0	0	0	0	113	0	41	0	0	0	0	0	0	0	0	155	114	23	0	38
assemblage-389-408	0	63	42	0	13	73	0	0	0	14	34	5	0	168	0	0	0	0	13	0	0	0	38	0	11	0	0	0	14
assemblage-149-384	0	0	6	0	40	10	0	0	0	0	0	31	0	262	0	0	0	0	5	0	42	6	58	0	34	0	0	0	6
assemblage-443-206	0	16	83	0	37	5	34	0	0	8	38	52	0	110	16	0	0	0	9	0	0	0	24	0	0	22	0	20	26
assemblage-236-225	0	0	0	34	0	0	7	28	58	0	0	0	24	61	0	15	51	0	0	0	0	0	45	16	19	87	0	4	34
assemblage-375-849	0	0	0	57	0	0	0	130	93	0	0	0	0	86	0	5	3	0	0	0	0	0	0	0	24	50	6	14	18
assemblage-809-445	0	0	3	0	0	0	3	0	0	0	0	0	0	138	0	36	0	0	0	0	0	0	0	0	143	104	34	3	36
assemblage-526-377	0	0	74	0	23	0	0	0	0	0	0	0	0	149	0	0	0	49	113	0	0	0	30	0	37	0	0	0	7
assemblage-473-354	0	0	25	0	0	0	51	0	0	0	0	0	0	119	0	11	92	0	0	0	0	0	77	0	39	69	0	0	11
assemblage-409-893	0	0	81	0	0	5	0	0	0	0	0	52	0	241	0	0	0	0	0	0	25	0	45	0	26	0	0	0	7
assemblage-102-526	0	0	0	36	0	0	0	0	54	0	0	0	0	0	0	47	129	0	0	0	0	0	38	31	0	44	0	0	17
assemblage-684-671	0	0	0	14	0	0	0	26	192	0	0	0	0	0	0	0	150	0	0	0	0	0	32	14	37	25	0	0	10
assemblage-950-291	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	15
assemblage-800-130	61	0	0	8	0	0	0	0	219	0	0	0	0	44	0	0	19	0	0	0	0	0	0	103	0	16	0	0	10
assemblage-261-874	0	5	66	0	37	3	24	0	0	0	0	33	0	227	0	0	0	0	0	10	0	0	0	0	0	67	0	0	16
assemblage-172-503	0	0	0	0	11	0	12	0	6	0	0	0	18	16	0	19	133	0	0	0	0	0	113	0	27	113	0	0	17
assemblage-530-672	0	0	134	0	7	5	0	0	0	0	0	0	0	227	0	0	0	19	18	0	0	0	49	0	19	0	0	0	14
assemblage-664-667	0	0	0	45	0	0	0	0	75	0	0	0	0	0	0	23	120	0	0	0	0	0	14	32	0	62	0	0	11
assemblage-876-300	0	11	71	0	42	10	30	0	0	0	0	41	0	169	0	0	0	0	0	4	0	0	0	0	0	86	0	0	10
assemblage-261-263	0	0	6	0	0	0	0	0	0	0	0	0	0	14	0	0	0	151	101	0	0	157	0	0	62	0	0	0	9
assemblage-428-665	49	0	0	0	0	0	0	0	147	0	0	0	0	11	0	0	160	0	0	0	0	0	0	63	0	0	0	0	31
assemblage-536-381	0	0	69	0	0	32	0	0	0	0	0	0	0	206	0	0	0	13	25	0	0	15	57	0	64	0	0	0	19
assemblage-490-497	0	0	14	0	59	5	0	0	0	0	0	14	0	210	0	0	0	0	8	0	40	14	75	0	49	0	0	0	12
