Assemblage_Name	1065185-2-3178558	7716709-509677-3178558	2-3-3	3-1-5501719	1912869-0-7325161	8394063-2-3178558	3-0-7325161	3-1-3	7716709-2-3178558	0-2-3	3-0-3	4-2-4	0-927510-3178558	7070057-2-3178558	5950684-5478521-3178558	5950684-2-3178558	1020964-2-3	0-2-3178558	6812621-3424785-3178558	5806108-2-3178558
assemblage-420-685	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	91	0	8
assemblage-122-945	0	0	7	0	0	0	52	306	0	0	16	48	0	0	0	0	0	50	0	8
assemblage-432-143	39	0	0	0	0	52	0	0	31	0	0	0	17	0	0	0	21	324	0	16
assemblage-677-600	0	0	0	26	25	0	0	0	16	0	0	16	113	0	0	21	73	193	0	12
assemblage-837-802	0	0	0	0	0	8	43	171	0	50	0	0	0	0	0	0	0	203	0	16
assemblage-262-886	0	0	0	6	11	0	0	0	117	0	0	0	0	0	0	56	91	209	0	10
assemblage-825-957	0	0	11	0	0	0	0	5	0	47	0	75	0	0	0	0	0	337	0	9
assemblage-475-889	0	0	0	0	0	32	10	52	16	16	0	0	0	0	0	54	0	277	0	9
assemblage-370-847	159	0	0	0	0	0	0	0	172	0	0	0	0	27	0	0	0	109	4	7
assemblage-917-785	22	18	0	0	0	0	0	0	260	0	0	0	0	56	0	0	0	136	0	8
assemblage-787-755	24	14	0	0	0	0	0	0	318	0	0	0	0	20	0	0	0	123	0	1
assemblage-601-285	173	0	0	0	0	0	0	0	160	0	0	0	0	31	0	0	0	95	4	9
assemblage-496-703	148	0	0	0	0	0	0	0	11	0	0	0	0	0	37	0	0	281	0	23
assemblage-802-123	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	79	0	9
assemblage-722-263	0	0	0	0	0	0	0	107	0	142	17	71	0	0	0	0	0	132	0	13
assemblage-468-361	111	0	0	0	0	0	0	0	203	0	0	0	0	0	27	0	0	126	22	11
assemblage-884-180	0	0	0	5	26	10	0	0	26	4	0	10	46	0	0	19	36	295	0	23
assemblage-907-307	28	0	0	21	11	0	0	0	73	0	0	0	9	0	0	77	40	240	0	1
assemblage-513-685	0	0	0	0	0	0	2	117	0	127	9	78	0	0	0	0	0	141	0	3
assemblage-98-546	78	107	0	0	0	0	0	0	173	0	0	0	0	22	0	0	0	119	0	1
assemblage-488-508	0	0	0	0	0	45	0	65	8	7	0	0	0	0	0	71	0	268	0	6
assemblage-475-384	159	0	0	0	0	0	0	0	52	0	0	0	0	0	0	14	0	244	0	20
assemblage-517-700	46	0	0	0	0	11	0	0	98	0	0	0	0	0	0	27	89	192	0	6
assemblage-972-268	148	0	0	0	0	0	0	0	39	0	0	0	0	0	0	7	0	279	0	14
assemblage-895-169	0	0	0	14	0	47	0	0	11	0	0	4	62	0	0	10	32	298	0	12
assemblage-383-199	0	0	0	41	0	0	34	53	1	74	0	15	50	0	0	0	0	205	0	12
assemblage-176-500	14	6	0	0	0	0	0	0	329	0	0	0	0	39	0	0	0	67	25	7
assemblage-261-263	0	0	10	0	0	0	0	67	0	299	11	0	0	0	0	0	0	76	0	19
assemblage-672-669	31	14	0	0	0	0	0	0	318	0	0	0	0	17	0	0	0	118	0	2
assemblage-436-224	168	0	0	0	0	0	0	0	27	0	0	0	0	0	36	0	0	252	0	17
