Assemblage_Name	7874244-1-3	7313100-5496250-2	6309666-0-4	349418-4-9784649	1630776-0-4	6229859-1-3	3510999-3077795-0	2-1-3	4-7493025-0	1873603-1-3	2-1-5732128	6309666-3961579-4	2-0-4	1-2-1	4-9042313-0	387051-1-3	2-7858616-3	4-9651976-0	3-3421867-1	1101640-3421867-1	4-3077795-0	4-0-0	4-775734-0	4-3077795-4926456	3500165-1-3
assemblage-991-720	0	0	0	0	0	0	0	209	0	28	0	0	9	0	0	0	0	35	124	0	74	15	0	0	6
assemblage-931-801	5	0	0	0	0	18	0	9	0	68	0	0	0	0	0	10	0	0	0	0	154	0	65	149	22
assemblage-677-600	0	74	0	0	0	0	0	117	0	0	0	0	57	0	0	0	20	0	53	0	0	146	0	0	16
assemblage-278-731	0	0	97	0	0	0	0	40	0	171	0	0	0	0	5	0	0	0	12	0	75	81	0	0	13
assemblage-379-824	6	0	15	0	0	0	5	58	0	162	0	8	0	0	0	0	0	0	28	15	142	0	0	0	11
assemblage-837-802	0	0	0	14	0	0	0	89	0	0	0	0	114	59	0	0	0	0	34	0	0	128	0	0	20
assemblage-132-399	0	0	0	0	0	0	0	39	125	0	0	0	31	0	0	0	0	0	68	0	0	155	0	0	25
assemblage-961-281	0	0	103	0	0	0	8	37	0	145	0	0	0	0	0	0	0	0	19	0	67	99	0	0	22
assemblage-821-743	0	0	0	0	27	0	0	160	0	141	0	4	0	0	0	0	0	0	0	0	95	0	0	0	25
assemblage-113-959	0	0	0	0	0	0	0	9	0	0	0	0	176	116	0	0	0	0	59	0	0	0	0	0	14
assemblage-423-115	0	57	0	0	0	0	0	86	0	0	0	0	36	0	0	0	0	30	77	0	70	122	0	0	14
assemblage-100-545	0	0	0	0	0	0	0	18	0	156	0	0	0	0	0	0	0	0	7	0	154	0	8	38	12
assemblage-98-546	0	0	0	0	23	0	0	159	0	167	0	0	0	0	0	0	0	0	0	0	98	0	0	0	11
assemblage-410-885	0	93	0	0	0	0	0	132	0	0	0	0	37	0	0	0	9	0	56	0	0	145	0	0	8
assemblage-475-384	0	0	20	0	0	0	0	50	0	29	0	0	0	0	6	0	0	12	73	15	211	40	0	0	11
assemblage-400-899	0	31	0	0	0	0	0	65	47	0	0	0	45	0	0	0	0	0	51	0	89	123	0	0	12
assemblage-950-291	0	13	0	0	0	0	0	40	0	0	0	0	0	215	0	0	0	0	137	0	0	67	0	0	21
assemblage-243-260	0	0	4	0	61	0	0	171	0	216	0	0	0	0	0	0	0	0	8	0	17	0	0	0	14
assemblage-517-700	0	11	0	0	0	0	0	196	0	18	0	0	18	0	0	0	0	17	106	0	97	28	0	0	9
assemblage-424-663	0	0	0	0	0	9	0	195	0	39	0	0	0	0	0	3	0	0	44	0	174	0	0	18	18
assemblage-443-195	0	0	0	0	0	0	0	18	0	30	21	0	6	0	6	0	0	49	31	0	121	173	0	0	22
assemblage-391-432	0	39	0	0	0	0	0	267	25	0	13	0	48	0	0	0	0	0	38	0	21	41	0	0	8
assemblage-169-400	0	38	0	0	0	0	0	103	16	0	0	0	47	0	0	0	14	0	132	0	0	98	0	0	17
assemblage-715-242	0	0	0	10	0	0	0	91	0	0	0	0	156	64	0	0	0	0	37	0	0	103	0	0	11
assemblage-412-413	0	26	0	0	0	0	0	271	25	0	16	0	38	0	0	0	0	3	53	0	25	31	0	0	12
assemblage-536-381	0	17	0	50	0	0	0	20	57	0	0	0	38	13	0	0	0	0	162	0	0	65	0	0	21
assemblage-908-785	5	0	0	0	0	17	0	12	0	61	0	0	0	0	0	12	0	0	0	0	183	0	49	140	21
assemblage-490-497	0	54	0	0	0	0	0	38	76	0	0	0	58	35	0	0	0	0	153	0	0	70	0	0	16
assemblage-948-296	0	24	0	0	0	0	0	51	0	0	0	0	0	219	0	0	0	0	116	0	0	72	0	0	18
assemblage-249-264	0	0	7	0	9	0	11	34	0	172	0	15	0	0	0	0	0	0	32	16	154	0	0	0	14
