Assemblage_Name	3-1-6957507	3-1-0	8670494-1172222-5622418	3-1-5242202	0-6538647-5639750	3-4586083-0	0-598768-9956982	9546939-2-5639750	0-8955373-5639750	3-1-8804061	7334182-2-6502758	2-2-0	2-2-2	0-2-5639750	9993535-2-4406510	0-2-3	3-3656755-1	0-2-9956982	0-2-4406510	3-4177643-0	477262-2-3	3-1-7508096	0-2-388937	3-1-9600337	3-6162046-0	1-1172222-5622418	0-4112200-9956982	2-2-9437730
assemblage-515-704	0	389	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	29
assemblage-432-143	0	116	37	0	18	0	24	0	0	17	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	17	37
assemblage-431-760	0	191	0	0	0	0	71	102	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	58	34
assemblage-802-759	43	307	0	0	0	7	10	88	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-363-861	0	301	0	0	0	0	21	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	44	17
assemblage-488-381	0	310	0	0	0	0	59	57	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	35	26
assemblage-461-365	0	228	0	0	0	0	102	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	8
assemblage-432-775	0	374	0	0	15	0	3	29	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	13
assemblage-788-470	33	307	0	0	0	0	10	100	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-149-384	0	182	0	0	0	0	0	0	0	16	0	0	0	74	0	37	0	7	0	0	0	0	0	0	34	67	0	33
assemblage-522-357	0	252	0	0	0	0	0	0	0	0	0	39	44	28	0	67	0	0	33	0	0	0	0	0	0	11	0	26
assemblage-752-617	13	265	0	0	0	0	0	52	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-371-189	0	55	0	14	0	0	0	0	8	0	0	0	55	133	0	52	0	0	0	0	0	0	6	0	0	111	0	16
assemblage-409-893	0	306	0	4	0	0	0	0	0	0	0	0	0	42	52	0	0	7	0	0	19	19	0	0	22	0	0	15
assemblage-437-101	0	350	12	0	62	0	0	18	0	0	0	0	0	2	0	0	0	15	0	0	0	0	0	0	0	0	0	37
assemblage-950-291	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	174	4	0	94	0	0	0	0	0	0	0	0	31
assemblage-429-117	0	243	12	31	0	0	34	14	0	0	0	0	0	0	37	0	0	63	0	0	0	0	0	0	19	0	0	20
assemblage-111-935	0	10	0	0	0	0	0	0	0	0	0	0	0	74	0	74	50	0	0	0	0	0	0	0	0	160	0	22
assemblage-895-157	0	260	0	33	0	0	15	0	0	42	0	0	0	25	0	0	0	35	0	0	0	0	0	0	39	0	0	21
assemblage-590-275	167	179	0	0	0	0	47	32	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	24	16
assemblage-800-130	17	200	0	0	0	73	0	126	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-172-503	155	172	0	0	0	0	50	26	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	25	18
assemblage-903-174	0	282	0	9	0	0	0	0	0	0	0	0	0	34	57	0	0	11	0	0	26	25	0	0	28	0	0	20
assemblage-169-400	0	318	0	0	0	0	0	0	5	0	0	0	0	12	10	12	0	0	0	0	0	0	19	0	0	74	0	18
assemblage-770-637	114	173	0	0	0	0	0	18	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-279-744	0	222	0	0	0	0	102	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	19
assemblage-715-242	0	106	0	0	0	0	0	0	33	0	0	6	28	29	0	51	38	0	10	0	0	0	7	0	0	139	0	26
assemblage-795-450	33	338	0	0	0	8	7	77	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-254-263	0	22	0	0	0	0	0	0	0	0	0	95	0	68	0	129	5	0	0	0	0	0	0	0	0	0	0	17
assemblage-863-789	0	252	0	0	0	0	0	0	0	0	0	30	55	20	5	80	0	0	31	0	0	0	0	0	0	11	0	16
