Assemblage_Name	7887612-8196264-0	3-3573137-2	117814-6186780-3	2151754-8474077-0	2151754-8474077-5156632	1978745-8474077-0	1-6186780-3	6695987-6186780-3257484	2151754-7055290-0	717532-354620-4	3-3573137-4927807	4-4888138-3	3-3573137-2595175	2672395-6186780-3	2151754-8474077-7893471	6695987-7273851-3	1-4-3	2151754-2884109-0	0-354620-4	4740245-8474077-0	6435377-8196264-0	1-6186780-7376187	6695987-6186780-3	2151754-8474077-6299185
assemblage-748-637	0	73	0	200	0	0	0	0	67	0	55	0	0	0	10	0	0	0	0	54	0	0	0	26
assemblage-278-731	0	48	34	274	0	0	0	0	36	0	0	0	0	0	0	0	0	5	0	0	54	0	0	12
assemblage-363-861	86	35	20	86	0	0	0	10	0	0	0	0	23	30	0	10	0	12	0	0	34	0	130	19
assemblage-162-502	85	30	34	111	0	0	0	0	0	0	0	0	21	17	0	13	0	0	0	0	36	0	122	27
assemblage-488-504	0	0	0	279	0	0	0	0	31	62	0	0	0	0	0	0	0	0	0	0	99	0	0	20
assemblage-526-705	0	0	0	293	0	0	12	0	45	0	0	0	0	0	0	0	0	0	0	0	37	51	0	32
assemblage-755-622	0	0	0	360	0	0	0	0	0	0	46	0	0	0	10	0	0	0	0	0	0	0	0	25
assemblage-788-470	4	51	70	229	0	0	0	0	36	0	0	0	0	0	6	0	0	0	0	16	22	0	0	15
assemblage-264-747	0	125	50	185	0	0	0	0	7	0	0	0	21	0	0	0	0	0	0	0	0	76	0	19
assemblage-490-502	0	134	0	221	0	27	51	0	50	0	0	0	0	0	0	0	0	0	0	0	6	0	0	11
assemblage-900-315	0	0	0	229	24	0	91	0	6	0	0	0	0	0	0	0	0	0	0	0	114	19	0	17
assemblage-100-530	0	7	7	224	0	0	0	22	30	0	109	0	0	0	82	0	0	0	0	0	0	0	0	19
assemblage-468-361	0	37	42	265	0	0	0	0	56	0	0	0	0	0	0	0	0	6	0	0	45	0	0	18
assemblage-812-136	22	24	9	110	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	20	52	0	0	12
assemblage-522-357	0	32	0	183	0	4	8	0	19	33	0	22	0	0	0	0	28	0	63	0	59	0	0	31
assemblage-546-680	0	4	0	130	0	0	33	0	0	69	0	12	0	0	0	0	0	0	85	0	130	0	0	9
assemblage-469-877	0	0	0	258	0	0	0	0	28	56	0	0	0	0	0	0	0	0	3	0	131	0	0	17
assemblage-187-516	98	24	19	125	0	0	0	9	0	0	0	0	16	26	0	20	0	0	0	0	27	0	108	18
assemblage-409-893	0	61	0	285	0	55	25	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	17
assemblage-396-413	0	0	0	230	19	0	76	0	13	0	0	0	0	0	0	0	0	0	0	0	90	45	0	27
assemblage-797-749	28	65	44	279	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-955-304	0	12	0	134	0	0	0	0	0	0	0	44	0	0	0	0	6	0	223	0	8	0	0	34
assemblage-430-192	0	167	38	144	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	97	11	0	12
assemblage-895-157	0	26	0	261	0	0	14	0	5	13	0	0	0	0	0	0	0	0	0	0	117	0	0	18
assemblage-949-300	0	14	0	131	0	0	0	0	0	0	0	46	0	0	0	0	0	0	228	0	13	0	0	20
assemblage-849-805	0	15	0	147	0	0	43	0	0	62	0	16	0	0	0	0	0	0	71	0	85	0	0	34
assemblage-1006-705	0	84	0	154	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	20	149	0	13
assemblage-262-256	0	0	0	109	0	0	70	0	9	10	0	37	0	0	0	0	51	0	0	0	172	0	0	24
assemblage-402-869	0	30	0	246	0	8	12	0	12	9	0	0	0	0	0	0	0	0	0	0	132	0	0	13
assemblage-896-310	0	0	0	244	26	0	111	0	11	0	0	0	0	0	0	0	0	0	0	0	72	19	0	17
