Assemblage_Name	6896241-3-3	1391172-3645206-1	4768441-3645206-1	8446628-3-3	5265027-1503283-3	4-3078301-1	6896241-3-8797246	3610614-1-3	0-1-3	0-3-4	61050-3-1	6345782-3-9475527	6896241-3-4032348	8446628-3-5786686	5265027-1-3	4-3645206-1	4366711-3645206-1	4830643-3982391-1	8446628-3-5348094	4535212-3-4	1-816481-4	0-1-5149585	4-5352792-7462584	3357775-1-3	1-4-4	4-3645206-9376145	6896241-4376571-3	7719802-3-0	6896241-6273646-3
assemblage-271-278	213	0	0	0	0	0	96	0	90	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	62	17
assemblage-891-310	35	0	0	0	21	98	0	0	15	0	0	6	0	0	61	190	0	0	0	0	0	0	35	0	0	0	0	0	24
assemblage-797-468	66	0	23	66	0	100	0	0	0	0	0	0	0	0	0	217	6	0	0	0	0	0	0	0	0	0	1	0	12
assemblage-865-797	61	0	0	0	0	0	61	0	161	0	35	0	0	0	0	50	0	8	0	0	57	0	0	0	21	0	0	0	29
assemblage-837-802	25	0	0	0	0	0	12	0	196	66	43	0	24	0	0	20	0	0	0	0	25	0	0	0	46	0	0	0	36
assemblage-435-763	195	0	0	16	0	27	25	0	13	0	0	0	0	0	50	97	0	0	0	0	0	14	5	0	0	0	0	0	32
assemblage-429-781	116	25	0	0	14	12	0	21	66	0	0	0	0	0	41	92	0	0	0	0	0	0	10	22	0	0	0	0	18
assemblage-667-575	30	0	0	0	13	0	28	0	117	0	0	33	0	0	60	123	0	0	0	13	0	59	0	0	0	0	0	0	12
assemblage-755-622	126	0	0	0	0	35	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	62	71	0	19
assemblage-802-123	101	0	0	9	0	22	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	72	76	0	10
assemblage-468-361	95	0	0	0	0	32	0	0	0	0	0	0	0	40	0	171	27	0	47	0	0	0	39	8	0	0	0	0	17
assemblage-907-307	11	0	0	0	0	7	0	0	181	0	0	8	0	0	27	203	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-513-685	185	0	0	0	0	0	37	0	163	32	27	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	14	16
assemblage-275-727	146	8	0	41	0	0	100	63	22	0	0	0	0	0	9	32	0	0	0	0	0	0	0	6	0	0	0	0	27
assemblage-244-910	113	0	0	0	25	83	20	0	21	0	0	10	0	0	7	139	0	0	0	0	0	34	0	0	0	0	0	0	10
assemblage-797-749	65	0	7	102	0	50	0	0	0	0	0	0	0	0	0	133	30	0	0	0	0	0	0	0	0	0	89	0	15
assemblage-207-404	57	0	0	0	0	0	11	0	136	0	0	18	0	0	62	168	0	0	0	6	7	0	0	0	0	0	0	0	18
assemblage-590-275	73	0	0	62	0	22	71	0	0	0	0	0	0	6	0	121	0	0	46	0	0	0	37	0	0	0	35	0	10
assemblage-802-744	43	0	13	83	0	57	0	0	0	0	0	0	0	0	0	165	23	0	0	0	0	0	0	0	0	0	86	0	22
assemblage-994-710	168	0	0	13	0	29	39	0	18	0	0	0	0	0	46	84	0	0	0	0	0	26	8	6	0	0	0	0	21
assemblage-375-188	50	0	0	0	0	0	57	0	148	24	12	0	0	0	23	91	0	0	0	12	30	9	0	0	0	0	0	6	38
assemblage-903-174	48	0	0	0	0	0	10	0	155	0	0	23	0	0	44	187	0	0	0	0	3	8	0	0	0	0	0	0	15
assemblage-166-517	99	0	27	53	0	0	11	12	25	0	0	0	0	29	18	200	0	0	3	0	0	0	0	0	0	0	0	0	14
assemblage-836-963	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	29	0	9	0	0	0	0	0	0	56	0	0	5	13
assemblage-238-250	205	16	0	6	0	11	0	0	0	0	0	0	0	36	0	181	0	0	12	0	0	0	0	0	0	0	0	0	25
assemblage-805-423	92	83	0	76	0	22	45	14	6	0	0	0	0	0	43	99	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-478-871	34	0	0	0	0	0	95	0	50	70	0	8	0	0	0	139	0	0	0	0	37	0	0	0	0	0	0	4	26
assemblage-152-385	79	0	0	0	0	6	85	0	213	0	0	0	0	0	0	93	0	7	0	0	8	0	0	0	0	0	0	0	9
assemblage-262-256	199	0	0	0	0	0	86	0	75	0	13	0	5	0	0	24	0	0	0	0	0	0	0	0	0	0	0	72	16
assemblage-430-681	111	0	0	6	0	13	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	118	0	0	11
