Assemblage_Name	1-5872074-805562	7446566-1-9657256	5195384-1-8015876	3565223-1-8015876	1-7273451-805562	4-3892606-6050207	0-1-2723208	0-1-3	5195384-759699-8015876	5195384-2552077-5205671	8584282-4-805562	4-3-2	5195384-8701181-5205671	1-4-3513696	7446566-1-2723208	5543691-1-2723208	6329957-4-805562	5652040-1-5205671	5195384-1-5205671	3103145-4-805562	1-4-805562	1-5732631-805562	1-4-3647460	5657462-1-8015876
assemblage-670-680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	42	0	132	0	149	0	27	48
assemblage-867-301	0	0	0	0	111	0	0	0	0	0	0	45	0	0	62	0	0	0	84	0	181	0	0	17
assemblage-262-737	18	7	0	0	28	0	0	0	0	0	0	62	0	0	30	0	0	0	72	0	201	25	23	34
assemblage-278-731	31	0	0	0	32	0	0	0	0	0	0	23	18	0	47	0	0	0	186	0	138	0	0	25
assemblage-389-888	0	0	19	0	0	0	38	0	15	0	0	66	0	0	6	0	0	0	145	0	113	0	0	17
assemblage-436-686	0	0	0	0	0	0	0	0	0	22	0	0	0	9	0	40	0	57	42	0	139	0	0	17
assemblage-363-861	0	67	0	0	22	0	0	0	0	0	0	0	0	18	0	0	0	0	49	0	203	7	44	28
assemblage-825-957	0	0	0	0	0	51	0	3	0	0	0	282	0	0	0	0	0	0	0	0	11	0	0	25
assemblage-479-511	0	0	100	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	210	0	49	0	0	28
assemblage-917-785	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	269	0	16	40
assemblage-990-744	0	0	0	26	0	0	0	0	0	0	0	82	0	0	121	0	0	0	6	0	187	34	0	31
assemblage-893-167	0	0	94	0	0	0	15	0	25	0	0	50	0	0	0	0	0	0	129	0	121	0	0	10
assemblage-376-844	0	0	0	0	20	0	0	0	0	0	0	16	0	50	15	0	4	0	111	0	178	45	8	38
assemblage-262-911	14	0	36	10	9	0	45	0	0	0	0	8	0	0	23	0	0	0	92	0	239	0	0	24
assemblage-409-893	0	0	22	0	0	0	41	0	18	0	0	48	0	0	9	0	0	0	173	0	110	0	0	32
assemblage-244-910	0	0	0	0	119	0	0	0	0	0	0	46	0	0	56	0	0	0	89	0	170	0	0	20
assemblage-803-761	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	208	0	119	47
assemblage-106-537	0	14	0	0	0	0	0	0	0	33	0	0	0	44	32	94	48	9	87	0	75	0	5	35
assemblage-972-268	10	0	0	0	94	0	0	0	0	0	0	19	0	0	9	0	0	0	80	0	232	11	15	21
assemblage-276-265	0	0	0	0	0	0	0	8	0	0	20	79	0	0	0	0	0	0	0	74	137	0	0	20
assemblage-530-672	0	0	44	0	0	0	16	80	0	0	14	149	0	0	0	0	0	0	83	0	55	0	0	27
assemblage-533-383	0	0	43	0	0	0	15	74	0	0	9	159	0	0	0	0	0	0	67	0	64	0	0	44
assemblage-427-762	0	0	11	0	24	0	10	0	0	0	0	8	16	0	23	0	0	0	134	0	234	0	0	17
assemblage-876-781	0	0	15	0	0	50	0	35	0	0	0	83	0	0	0	0	0	0	121	9	105	0	0	13
assemblage-1005-716	0	0	9	4	23	0	11	0	0	0	0	9	5	0	24	0	0	0	127	0	231	0	0	26
assemblage-156-401	0	0	26	0	0	0	0	10	0	0	0	109	0	0	0	0	0	0	182	0	100	0	0	27
assemblage-801-129	0	0	0	0	0	0	0	0	0	40	0	0	0	0	3	30	0	59	48	0	139	0	0	22
assemblage-147-401	0	0	32	0	0	17	0	0	46	0	0	67	0	0	0	0	0	0	184	0	98	0	0	29
assemblage-948-296	0	0	86	0	0	0	0	160	0	0	0	95	0	0	0	0	0	0	36	5	20	0	0	21
assemblage-249-264	0	0	0	0	93	0	0	0	0	0	0	0	0	33	34	21	0	0	81	0	161	0	54	16
