Assemblage_Name	3-4-345112	3-1818038-4	6901038-4-4	4-6810514-1	3-1-0	3-2272725-4	4-2-1	0-3653398-3	3-4-4	6888263-2-1
assemblage-667-580	0	0	0	0	105	0	200	126	54	0
assemblage-797-476	41	5	81	0	99	18	107	88	43	10
assemblage-271-278	0	0	0	0	263	0	108	0	118	5
assemblage-796-465	0	0	0	0	259	27	86	107	0	13
assemblage-891-310	0	0	0	0	101	0	301	85	0	13
assemblage-278-731	13	0	0	0	91	0	36	190	167	3
assemblage-909-174	0	0	0	0	229	0	112	60	75	7
assemblage-865-797	0	0	0	92	87	0	205	0	106	4
assemblage-837-802	0	0	0	13	153	0	217	59	23	3
assemblage-825-957	0	0	0	62	305	0	56	0	13	11
assemblage-599-278	0	6	0	0	207	113	6	113	48	7
assemblage-389-408	0	0	0	0	102	0	306	85	0	7
assemblage-593-283	0	0	0	0	256	0	51	123	58	5
assemblage-990-711	0	0	0	0	195	0	155	67	19	6
assemblage-751-631	0	8	12	0	154	144	98	0	0	7
assemblage-207-392	0	0	0	0	85	0	344	6	13	10
assemblage-97-538	46	12	82	0	115	25	86	85	39	6
assemblage-429-117	0	0	0	0	74	0	260	100	51	2
assemblage-795-100	12	0	49	0	194	52	96	37	12	18
assemblage-172-503	35	0	31	0	188	0	62	46	106	11
assemblage-424-663	0	0	51	0	246	84	106	9	0	4
assemblage-169-400	0	0	0	21	54	0	227	75	114	9
assemblage-530-672	0	0	0	8	157	0	233	49	26	7
assemblage-950-266	0	0	0	0	269	0	47	137	39	8
assemblage-261-263	0	0	0	0	224	0	111	0	142	20
assemblage-476-875	0	0	0	0	259	0	185	4	37	10
assemblage-438-205	0	0	0	0	205	0	162	69	21	2
assemblage-959-273	0	0	0	0	288	0	116	71	14	5
assemblage-436-224	0	0	0	0	124	3	47	223	95	3
assemblage-490-497	0	0	0	0	260	0	200	10	23	7
