Assemblage_Name	3-7849767-1784921	0-6765365-1	2224897-8845722-1	547682-0-1	2224897-4-1	2224897-4-3591347	4327483-4857562-1	2-9483940-0	2224897-4857562-1	9620555-1178317-0	3-3-1784921	2-1178317-7777770	0-0-1	2-1-3	2224897-4-7710697	2-1178317-0	2-2343945-2	547682-8536140-1
assemblage-515-704	0	79	33	0	169	0	0	0	0	0	0	0	144	0	0	41	0	20
assemblage-748-637	0	122	0	0	45	0	22	0	0	0	0	0	0	0	156	72	0	10
assemblage-224-414	0	0	0	0	128	0	0	0	0	0	0	0	275	0	0	53	0	10
assemblage-451-195	0	69	0	0	156	0	0	0	0	0	0	77	100	0	0	54	0	16
assemblage-958-295	0	65	0	0	132	0	0	0	63	29	0	0	59	0	138	0	0	14
assemblage-370-847	0	76	0	0	120	24	0	0	13	0	0	0	171	0	39	25	0	9
assemblage-521-677	47	0	0	37	93	0	0	0	0	0	35	0	204	0	0	0	50	24
assemblage-506-671	122	0	0	44	78	0	0	11	0	0	120	0	72	0	0	24	19	10
assemblage-100-530	0	282	0	0	26	0	0	0	0	0	0	0	0	0	95	60	0	7
assemblage-100-545	0	176	0	0	59	75	53	0	0	0	0	0	22	0	33	0	0	7
assemblage-256-256	68	0	0	18	58	0	0	0	0	0	192	0	88	8	0	0	29	8
assemblage-923-806	0	237	0	0	0	0	0	0	0	0	0	0	0	0	95	17	0	11
assemblage-410-885	12	0	47	0	145	0	0	0	0	0	0	0	209	0	0	68	0	12
assemblage-751-631	0	127	0	0	113	82	98	0	0	0	0	0	0	0	0	58	0	12
assemblage-207-392	10	0	53	0	143	0	0	0	0	0	0	0	201	0	0	76	6	11
assemblage-244-910	43	5	40	0	40	0	0	0	0	0	0	0	205	0	0	134	0	9
assemblage-483-866	0	0	0	41	120	0	0	0	0	0	30	0	261	0	0	13	0	19
assemblage-963-273	0	245	0	0	132	0	0	0	0	0	0	0	22	0	20	48	0	10
assemblage-962-300	0	31	0	0	144	0	0	0	59	37	0	0	59	0	137	13	0	20
assemblage-824-965	0	0	0	0	111	0	0	21	0	0	9	0	142	66	0	0	131	3
assemblage-994-710	0	155	0	0	112	0	0	0	0	0	0	37	58	0	0	84	0	13
assemblage-391-432	41	10	34	0	209	0	0	0	0	0	0	31	97	0	0	21	0	4
assemblage-534-685	92	0	0	55	67	0	0	9	0	0	132	0	70	0	0	28	36	11
assemblage-169-400	105	0	0	35	131	0	0	0	0	0	30	0	140	0	0	0	35	24
assemblage-238-250	0	81	0	0	123	26	46	0	0	14	0	0	14	0	141	24	0	10
assemblage-598-280	0	85	0	0	126	19	0	0	11	6	0	0	194	0	18	18	0	3
assemblage-156-401	0	0	0	18	109	0	0	0	0	0	0	0	339	0	0	18	3	13
assemblage-695-686	0	279	0	0	26	0	0	0	0	0	0	0	0	0	97	60	0	21
assemblage-106-951	52	0	0	47	63	0	0	41	0	0	37	0	117	23	0	14	43	42
assemblage-896-310	32	3	45	0	41	0	0	0	0	0	0	0	196	0	0	153	0	22
