Assemblage_Name	7061840-2-1	6776240-2-1	3-2-3582391	0-2-1230642	8350093-704812-4803647	367023-0-4349933	3-704812-1	7761430-2-1012979	3-1-2	3-2-3710587	3-8633834-4343892	6792299-704812-4803647	3-3740726-8066692	6145062-4075490-8139431	3-446791-1	615951-704812-4803647	6784011-4-1427671	9590890-2-1	2870683-4-2	3-2-1	5063578-6681946-3119041	7761430-2-1	2749227-5076712-4349933	5063578-4-3959498	367023-0-7104290	8396414-4-7248121	1-4-8285695	5001984-0-4349933	5063578-8268620-7248121	6784011-4-7248121	1-4-52630	3-8329170-4803647	5063578-4-8708982	3-8633834-1	8396414-9500627-7248121	5063578-4-3119041	5063578-4-5383952	5459293-2-1	2198146-4-7248121	3-2046608-1	3-3047246-1734247	3-7195128-128528	3-1-4043683	6145062-4075490-7248121	3549801-4-7248121	3-8892062-1156542	695544-4-7248121	1-4-1991440	4982357-2-1	5063578-9198752-7248121	3-0-1	5843732-2-1	9353722-4-7248121	3-7195128-153981	5063578-2520501-7248121	3-6294368-4803647	1-5192411-2	0-4596099-0	2662614-4-2	3-704812-963065	1-4-1394527	5063578-4-1714095	3828893-4-7248121	0-2-5142802	9754011-704812-4803647	3-3047246-3216465	5063578-4-7364196	2749227-0-5944014	3-3740726-1	8396414-4-4430237	3-3047246-8282920	4922144-0-4349933	5063578-4-231299	3-8892062-1	7560740-4-7248121	0-2-0	3-704812-4803647	5063578-4-9335886	791232-4-7248121	1399984-8633834-4671883	4149385-2-1	367023-0-4401528	5063578-4-7248121	1-959187-2	8437882-2-1	1399984-8633834-1	4547863-4-7248121	1-4-2	5063578-4-8753102	121866-3047246-3216465	9300873-4-2	7942034-8633834-1	5410834-2-1	9453541-704812-4803647	2749227-0-4349933	3227945-8633834-1	5063578-4-7423232	1-1355368-2	3-1973087-1	3-3034585-1	8396414-4075490-7248121	367023-8628288-4349933	5063578-4-6866191	6584496-4-7248121	5063578-4-7066655	8396414-2854133-7248121	5063578-4-7105029	3-8633834-8380101	3-2493590-4803647	3-2-809522	2-4-2	3-704812-2733451	3-7195128-4803647	5063578-4-188081	5959063-2-1	1-4-74239	3-0-4349933	3-0-9975117	3-7195128-7636806	3-3047246-1259352	5063578-4-2143395	3-1557207-1	3-9074711-4803647	1-2640287-2	5063578-4-2	1-4-3407635	1680861-4-7248121
assemblage-752-988	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	183	0	9	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	33	0	0	0	0	0	0	32	0	0	0	0	0	109	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-868-649	0	0	0	0	0	17	0	0	46	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	96	0	0	0	0	0	35	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-866-95	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	198	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	57	0	0	0	0	0	0	19	0	0	0	0	0	85	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13
assemblage-671-963	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	28	0	0	0	0	0	65	0	0	0	0	173	0	0	0	0	0	68	0	19	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-885-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	54	18	0	0	22	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-829-151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	7	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	0	59	0	0	0	0	0	143	0	0	0	0	109	0	0	0	0	0	0	80	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-93-772	0	0	0	0	20	0	0	0	0	2	0	0	0	0	30	0	18	0	0	107	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-953-850	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	9	0	0	0	0	0	24
assemblage-830-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	170	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	35	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-207-398	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	12	0	0	0	0	0	74	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
