Assemblage_Name	0-2-4360080	1-1-2	0-4-3739351	1-0-2	0-3173631-1	0-8551659-4360080	0-4-4589138	0-4-1	1-1-9541115	2630449-0-2	0-4942346-6840226	1-9068876-2	1-8457979-2	0-0-1196126	0-4-1104629	0-0-4795537	0-0-5349722	4516470-0-1	0-0-1	0-2-9425136	0-2-2	0-2086272-4360080	3682743-0-1	9681466-1-9541115	0-4-6840226	0-2-2517996	9336031-0-1	3-4-2	0-9600061-4360080	4-7310046-4	2033187-7310046-4	0-2-3823289
assemblage-752-988	134	24	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	27	0	55	0	0	109	0	12
assemblage-868-649	0	7	0	62	0	0	0	0	14	0	0	12	0	0	0	0	5	0	300	0	0	0	0	0	43	0	0	0	0	54	0	3
assemblage-866-95	131	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	19	0	62	0	0	108	0	9
assemblage-671-963	144	24	0	30	0	0	0	0	0	0	0	0	0	0	0	0	4	0	197	0	0	0	0	0	86	0	0	0	0	7	0	8
assemblage-885-931	153	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	14	9	0	0	0	0	45	0	5
assemblage-829-151	72	32	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	103	0	0	0	0	50	145	0	0	0	0	59	0	3
assemblage-93-772	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	91	0	0	0	9	45	0	8
assemblage-953-850	32	71	0	158	0	0	0	0	0	0	0	33	0	0	0	0	0	0	117	0	0	0	0	0	81	0	0	0	0	0	0	8
assemblage-830-129	58	53	0	50	0	0	0	0	110	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	189	0	4
assemblage-207-398	203	8	0	53	0	0	0	0	0	0	0	0	0	0	0	0	10	0	182	0	0	0	0	0	9	0	0	0	0	27	0	8
assemblage-956-115	117	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	69	0	0	0	0	133	0	4
assemblage-375-787	36	28	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	45	0	0	0	0	77	0	12
assemblage-987-763	101	61	0	21	0	0	0	0	49	0	0	0	0	0	0	0	8	0	162	0	0	0	0	0	58	0	0	0	0	37	0	3
