Assemblage_Name	6779302-4-1529671	3460844-8907253-4	3460844-2-4	1-8833337-4	2907576-9932706-4	2-8432134-2	3906234-4-4	4-2-7467183	3460844-2-6652303	2-9266801-703543	4-1571280-1	1-9932706-4	6779302-5210111-4	3-1423135-4	1-851899-4	1-9932706-6362676	1-9932706-2369939	2-4-4259022	5166944-2-4	4-2-4330192	566605-9932706-4	1-5786127-4	6779302-4-5644916	4-8937439-3	2-4-5093656	1-7821445-4	4-760152-3	1-2019397-4	6068412-4-4	4-2-9501159	2-4-2	2-1400741-2	7644183-9932706-4	2-4-703543	6779302-1707425-4	4-2-3	4-2-1	2-9307250-2	6779302-4-918683	5044815-4-703543	6779302-4-3619123	1-4-4	1-9932706-8482261	3-2-6673817	3460844-7163423-4	8994230-2-4	1-1731124-4	7017116-4-4	6779302-4-4	3-2-4	7123588-2-4	899072-2-4	6779302-5372325-4
assemblage-859-809	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	13	0	0	0	0	0	381	0	0	0	12
assemblage-399-803	0	0	71	0	0	32	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	101	5	0	0	0	20	18	15	0	0	0	0	0	0	0	0	0	0	87	53	0	0	5
assemblage-397-779	0	0	4	0	0	15	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	49	0	0	23	0	0	0	0	113	66	0	0	0	0	0	0	0	0	0	0	0	138	22	0	0	4
assemblage-923-779	0	0	0	0	0	7	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	23	0	0	0	0	122	79	0	0	0	0	0	0	0	0	0	0	0	123	15	0	0	3
assemblage-859-499	0	0	7	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	9
assemblage-731-315	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	26	0	0	12	0	0	36	2	0	0	0	0	0	0	16	0	128	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	9
assemblage-935-118	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	1
assemblage-567-217	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	0	9	0	112	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	6
assemblage-918-961	0	0	9	0	0	0	0	0	0	8	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	86	0	0	5	0	0	0	0	0	0	0	0	0	81	0	0	0	17
assemblage-929-942	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	75	0	70	0	0	0	8	0	0	0	0	0	0	0	0	198	11	0	0	21
