Assemblage_Name	4-0-415513	1-1-2	4-4467719-2069699	3-3-3	4-1-5977635	4-0-7101265	2-0-1291337	4-2-5742587	3751153-0-8013752	4-1-1	4-2-2	2868091-1-1	4-9207109-2069699	4-1742654-2	9548587-0-3	4-2-1704654	1043932-0-3	2-0-78339	4-0-2069699	2-0-3	6668478-2-2	4-9289896-2	4-1-1518850	2897455-7619540-2	2897455-2-2	4-0-1719307	4-2-5351340	4-0-8883218	8419574-0-2069699	6956857-0-2069699	2-1013432-3
assemblage-672-954	0	39	0	0	0	0	0	0	0	35	188	0	0	0	0	0	0	0	160	77	0	0	0	0	0	0	0	0	0	0	1
assemblage-104-483	0	0	0	0	0	0	0	19	0	128	39	0	0	0	0	0	0	0	208	98	0	0	0	0	0	0	0	0	0	0	8
assemblage-289-864	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	263	34	0	0	0	0	12	15	0	0	0	0	6
assemblage-269-930	0	52	0	11	0	0	0	0	0	210	19	0	0	0	0	0	0	0	165	40	0	0	0	0	0	0	0	0	0	0	3
assemblage-176-112	0	28	0	0	0	0	0	0	0	102	24	0	0	0	0	0	0	0	274	71	0	0	0	0	0	0	0	0	0	0	1
assemblage-440-414	0	0	0	112	0	0	0	0	0	268	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-570-232	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	103	256	0	0	0	0	7	0	0	10	0	0	2
assemblage-969-101	0	0	0	0	0	0	0	0	0	15	68	0	0	0	15	0	0	0	193	85	0	0	0	14	59	0	0	43	0	0	8
assemblage-632-438	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	143	110	0	0	0	0	16	127	0	0	0	0	12
assemblage-754-596	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	3	257	128	0	0	0	0	0	0	0	6	0	0	13
assemblage-753-307	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	129	221	0	0	0	0	9	0	0	11	0	0	7
assemblage-108-487	0	0	0	0	0	0	0	0	0	37	163	0	0	0	0	0	0	0	191	81	0	28	0	0	0	0	0	0	0	0	0
assemblage-843-805	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	159	89	0	0	0	0	25	139	0	0	0	0	13
assemblage-205-456	0	119	0	0	0	0	0	0	0	189	66	0	0	0	0	0	0	0	90	34	0	0	0	0	0	0	0	0	0	0	2
assemblage-719-315	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	202	92	0	0	0	0	10	0	0	15	0	0	16
assemblage-864-95	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	233	55	0	0	0	0	0	0	0	0	0	0	2
assemblage-124-770	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	223	92	0	0	0	0	8	0	0	15	0	0	5
