Assemblage_Name	0-7474780-0	6210373-4-1	6210373-4-3373482	1-0-2	1-0-3	0-963902-8548980	0-0-441753	0-9735383-0	2847496-0-0	9511751-0-2	0-0-5228036	0-6757879-0	5144795-963902-0	9577881-0-0	2-4937430-4	2-5841884-4	0-0-0	0-0-8060508	0-3292237-0	0-963902-0	0-9030790-0	5001439-0-0	2692402-4-1	3464050-0-2	0-0-7584927	5376415-1-0	0-9030790-6398381	0-4283587-0	4055477-0-0	0-690976-0	486764-1-4	0-1387586-0	2104825-4-1	1-0-4524694	2-7898848-0	2-1-0	2-1-4	2-1-8134501	7878824-0-0	0-0-5108998	6472020-0-0	7500925-963902-0	0-0-9155012
assemblage-752-988	0	66	0	15	0	0	0	18	0	0	0	0	0	0	0	0	242	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	3
assemblage-868-649	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	72	133	0	0	0	0	0	1
assemblage-866-95	0	41	0	11	0	0	0	20	0	0	0	0	0	0	0	0	299	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0
assemblage-671-963	0	33	0	168	0	0	0	6	0	0	0	0	0	0	0	0	80	0	0	6	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	52	51	0	0	0	0	0	6
assemblage-885-931	0	0	0	30	0	0	0	12	0	0	0	0	0	0	0	0	373	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	5
assemblage-829-151	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	47	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	8
assemblage-93-772	0	114	0	0	0	0	3	0	0	0	0	0	0	0	0	0	322	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
assemblage-953-850	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	16	0	32	221	0	0	0	0	0	0
assemblage-830-129	0	0	0	32	0	0	0	18	0	0	0	0	15	0	0	0	100	0	20	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	9
assemblage-207-398	0	0	0	99	0	0	0	32	0	0	0	0	0	0	0	0	67	0	6	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
assemblage-956-115	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	297	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	6
assemblage-375-787	11	0	0	115	0	0	0	0	0	0	0	9	0	0	0	0	90	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	54	107	0	0	0	0	0	7
assemblage-987-763	0	7	0	148	0	0	0	7	0	0	0	0	0	0	0	0	115	0	0	52	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	89	41	0	0	0	0	0	8
assemblage-300-862	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	3
assemblage-532-763	0	39	0	0	0	0	129	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	12
assemblage-181-462	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	9	0	74	198	0	0	0	0	0	3
assemblage-943-371	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	7	0	11
assemblage-866-109	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	8
assemblage-877-569	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	112	90	0	0	0	0	0	7
assemblage-877-568	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	100	56	0	0	0	0	0	5
assemblage-857-558	0	0	0	164	0	0	0	10	0	0	0	0	0	0	0	0	70	0	0	42	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	88	60	0	0	0	0	0	11
assemblage-510-208	0	0	0	59	0	0	0	24	0	0	0	0	0	0	0	0	299	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	2
assemblage-617-440	0	20	0	0	0	0	69	0	0	0	0	0	0	0	0	0	248	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	3
