Assemblage_Name	3-2902841-1	3-3-8558578	2-3-2292795	3-6779199-0	3-7622300-2	2-3-366137	3-3-432363	2-3-0	3-3-3490361	3-3-1	3-3-4724696	1824328-4844942-0	0-4-0	3-9393093-2	5677091-9083746-1	3-3-2521567	1461508-3-2292795	1181030-9083746-1	3-3-1109899	3-3-9574045	2-2145385-0	3217594-3-0	3-2-5616104	1461450-4-3	3-0-2	3-0-1505890	2-3-8598869	4-4-3	3-5888133-1	4891805-3-0	2-4844942-0	3-3-2422157	3-9083746-1	2133130-7622300-2	3-3-0	3-2-2	2-3821464-0	6617748-3-1	3-7983690-0	3-9083746-6605594
assemblage-752-988	0	0	0	0	3	0	0	187	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	176	0	0	0	0	2
assemblage-868-649	0	0	0	0	0	0	0	119	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	33	0	0	0	0	0	0	131	0	0	0	0	4
assemblage-866-95	0	0	0	0	0	0	0	167	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	192	0	0	0	0	3
assemblage-671-963	0	3	0	0	49	0	0	61	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	110	0	0	12	0	4
assemblage-885-931	0	0	0	0	90	0	0	25	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	247	0	0	0	5	9
assemblage-829-151	0	0	0	0	24	0	0	85	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	151	0	0	8	0	2
assemblage-93-772	0	0	0	0	0	0	0	169	0	113	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	190	0	0	0	0	0
assemblage-953-850	0	0	0	0	0	0	0	114	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	132	0	0	0	0	0	0	3	0	0	0	0	8
assemblage-830-129	0	0	0	0	91	0	0	147	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	10	0	0	0	45	0	109	0	0	0	0	3
assemblage-207-398	0	0	0	0	22	0	0	101	0	191	0	0	0	22	0	0	0	0	0	0	0	0	0	0	60	0	0	27	0	0	0	0	0	0	75	0	0	0	0	2
assemblage-956-115	0	0	0	0	0	0	0	132	0	175	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	2
assemblage-375-787	0	0	0	0	0	0	0	95	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	97	0	0	0	0	0	0	90	0	0	0	0	13
assemblage-987-763	0	0	0	0	65	0	0	112	0	137	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0	0	8	0	0	0	0	51	0	97	0	0	6	0	4
assemblage-300-862	0	0	0	0	0	0	0	349	0	52	0	0	0	0	0	0	10	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	2
assemblage-532-763	0	0	0	0	0	0	43	203	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	5
assemblage-181-462	0	0	0	0	0	0	0	102	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	133	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-943-371	0	0	0	0	0	0	0	210	36	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	177	0	0	0	0	1
assemblage-866-109	0	0	0	0	0	0	0	42	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	265	0	0	0	0	10
assemblage-877-569	0	0	0	0	81	0	0	104	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	78	0	13	0	0	0	0	6
assemblage-877-568	0	0	0	0	104	0	0	80	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	65	0	0	0	0	0	0	4
assemblage-857-558	0	0	0	0	26	0	0	79	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	55	0	0	0	0	15	0	80	0	0	0	0	19
assemblage-510-208	0	0	0	0	13	0	0	85	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	54	195	0	0	0	0	4
assemblage-617-440	0	0	0	0	0	0	4	237	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	13
assemblage-881-672	0	0	0	0	10	0	0	80	0	132	0	4	0	23	0	0	0	0	0	0	0	0	0	0	72	0	15	93	0	0	0	0	0	0	59	0	0	0	0	12
assemblage-573-213	0	0	0	0	0	0	0	287	0	34	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	13
assemblage-637-432	0	0	0	0	0	0	0	229	0	192	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	4
assemblage-698-780	0	0	0	0	24	0	0	22	0	36	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	291	0	0	0	0	8
assemblage-863-648	0	0	0	0	92	0	0	83	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	52	0	0	0	0	0	0	6
assemblage-871-116	0	0	0	0	0	0	0	59	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	140	0	0	0	0	4
assemblage-239-219	0	0	0	0	40	0	0	127	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	156	0	0	0	0	7
assemblage-124-179	0	0	0	0	48	0	0	99	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	15	187	0	0	0	0	11
assemblage-961-129	0	0	0	0	0	0	0	266	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	176	0	0	0	0	5
assemblage-867-659	0	0	0	0	68	0	0	63	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	59	0	0	0	0	0	0	89	0	0	10	0	1
assemblage-908-762	0	0	0	0	0	0	0	75	0	216	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	116	0	0	0	0	0	0	81	0	0	0	0	3
assemblage-781-955	0	0	0	0	66	0	0	137	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	9	0	0	0	33	0	134	0	0	0	0	13
