Assemblage_Name	4-1-8656703	2-2-7659709	2-2-7865086	4-7059787-2	3135594-1-3875345	2897425-5697861-4	4-1-4	4-1-1	270493-1-4	4-1-460921	4-1-3875345	6066746-2-3	611805-4-2	5974816-1-3875345	4-1-4169994	4-7059787-6167779	6256896-4-2	2-2-3	4-1-5748953	4-1-5669555	8443647-2-3	2-3146224-3	2-2-2090811	8189879-2-3	2-4-0	3058276-1-3875345	2-0-2	2-0-0	2897425-9148931-4	2897425-1-4	4-4-2	4-8814754-3875345	1607288-0-0	2897425-1-22610	2-2-3154781	228634-2-3	6639550-1-3875345	2-0-3258342
assemblage-752-988	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	168	119	0	0	0	0	0	0	18
assemblage-868-649	0	0	0	0	0	0	125	0	0	0	59	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	99	112	0	0	0	0	0	0	9
assemblage-866-95	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	205	124	0	0	0	0	0	0	7
assemblage-671-963	0	0	0	0	0	0	90	0	0	0	60	0	0	0	0	0	0	115	0	0	0	0	18	0	0	0	0	0	0	102	111	0	0	0	0	0	0	4
assemblage-885-931	0	0	0	0	0	0	0	0	0	29	19	0	0	0	0	0	0	145	0	0	0	0	0	21	0	0	0	0	0	217	58	0	0	4	0	0	0	7
assemblage-829-151	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	13
assemblage-93-772	0	0	0	0	0	0	0	0	0	39	101	0	0	0	0	65	0	149	0	0	0	0	0	0	0	0	0	0	0	130	12	0	0	0	0	0	0	4
assemblage-953-850	0	0	0	0	0	0	83	1	0	0	0	0	0	0	0	0	17	47	12	10	0	0	0	0	0	0	0	0	0	143	181	0	0	0	0	0	0	6
assemblage-830-129	0	0	0	0	0	0	7	0	0	0	10	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	80	159	0	0	12	0	0	0	2
assemblage-207-398	0	0	0	0	0	0	62	0	0	0	79	0	0	0	0	0	0	140	0	0	0	0	6	0	0	0	0	13	0	14	185	0	0	0	0	0	0	1
assemblage-956-115	0	0	0	0	19	0	0	0	0	10	188	0	0	0	0	4	0	138	0	0	0	0	0	0	0	0	0	0	0	122	13	0	0	0	0	0	0	6
assemblage-375-787	0	0	0	0	0	0	106	0	0	0	60	0	0	0	0	0	3	47	0	0	0	0	0	0	0	0	0	42	0	83	154	0	0	0	0	0	0	5
assemblage-987-763	0	0	0	0	0	0	58	0	0	0	65	0	0	0	0	0	0	166	0	0	0	0	14	0	0	0	0	0	0	35	149	0	0	0	0	0	0	13
assemblage-300-862	1	0	0	0	41	0	0	0	0	0	208	0	0	0	0	26	0	167	0	0	35	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	12	2
assemblage-532-763	0	0	0	0	37	0	0	0	0	0	182	0	0	0	0	7	0	134	0	0	46	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	8
assemblage-181-462	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	7	50	8	7	0	0	0	0	0	0	0	5	0	143	188	0	0	0	0	0	0	8
assemblage-943-371	0	0	0	12	0	0	0	0	0	38	63	0	0	0	0	19	0	83	0	0	0	0	0	0	0	0	0	0	0	188	92	0	0	0	0	0	0	5
assemblage-866-109	0	0	0	0	0	0	9	0	0	87	127	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	103	18	0	0	0	0	0	0	2
assemblage-877-569	0	12	0	0	0	0	58	0	0	0	7	0	0	0	0	0	0	220	0	0	0	0	30	0	0	0	0	9	0	106	56	0	0	0	0	0	0	2
assemblage-877-568	0	15	0	0	0	0	69	0	0	0	4	0	0	0	0	0	0	217	0	0	0	0	25	0	0	0	0	6	0	122	40	0	0	0	0	0	0	2
