Assemblage_Name	2-4208417-1	4-2-0	9993312-2-1	6837790-1-2	8016712-4-3	6621328-4-7364893	1331154-1-1	6358768-1-2	3866154-1-1	6837790-6449588-5831759	0-4-3375802	264391-2-1	5235-4-3	0-8246793-3640689	8756805-1-2	2-1-4958919	2-8960916-1905646	2-1-2	4-8257126-0	6837790-1-7869728	6621328-8651047-3	6837790-6133024-2	0-4-423780	8065211-4-9041157	8971549-2-1	0-4224004-3	5076101-1-2	0-3943324-3640689	0-0-2842510	0-2968938-423780	7397934-4-3	0-4-3	0-1-1	0-2359875-1	6933598-1-1	0-3100402-3	8284506-1-2	0-9877906-3	9521900-1-1	0-4-4148136	3-361820-2184373	0-1980771-3	0-0-4	0-1-3680873	0-4-3640689	0-1-9032466	0-3100402-1134478	2-1-1905646	0-4-3198734	3300624-2-1	7944313-667944-3	67638-0-4	7596520-4-3	2-7657520-1	0-9851036-1581126	0-6622118-3	0-4-1581126	2-4815789-2	0-4-3826006	0-9085787-3	0-9099508-3	0-666159-3	0-1177847-1	2-2-7171193	2-2-1	7014233-4-3	0-4-8921472	3-5084368-2184373	9388070-1-2	5506818-2359875-1	2714800-4-3	2-2-8693476	2-5323282-2	2-2-9545874	0-7083773-3	0-1-1272053	6178108-4-3	2-7441655-2	6276552-4-3	0-4-4252759	6837790-6133024-6076067	0-1057084-1	5235-4-5876833	2-176937-1	0-3126670-1	2881108-1-1	8756805-1-4046531	6837790-6268796-2	2-1-9721186	8031021-4-3	2433218-4-3	7944313-4-3	31277-4-3	1496398-4-3	0-1-7595902	3561739-4-3	0-0-5463461	4-0-1	4510670-1-1	636509-361820-2184373	0-1-8085384	6837790-1-5831759	5890950-1-1	6621328-4-3	2-1-1669881	2-4565867-2	2-2-5702298	2-1-2787689	1235947-4-3	0-2362720-4
assemblage-752-988	0	0	0	76	0	0	0	0	0	0	0	0	0	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	70	186	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	4	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	38
assemblage-868-649	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	77	33	0	0	0	0	0	0	0	0	0	0	0	0	73	94	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	35	0	0	15
assemblage-866-95	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	95	176	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	7	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	33
assemblage-671-963	0	0	0	24	0	0	0	0	45	0	0	0	0	0	0	0	0	64	26	0	0	0	0	0	0	0	0	0	0	0	0	86	130	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-885-931	0	0	0	26	0	0	16	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	11	0	0	0	0	0	0	0	0	284	43	10	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-829-151	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	27	0	0	0	0	0	4	0	0	111	99	0	0	0	0	0	0	0	0	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	33	0	0	0	0	0	214	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	25
assemblage-953-850	0	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	49	0	0	0	0	0	0	0	0	40	12	0	0	21
assemblage-830-129	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	84	0	0	50	188	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-207-398	10	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	36	11	0	0	0	0	0	0	0	8	0	0	0	0	117	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-956-115	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	22	0	0	0	40	0	0	0	6	0	0	0	0	0	207	37	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	24
assemblage-375-787	0	0	0	0	26	0	0	0	0	0	0	21	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	54	91	0	0	0	27	0	0	0	0	0	25	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-987-763	0	0	0	20	0	0	0	0	11	0	0	15	0	0	0	0	0	90	15	0	0	0	0	0	0	0	0	0	7	0	0	55	146	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-300-862	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	143	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	13
assemblage-532-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	263	18	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	14
assemblage-181-462	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	46	0	0	0	0	0	0	0	0	54	13	0	0	25
assemblage-943-371	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	42	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	13	0	3	0	0	0	0	0	14
assemblage-866-109	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	199	85	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	88	0	0	0	0	0	27
assemblage-877-569	7	14	0	0	0	0	0	0	0	0	0	8	0	0	0	0	49	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	18
assemblage-877-568	16	37	0	0	0	0	0	0	0	0	0	12	0	0	0	0	35	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	29	0	0	12
assemblage-857-558	32	3	0	16	0	0	0	0	0	0	0	31	0	0	0	0	16	61	12	0	0	0	0	0	0	0	0	0	0	0	0	62	100	0	10	0	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	12	0	0	17
