Assemblage_Name	2291493-2-2	2-4-9983077	2291493-4696583-2	2898534-7016945-2	2259716-4-3	0-3006249-2	5586929-7173346-8076734	2-4-7039799	2-2683542-3	2-2675482-8535023	8359910-7173346-2	2-4-5581846	2-4-8716382	3684488-4-3373143	2-2675482-4283764	0-1-2	3409427-4-5581846	5586929-3203060-8076734	4986171-2295315-2	9633117-4-3	9260473-4-3	2-4-7707917	2-8942395-3	5586929-6508952-8076734	0-7016945-1239717	2-4-8411746	0-7016945-5457348	2-2675482-6725645	2334663-4-7707917	1-3-0	4986171-7173346-2	2314297-4-3	0-7016945-2	4986171-8998112-2	2-4-5024328	2-4-3377579	8853374-7173346-2	3313470-4-3	4986171-7173346-3371484	6985487-7173346-7160213	587825-4-3	2-4-3	1-3-9602711	2-4070807-3	300894-7173346-8076734	4986171-7173346-7160213	0-265227-2	1746302-4-3	3750762-7173346-8076734	5586929-7173346-2	2-4883649-3	2-4-2758104	2291493-7771941-2	2-6195595-3	176401-4-8716382	5493567-7173346-1907061	2-4-5964412	5586929-7173346-2728987	5493567-7173346-2	2-2675482-3	4986171-7173346-4640596	6721065-4-2817957	0-0-2	459017-7016945-5457348	2-4-2817957	0-8349540-2	4986171-7173346-7038794	2-1458627-3	2-2872942-3	2-9154013-3	2-4-6958661	0-3006249-8118745	2-4-3373143	775266-2675482-3	0-7173346-2	3753309-9217773-4	2-4-1890713	2-4-5265679
assemblage-206-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	152	0	0	0	0	0	0	0	144	0	62	0	0	11
assemblage-947-379	0	0	0	0	0	0	0	0	0	0	29	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	11	113	0	0	0	0	0	0	84	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	93	0	0	0	28	0	0	18	0	0	0	10	0	0	0	21
assemblage-156-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	2	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	15	0	0	0	0	74	0	195	0	0	12
assemblage-885-841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	13	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	11	0	19	0	0	0	0	0	0	0	47	0	27	0	0	15
assemblage-505-214	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	28	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	140	0	10	0	0	0	0	0	0	0	0	0	32	0	0	9
assemblage-858-122	0	0	0	0	0	0	36	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	97	0	0	41	22	0	0	35	0	0	0	0	0	0	0	4	0	0	5
assemblage-787-946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	40	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	46	0	25	0	0	7	0	0	0	0	36	0	55	0	0	15
assemblage-171-84	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	113	0	0	0	0	0	0	0	0	0	5	0	16	0	0	14
assemblage-908-840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	7	44	0	39	0	0	0	0	0	0	0	16	0	0	0	0	13
assemblage-965-927	115	0	4	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	12	0	0	37	0	0	7
