Assemblage_Name	7724876-3-0	2823426-3-0	1-6136844-6288469	5037398-3-0	4748445-3-0	3-2296024-2	3227282-6136844-0	2957402-3-2	4335779-6136844-0	1-3737015-0	6037916-4-1	1-3-238461	1-6136844-86309	7894232-3-0	1-3-3426224	7070894-3-0	5454521-6136844-0	3-3-3487925	1-3-8106425	9706544-3-0	5207000-0-0	1-3-5130677	9658448-3-2602592	3-3-2	3788018-3-0	4568533-3-0	3-9556433-2	4800572-6136844-3009163	0-0-1	4335779-9498123-621066	3-3120422-8874061	3267198-9418046-2	1-3-3867490	1-6557329-0	1-8729062-0	7070894-9653197-0	4922361-9556433-2	1069799-3-0	2-3-0	3-3-153319	6654257-3-0	8576247-3-0	3-8746527-2	1-3692398-0	3-9556433-3372581	1-6136844-3009163	1-3-2648723	1-3-0	1-0-3538608	1-3-4759572	7070894-6851436-0	1-6600188-0	1-6130398-0	1-1741643-0	1-2544327-0	6177437-3-0	3-3-7861478	3-4-0	1-5010628-0	1-5962811-0	7338034-9498123-0	1-8426989-0	3-2574036-2	1-6136844-0	2538550-0-0	1-0-0	3-3-2053895	1-3-9407415	1-3-8788018	3-9556433-804995	1-3-4058278	1-659375-0	6275101-3-0	0-3433803-1	1-6136844-4895899	7669638-3-2	1-6136844-4302309	0-0-5690961	180140-3-3426224	3-3-8874061	180140-9145569-3426224	4335779-9498123-0	3-6138676-2	3-9444008-2	2-2-2168089	7070894-3-5189439
assemblage-752-988	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	78	0	0	0	0	0	10
assemblage-868-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	13
assemblage-866-95	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	62	0	0	0	0	0	12
assemblage-671-963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	120	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-885-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	17	0	0	8	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-829-151	0	0	0	0	0	9	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10	110	0	187	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-953-850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	20
assemblage-830-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-207-398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	135	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
