Assemblage_Name	0-7583452-392737	4374349-4-3476646	2-4-3982013	2499652-4-4	0-341250-4	9350156-2845709-3476646	2-6331817-4	5214784-4-4	2-4-3411481	2189044-7122064-3476646	7292238-4-4	9350156-4-3476646	2-4-2075495	3038288-4-4	0-3314678-4	4181437-4604781-4	2-7994563-3411481	0-4-4	1275036-7122064-3476646	0-4-6483331	0-4458322-4	8665077-4-3628063	9350156-486038-447297	0-4-3476646	0-4-391775	7179304-4-3411481	0-6456341-1292436	2-4-3071850	3020913-7583452-4	0-6499797-4	9350156-7122064-3476646	2499652-4530372-4	0-1202284-4	9350156-486038-3476646	2-9218707-3411481	7773846-0-6618040	1506700-4-4	2-8032947-4	2-4-2	2-4-4	2-9218707-4937214	2-2128380-3411481	0-4-2834006	0-3729631-392737	0-341250-2449648	390168-4-4	0-7583452-4	0-4-1404555	5533140-0-3	4504397-4-4	0-410611-4	0-6499797-3123185	2-9089087-3411481	9350156-486038-2500789	0-8926277-4	2-8020699-4	2-3162886-4	2-3392859-3411481	2499652-4-5624587	1510924-4-4	3397246-6499797-4	8665077-4-3411481	7257774-4-3476646	2-2168511-4	0-6499797-1292436	7773846-0-3	2-4604781-4	4655006-6499797-4	2127874-4-3411481	5912267-4-4	2-4-8134318	8887016-4-4	0-4783168-4	5161314-4-3476646	7773846-3419149-3	2-2041753-3411481	0-6499797-5423289	7773846-7586890-3	2-3798915-3411481	7706295-4-4	2971022-4-4	2-4-377646
assemblage-752-988	0	0	0	87	0	0	0	0	178	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-868-649	0	0	0	0	39	46	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	32	20	0	0	34	0	10	0	0	0	83	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	10
assemblage-866-95	0	0	0	87	0	0	0	0	205	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-671-963	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	4	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-885-931	0	0	0	82	0	0	0	0	119	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5
assemblage-829-151	0	0	0	97	0	0	0	0	114	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	157	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-93-772	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	30	0	84	0	0	0	0	0	0	8	0	0	0	0	31	0	17	0	0	0	0	0	0	0	85	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-953-850	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	16	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	53	0	0	0	0	0	0	27
assemblage-830-129	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-207-398	0	0	0	0	6	0	0	0	62	0	0	0	0	0	8	0	6	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-956-115	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	99	0	7	0	0	0	0	0	0	0	110	0	0	0	0	0	0	41	0	0	0	0	23	0	0	0	0	0	0	0	0	0	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	31	0	0	5
assemblage-375-787	0	0	0	0	92	0	0	0	0	36	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	8
