Assemblage_Name	2559871-8952806-1	2-2010276-1	5592634-4-1	2-1890704-1	2-1-5458090	0-9769267-2	3-3179916-821237	5875042-2-226164	3-3179916-0	3-2-226164	7481502-1-1	0-6653765-2	5970712-3179916-0	8180774-2-2	4-4-4	2-1-3285072	0-3-2	0-2-6626474	1358952-4-1	2559871-1-1	3-2-6544721	1256996-2-2	3-5235514-1	2-1-1	3-4-1	9989389-1-1	0-2-2	0-2-138251	3-3179916-9616508
assemblage-824-163	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	144	0	3
assemblage-751-589	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	8	0	0	0	74	0	0	381	0	0
assemblage-503-216	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	7	0	0	0	0	0	193	0	0	179	0	5
assemblage-444-418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	7	0	0	0	0	373	39	0	0	0	3
assemblage-902-784	0	0	0	0	0	0	0	0	18	103	0	0	0	0	0	0	0	0	0	0	0	0	8	195	65	0	103	0	8
assemblage-564-224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	242	0	0	250	0	1
assemblage-920-795	0	0	0	0	0	16	0	0	0	25	0	0	0	0	0	0	0	0	0	34	0	0	0	278	0	0	144	0	3
assemblage-951-379	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	392	0	4
assemblage-775-939	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	136	0	6
assemblage-975-756	0	0	45	0	0	0	0	0	0	70	0	0	0	0	0	5	0	0	0	0	0	0	62	145	17	0	151	0	5
assemblage-901-928	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	9	0	0	0	0	0	187	0	0	156	0	6
assemblage-692-760	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	61	0	0	0	0	0	369	0	0	9	0	2
assemblage-505-653	0	0	0	0	0	0	0	0	101	88	0	0	0	0	0	0	18	0	0	0	0	0	7	97	134	0	49	0	6
assemblage-255-237	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	121	0	7
assemblage-564-226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	235	0	0	253	0	1
assemblage-941-790	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	0	0	0	79	0	0	380	0	0
assemblage-206-394	0	0	0	0	0	0	0	0	24	64	0	0	0	0	0	0	0	0	0	0	0	0	32	247	20	0	106	0	7
assemblage-947-379	0	0	0	0	0	18	0	0	0	39	0	0	0	0	0	0	0	0	0	45	0	0	0	247	0	0	145	0	6
