Assemblage_Name	1707976-6342798-3094946	2-6394348-7921657	2-1532495-5626926	2-0-9402122	2-0-5218743	3-3-3094946	2-3-4	2-0-6729584	3-3-1	3925512-0-6188291	2-5593696-5626926	8513935-2-5400278	2-5378508-8183531	2-0-6188291	5106264-0-5626926	2-0-4573056	2-2-5400278	2-859407-7921657	2-3899803-5400278	2-0-5626926	2999562-0-6188291	2-0-1396244	2-5378508-9890389	2-6004169-5020325	2-4624795-7921657	2-0-3081818	2-7999607-0	2-2675213-0	3-3-9740637	2-0-148134	3-6342798-3094946	1707976-6342798-695894	2-0-918885	464337-0-0	8377462-2-5400278	2-7447752-0	8996415-2233769-0	2-4119526-0	2-0-8183531	2-3-9330332	2-0-658366	2-0-7184064	2-6415551-0	7022313-2-5400278	2-230068-0	2-0-0	2-2141472-0	2-0-1269797	8023962-3-1	2-9643104-5218743	2-4751074-5400278	4222552-2-5400278	2-2042764-0	2-0-3923177	2-0-2073679	9977722-2-5400278	2-2260312-7921657	2-0-2893011	2-0-5020325	5765336-0-0	1347321-2-5400278	2-0-7921657	4328439-859407-7921657	2163453-2-5400278	7459091-2-5400278	3-3-5540310
assemblage-935-118	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	86	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	30	30
assemblage-567-217	0	0	7	0	96	0	0	0	0	0	0	0	0	10	0	0	150	9	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	185	0	0	0	15
assemblage-918-961	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	120	5	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	18	0	0	51	11
assemblage-929-942	0	0	0	0	63	48	0	0	0	0	0	0	0	0	0	0	129	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	38	0	0	77	5
assemblage-287-849	0	0	0	0	8	0	0	0	0	0	0	0	0	0	53	0	239	0	0	90	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	37	0	22	0	13
assemblage-271-845	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	151	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	31
assemblage-131-138	0	0	0	0	48	22	0	0	0	0	30	0	0	0	0	0	37	28	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	41	0	0	41	9
assemblage-954-840	0	0	0	0	0	0	34	0	8	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	13	0	0	0	0	88	0	0	0	0	0	0	0	0	0	34	0	0	0	12
assemblage-572-224	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	102	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	48	19
assemblage-855-815	0	0	0	0	8	0	0	0	0	0	0	0	0	0	53	0	231	0	0	98	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	35	0	14	0	16
assemblage-905-827	0	0	0	0	9	0	0	11	0	0	0	0	0	0	0	0	77	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	55	0	0	0	83	0	0	0	0	0	41	0	0	24	6
assemblage-486-677	0	0	0	0	0	0	166	0	34	0	0	0	47	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-926-782	0	0	0	0	0	30	49	4	145	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	177	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6
assemblage-912-785	0	0	0	0	0	0	19	0	53	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	207	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	123	0	0	0	22
assemblage-920-952	0	0	0	0	83	0	0	0	0	0	21	0	0	0	0	0	7	39	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	166	0	0	54	5
assemblage-262-234	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	63	41	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	9	0	0	0	8	0	0	0	7	0	0	0	0	0	171	0	0	44	11
assemblage-779-935	0	0	0	0	0	50	0	10	0	0	0	0	0	0	0	0	36	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	69	0	0	59	7
assemblage-661-958	0	0	0	0	0	26	0	43	0	0	0	0	0	0	0	0	23	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	110	0	0	91	11
