Assemblage_Name	3918332-3-3	4-4026524-4	4-1285845-7527192	2331573-4-3592904	2-875264-2220012	822050-2-4	2331573-4-89733	4-2-5823868	4-2-6302218	2331573-4-4874235	2331573-4-0	4-2-4	2-2184407-4	3-4-0	4-8721814-4	2-4-4	2371456-2-4
assemblage-747-593	49	43	0	0	0	0	14	53	0	59	0	181	0	7	0	77	17
assemblage-328-698	0	0	0	0	0	11	40	0	0	10	0	232	130	0	0	36	23
assemblage-617-283	71	22	8	0	0	0	68	3	0	0	0	262	0	0	0	48	15
assemblage-243-323	119	0	0	0	0	0	3	0	0	0	0	345	12	0	0	11	10
assemblage-223-771	31	0	0	0	0	0	0	0	0	0	0	273	0	0	15	109	8
assemblage-339-716	22	102	87	0	23	0	0	0	0	0	0	102	0	7	0	147	10
assemblage-608-767	85	0	0	0	0	0	0	0	60	0	0	282	0	0	7	38	28
assemblage-94-905	0	220	0	0	12	0	0	0	0	0	0	75	0	97	0	0	19
assemblage-754-638	40	34	66	0	0	0	12	0	0	34	90	108	0	20	0	63	25
assemblage-472-737	0	0	0	0	0	10	48	0	0	20	0	205	119	0	0	38	29
assemblage-523-751	56	52	0	5	0	0	19	34	0	61	0	189	0	13	0	61	10
assemblage-932-998	28	104	41	0	32	0	0	0	0	0	2	69	0	148	0	65	11
assemblage-821-647	209	0	0	0	0	0	0	0	0	0	0	168	0	7	0	23	16
assemblage-405-318	22	0	0	0	0	0	0	0	87	0	0	316	0	0	0	7	15
assemblage-680-942	136	0	0	0	0	10	8	0	0	0	0	184	18	0	0	104	13
assemblage-353-255	54	64	0	7	0	0	14	45	0	64	0	158	0	10	0	73	11
assemblage-733-469	0	122	35	0	20	0	0	0	0	0	60	209	0	13	0	29	12
assemblage-759-483	15	125	53	0	32	0	0	0	0	0	7	76	0	129	0	46	8
assemblage-234-493	3	132	0	0	0	0	69	0	0	0	0	178	0	0	0	58	13
assemblage-230-174	33	0	0	0	0	0	0	0	85	0	0	129	0	0	191	32	8
assemblage-211-180	31	0	0	0	0	0	0	0	96	0	0	119	0	0	189	10	9
assemblage-262-640	99	0	0	0	0	0	0	0	51	0	0	270	0	0	11	48	21
assemblage-608-915	33	30	2	0	24	0	0	0	0	0	0	233	0	39	0	127	12
assemblage-826-115	160	54	0	6	13	0	0	53	0	0	0	143	0	33	0	11	7
assemblage-937-366	10	0	0	0	0	0	39	0	0	0	0	276	8	0	0	95	33
assemblage-515-132	22	13	0	0	0	0	66	0	0	0	0	258	41	0	0	86	14
assemblage-111-900	0	197	5	0	2	0	0	0	0	0	0	87	0	129	0	0	7
assemblage-369-692	24	35	9	0	21	0	0	0	0	0	0	220	0	37	0	142	7
assemblage-420-841	144	0	0	0	0	0	13	0	0	0	0	185	10	0	0	98	13
assemblage-758-647	56	65	0	14	0	0	0	0	0	0	11	192	0	79	0	52	12
