Assemblage_Name	5006049-0-2	3-3-4385846	0-1145470-2	2-2-1	2-4-1	2-3-1	3-3-2	2-9374947-1	0-3-2	2-6013449-1	2-4-7092929
assemblage-571-457	0	0	0	0	281	0	216	0	0	0	3
assemblage-253-726	24	0	63	0	173	0	54	0	133	0	8
assemblage-344-184	0	0	0	0	202	0	289	0	0	0	9
assemblage-617-283	55	48	0	0	207	0	181	0	0	0	9
assemblage-925-970	37	0	0	117	136	0	155	0	49	0	6
assemblage-885-866	32	0	0	0	408	0	57	0	0	0	3
assemblage-618-925	39	0	19	276	60	15	71	0	19	0	1
assemblage-731-490	40	0	25	67	279	0	25	0	46	0	7
assemblage-104-904	0	0	0	116	75	0	218	0	59	0	8
assemblage-755-641	40	0	0	26	223	0	150	10	33	11	7
assemblage-393-312	0	0	0	0	154	0	339	0	0	0	0
assemblage-612-275	40	42	0	0	226	0	191	0	0	0	1
assemblage-465-737	17	0	0	0	267	0	215	0	0	0	1
assemblage-348-188	0	0	0	0	180	0	319	0	0	0	1
assemblage-234-940	0	0	0	10	260	0	219	0	0	0	3
assemblage-353-255	53	88	0	9	174	0	89	0	83	0	4
assemblage-678-943	0	0	0	0	154	0	345	0	0	0	1
assemblage-109-340	0	3	0	0	152	0	330	8	0	0	7
assemblage-421-842	0	0	0	0	203	0	289	0	0	0	8
assemblage-240-941	0	0	0	29	219	0	171	45	10	23	3
assemblage-248-353	0	0	0	0	230	0	259	0	0	0	11
assemblage-461-403	47	7	0	0	199	0	187	0	59	0	1
assemblage-463-409	0	0	0	64	278	0	100	20	15	23	0
assemblage-347-681	0	0	0	0	349	0	145	0	0	0	6
assemblage-721-988	17	0	0	43	166	0	219	0	44	0	4
assemblage-235-123	0	0	0	0	286	0	212	0	0	0	2
assemblage-827-631	0	0	0	25	296	94	79	0	0	0	6
assemblage-360-710	20	0	11	69	142	30	140	0	87	0	1
assemblage-224-659	0	0	0	0	83	0	409	0	0	0	8
assemblage-609-945	26	0	22	263	58	13	92	0	18	0	8
