Assemblage_Name	3-8169511-5777736	3-9236826-2	1-3-7168663	1076290-0-2	3-8169511-0	962386-0-2	1-891337-2	3-8169511-524382	1-3-9317215	3-2-2	7374824-0-2	1-9286612-2	1-3-1142044	2910558-8169511-0	0-3-3	1-0-3418858	1-3-2344215	1-3-2	1-4134718-2	900661-0-2	1-9514046-2	1-0-2	58318-8913995-2	2910558-4860533-0	1177105-3-2	5311752-3-2	3431506-0-2	1-0-3981688
assemblage-689-282	0	18	0	18	123	69	0	0	0	40	0	0	0	34	0	0	0	164	0	0	0	17	0	0	0	0	1	10
assemblage-227-460	0	0	0	0	130	8	0	10	0	0	29	0	0	144	0	0	0	50	66	0	0	19	0	0	0	0	0	17
assemblage-831-655	0	9	0	0	130	200	0	0	0	50	0	0	0	0	11	0	0	72	0	14	0	9	0	0	0	0	0	5
assemblage-340-180	21	0	0	0	69	0	23	0	0	0	35	48	0	0	0	24	0	0	65	0	0	9	0	80	49	0	0	16
assemblage-602-744	0	18	0	0	68	44	0	0	0	0	0	0	0	63	0	0	0	120	0	0	94	35	0	0	0	0	6	27
assemblage-613-289	0	0	0	0	132	14	0	13	0	0	35	0	0	127	0	0	0	63	58	0	0	11	0	0	0	0	0	22
assemblage-754-638	0	7	0	0	111	33	0	0	0	0	0	0	10	67	0	0	0	175	0	0	34	40	0	0	0	0	0	8
assemblage-251-956	0	0	44	0	11	123	0	0	0	0	0	0	0	22	0	0	2	211	0	0	65	0	7	0	0	0	0	15
assemblage-254-112	46	0	0	0	97	0	0	0	0	0	16	111	0	0	0	7	0	0	61	0	0	79	0	11	0	0	0	12
assemblage-743-627	0	0	0	0	109	8	0	0	0	0	0	0	148	62	0	0	0	128	12	0	11	0	0	0	0	0	0	10
assemblage-733-469	0	19	0	0	61	43	0	0	0	8	0	0	0	76	0	0	0	93	0	0	104	60	0	0	0	0	1	3
assemblage-897-857	0	0	0	0	106	0	0	0	0	0	8	0	0	10	0	0	0	121	83	0	0	13	0	0	17	45	0	18
assemblage-722-982	0	6	0	0	28	77	0	0	0	0	0	0	55	5	0	0	0	179	0	0	70	8	0	0	0	0	0	13
assemblage-421-842	0	0	0	0	0	0	8	0	0	0	90	0	0	0	0	0	0	0	89	0	0	77	0	197	0	0	0	12
assemblage-825-627	0	9	0	0	143	187	0	0	0	37	0	0	0	0	18	0	0	81	0	12	0	3	0	0	0	0	0	10
assemblage-236-458	0	0	0	0	32	52	0	0	18	0	0	0	6	40	0	0	0	200	17	0	0	102	0	0	0	0	0	22
assemblage-359-472	0	0	0	0	35	0	0	29	0	0	26	0	0	0	0	0	0	5	162	0	0	51	0	9	32	61	0	16
assemblage-240-941	0	0	42	0	16	133	0	0	0	0	0	0	0	18	0	0	11	208	0	0	54	0	8	0	0	0	0	10
assemblage-450-743	0	0	0	0	55	0	0	41	56	0	8	0	0	0	0	2	0	86	211	0	0	19	0	13	0	0	0	8
assemblage-685-929	0	0	0	0	68	0	0	0	31	0	36	59	0	0	0	0	0	0	92	0	0	108	0	56	9	3	0	24
assemblage-357-276	0	0	52	0	16	110	0	0	0	0	0	0	0	28	0	0	6	218	0	0	52	0	6	0	0	0	0	12
assemblage-327-693	0	0	0	0	113	0	0	0	0	0	12	0	0	8	0	0	0	134	66	0	0	10	0	0	11	48	0	14
assemblage-608-503	0	32	0	9	49	55	0	0	0	17	0	0	0	27	0	0	0	149	0	0	33	71	0	0	0	0	4	22
assemblage-621-771	0	0	0	0	180	0	0	0	25	0	30	6	0	0	0	40	0	0	115	0	0	43	0	36	0	0	0	19
assemblage-369-692	0	6	0	22	110	84	0	0	0	35	0	0	0	38	0	0	0	160	0	0	0	21	0	0	0	0	10	14
assemblage-213-781	0	0	0	0	96	0	0	0	0	0	35	84	0	0	0	6	0	0	123	0	0	80	0	38	0	0	0	38
assemblage-849-911	0	0	0	0	46	108	0	0	0	0	0	0	70	24	0	0	0	151	0	0	71	0	0	0	0	0	0	13
assemblage-235-123	17	0	0	0	276	0	3	0	0	0	0	42	0	0	0	15	0	0	45	0	0	23	0	21	0	0	0	3
assemblage-827-631	0	13	0	0	148	198	0	0	0	38	0	0	0	0	9	0	0	67	0	10	0	9	0	0	0	0	0	8
assemblage-240-109	22	0	0	0	227	0	0	0	0	0	6	19	0	0	0	0	0	0	69	0	0	46	0	81	0	0	0	6
