Assemblage_Name	3292217-3-1	3-3-0	4-1-4	0-1-0	3-760097-0	0-0-4	1-3-1	2-1-0	1-3-6807610	0-1-6734204	0-1-4956290	673031-3-0
assemblage-700-275	11	4	45	0	0	14	239	113	0	13	11	16
assemblage-328-698	0	139	0	0	0	46	298	0	0	13	0	4
assemblage-412-850	0	59	0	0	3	0	287	0	0	66	0	1
assemblage-218-462	0	4	0	0	0	122	365	0	7	0	0	2
assemblage-262-660	0	111	0	0	13	0	245	0	0	115	0	16
assemblage-909-972	0	6	41	6	0	85	136	5	0	190	0	6
assemblage-486-668	0	0	133	23	0	9	66	240	0	0	0	9
assemblage-503-748	0	159	0	2	0	111	167	15	0	33	0	13
assemblage-754-638	0	0	14	0	0	17	360	69	0	19	0	9
assemblage-821-643	136	0	12	0	0	0	288	20	0	3	0	19
assemblage-728-992	0	36	105	0	0	34	207	61	0	50	0	7
assemblage-597-731	0	19	36	0	0	67	308	28	0	38	0	4
assemblage-405-318	0	165	0	0	146	0	157	0	0	0	0	17
assemblage-336-184	0	121	0	0	284	0	34	0	0	46	0	15
assemblage-109-340	0	100	0	0	0	39	277	0	10	45	0	7
assemblage-218-797	0	71	0	0	0	0	399	0	0	17	0	13
assemblage-262-104	0	158	0	0	84	0	237	0	0	0	0	11
assemblage-264-339	0	120	0	0	0	0	321	0	0	16	0	3
assemblage-815-115	0	75	20	42	0	128	99	23	0	109	0	4
assemblage-236-458	0	117	0	0	0	31	297	0	7	37	0	4
assemblage-497-751	0	73	0	0	0	78	274	13	0	41	0	14
assemblage-818-645	143	0	5	0	0	5	279	20	0	0	0	21
assemblage-599-945	3	36	88	49	0	0	173	113	0	16	9	13
assemblage-583-465	0	202	0	0	6	0	277	0	0	3	0	12
assemblage-685-929	0	65	0	0	0	0	280	0	0	61	0	20
assemblage-474-731	0	141	0	0	0	50	300	0	0	0	0	9
assemblage-377-697	32	27	44	0	0	67	121	100	0	89	3	9
assemblage-501-749	0	28	0	0	0	30	348	0	0	52	0	8
assemblage-437-378	0	58	12	6	0	37	248	19	0	106	0	6
assemblage-519-125	0	209	0	0	0	0	273	0	0	7	0	11
