Assemblage_Name	4-7076368-1	6019303-4459492-3	1292680-2-4	4-9977884-274947	0-9511567-4	0-0-1411221	5873798-7076368-1	4-2-1621600	3-2-4	2273973-4215189-2023849	4-2-8699995	4-6167963-1513191	4-1072945-1	0-0-4	6685138-4215189-2023849	0-8268345-4	4-8532876-1	2888960-6959727-1	4-4215189-8556919	4-2-1	4-7678360-1	4-4215189-2023849	4-9977884-1	2888960-7076368-1	6019303-1-3	2888960-6959727-452437	4-4215189-8066795	2582360-1-3	9295663-1-3	4-6167963-1	2665658-4-0	5895426-9977884-1
assemblage-747-590	38	0	0	0	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	9	0	0	88	0	0	0	0	0	0	319	0	18
assemblage-224-673	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	128	111	0	0	30	0	0	0	61	0	15
assemblage-223-771	31	0	0	0	0	0	0	0	0	32	0	0	16	0	17	0	0	10	6	0	0	173	92	0	0	6	0	0	0	71	0	21
assemblage-361-291	33	0	0	0	51	23	0	0	0	0	0	0	0	246	0	0	9	0	0	13	0	0	23	0	0	0	0	0	0	24	0	26
assemblage-113-897	0	0	19	0	0	0	0	9	235	0	0	0	0	157	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-818-138	32	0	0	0	0	0	0	0	0	0	8	0	0	127	0	0	0	0	9	109	0	22	0	0	0	0	0	0	0	119	0	22
assemblage-252-346	73	0	0	0	0	0	0	0	0	18	0	0	57	0	0	0	0	0	21	0	7	42	103	0	0	12	8	0	0	131	0	28
assemblage-524-131	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7	11	6	180	140	0	0	0	0	0	0	112	0	25
assemblage-821-647	0	0	0	0	0	0	0	0	20	0	0	0	0	166	0	0	0	0	0	274	0	0	0	0	11	0	0	0	0	0	0	8
assemblage-559-476	35	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	34	0	0	175	63	0	0	5	0	0	0	41	0	35
assemblage-465-737	45	0	0	0	0	0	0	0	0	23	0	5	0	10	9	11	0	9	28	14	0	72	118	6	0	0	0	0	0	101	0	26
assemblage-331-183	41	0	0	5	0	0	0	0	0	35	0	0	17	0	13	0	0	9	5	0	0	148	100	0	0	0	0	0	0	73	0	26
assemblage-605-286	0	0	0	0	0	19	0	0	0	0	0	0	0	57	0	0	11	0	0	94	0	0	109	0	0	0	0	0	0	190	0	20
assemblage-230-174	69	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	32	0	0	138	59	0	0	8	0	0	0	34	0	19
assemblage-685-923	82	0	0	4	0	0	0	0	0	19	0	0	53	0	0	0	0	0	24	0	0	33	139	0	0	23	13	0	0	89	0	21
assemblage-757-478	14	8	0	0	12	0	0	0	0	0	0	0	0	27	0	0	0	0	0	311	0	0	3	0	26	0	0	6	0	39	0	7
assemblage-361-733	0	35	62	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	231	0	0	0	0	80	0	0	0	10	0	9	10
assemblage-581-731	102	12	4	0	47	0	0	0	0	0	0	0	0	10	0	0	0	0	0	183	0	0	0	0	0	0	0	9	0	51	0	24
assemblage-110-907	0	0	15	0	0	0	0	22	197	0	0	0	0	165	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-359-472	80	0	0	10	0	0	0	0	0	3	0	0	62	0	0	0	0	0	11	0	12	31	120	0	0	14	17	0	0	121	0	19
assemblage-817-130	69	0	15	0	0	0	0	0	0	0	56	0	0	57	0	0	0	0	0	80	0	0	0	0	28	0	0	0	0	116	0	23
assemblage-226-489	0	0	0	0	0	29	0	0	0	0	0	60	0	61	0	8	21	0	48	57	0	72	40	18	0	0	0	0	0	67	0	19
assemblage-814-115	87	0	18	0	0	0	0	0	0	0	40	0	0	73	0	0	0	0	0	79	0	0	0	0	20	0	0	0	0	97	0	21
assemblage-599-945	37	0	30	0	0	0	0	0	51	0	0	0	0	53	0	0	0	0	0	249	0	0	0	0	8	0	0	0	6	0	40	21
assemblage-928-974	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	308	0	0	0	0	7	0	0	8	0	0	0	19
assemblage-365-269	25	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	43	174	0	36	108	0	0	0	0	0	0	47	0	6
assemblage-605-283	0	0	0	0	0	34	0	0	0	0	0	78	0	73	0	7	15	0	35	62	0	54	33	14	0	0	0	0	0	62	0	33
assemblage-696-280	0	32	64	0	0	0	0	6	0	0	0	0	0	33	0	0	0	0	0	262	0	0	0	0	59	0	0	0	5	0	7	12
assemblage-214-177	4	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	55	0	0	190	53	0	0	0	12	0	0	36	0	33
assemblage-516-122	79	0	0	0	0	0	0	0	0	0	0	7	0	13	0	0	0	33	72	9	0	33	36	11	0	0	0	0	0	174	0	24
