Assemblage_Name	5742398-2-9592208	3-1-1	0-225214-4	5089179-2-4	5742398-2-1622499	2-8633864-4	3-3-0	0-9905441-4	0-1-4	7646685-1-4	5742398-5394646-4	7405990-225214-4	2-2-4	2-151446-4	5742398-2-4	2-2-1382539	5742398-5339153-8842714	2-2-3778579	1-0-3	4-4-2	5742398-7695581-4	5742398-2-9536084
assemblage-747-593	0	4	51	0	0	0	0	0	130	0	62	0	13	0	40	0	0	0	52	0	28	28
assemblage-730-622	0	32	0	0	0	24	0	0	75	0	0	0	93	0	189	0	0	0	12	0	24	19
assemblage-925-970	0	93	0	0	0	0	0	0	78	0	0	0	68	0	187	0	0	0	36	8	0	10
assemblage-903-862	0	0	28	0	0	0	0	0	55	82	23	0	80	0	112	0	0	0	4	0	100	11
assemblage-243-323	0	0	23	15	0	0	0	20	67	66	11	6	14	38	142	0	70	0	0	0	0	12
assemblage-212-161	0	0	0	83	0	0	0	48	5	0	0	0	27	0	225	60	20	0	0	0	0	20
assemblage-818-651	0	0	0	0	0	0	25	0	177	0	0	0	8	0	230	0	0	0	0	8	0	15
assemblage-339-716	0	55	0	0	0	34	0	0	128	0	0	0	134	0	24	0	0	0	44	33	0	22
assemblage-914-974	0	37	0	0	0	58	0	0	81	0	0	0	4	0	59	0	0	0	156	22	0	9
assemblage-114-348	0	0	11	0	0	0	0	0	158	0	0	0	37	0	120	0	87	0	0	0	59	9
assemblage-851-901	0	34	0	0	0	21	0	0	60	0	0	0	78	0	235	0	0	0	4	0	19	20
assemblage-478-642	0	51	0	0	0	0	116	0	0	0	0	0	269	0	0	0	0	0	29	0	0	21
assemblage-559-476	0	0	0	45	11	0	0	16	5	18	0	0	11	0	231	78	9	19	0	0	0	19
assemblage-387-847	0	0	99	0	0	0	0	0	27	0	41	4	98	0	193	0	11	0	0	0	10	17
assemblage-336-184	0	0	28	33	6	0	0	0	6	77	21	0	10	59	214	0	10	13	0	0	0	23
assemblage-757-602	0	9	79	0	0	17	0	0	44	0	0	0	71	0	164	0	0	0	20	0	9	23
assemblage-676-292	0	89	0	0	0	0	0	0	75	0	0	0	121	0	71	0	0	0	73	42	0	26
assemblage-367-320	0	0	0	37	0	0	0	0	0	49	0	0	0	0	308	33	0	3	0	0	0	25
assemblage-814-115	0	0	54	0	0	0	0	0	168	0	0	0	0	0	221	0	0	0	32	0	0	9
assemblage-264-360	8	0	0	0	55	0	0	0	61	103	0	0	0	0	160	0	75	0	0	0	0	12
assemblage-104-339	0	0	37	0	0	0	0	0	0	0	0	0	135	0	49	0	70	0	0	0	110	17
assemblage-828-627	0	0	0	0	0	0	18	0	130	0	0	0	11	0	261	0	0	0	0	9	0	20
assemblage-365-269	0	9	0	0	0	0	0	0	24	0	13	0	97	0	108	0	5	0	41	0	59	18
assemblage-515-132	0	0	41	0	0	0	0	0	79	101	20	0	78	0	100	0	0	0	10	0	50	21
assemblage-608-503	0	40	0	0	0	6	0	0	149	0	0	0	93	0	76	0	0	0	76	31	0	26
assemblage-621-771	1	0	28	117	0	0	0	0	5	11	19	0	40	17	217	0	30	0	0	0	0	15
assemblage-526-107	0	0	19	0	0	0	0	0	20	10	0	29	12	0	307	0	64	0	0	0	0	15
assemblage-243-797	2	0	29	125	0	0	0	0	20	13	4	0	40	0	203	0	43	0	0	0	0	21
assemblage-918-974	0	9	0	0	0	0	0	0	200	0	0	0	50	0	114	0	0	0	12	12	0	15
assemblage-122-342	0	0	9	0	0	0	0	0	187	0	0	0	20	0	119	0	75	0	7	0	55	17
