Assemblage_Name	3-4481824-2	3-9935791-2	7850040-4-2	3-3975277-2	3-540055-2	3-3216825-2	8428937-4-3612151	1-3-4	5920162-4-2	7620690-3-1	8428937-4-2	4-4-0	0-3-2	3-4-2	3907795-4481824-5101499	4-3-1	1831584-3-1
assemblage-617-283	44	0	13	0	0	0	71	65	0	0	30	0	0	208	0	50	8
assemblage-925-970	0	0	0	0	0	0	0	153	0	12	0	34	30	243	0	5	23
assemblage-239-945	0	0	38	0	0	0	7	73	0	0	56	0	0	190	0	112	24
assemblage-222-939	0	0	0	3	0	0	0	140	0	8	22	79	0	187	0	10	10
assemblage-212-161	105	0	0	0	0	0	124	0	0	0	0	0	0	201	67	0	3
assemblage-594-508	45	0	0	0	0	16	0	46	0	0	0	54	41	288	0	0	10
assemblage-492-657	0	0	0	0	0	0	0	0	132	17	0	138	0	203	0	0	10
assemblage-602-930	0	0	0	0	0	0	0	116	13	71	0	48	6	245	0	0	1
assemblage-942-369	45	0	18	0	0	0	56	79	0	0	27	0	0	219	0	37	14
assemblage-821-643	15	0	0	0	0	0	0	0	4	0	0	146	18	267	0	0	17
assemblage-611-922	0	0	0	0	0	6	0	95	10	72	0	40	8	254	0	0	11
assemblage-343-696	35	30	0	0	0	0	49	147	0	0	0	0	0	217	0	13	9
assemblage-387-847	164	0	0	10	0	0	23	13	0	0	4	0	0	256	0	0	9
assemblage-331-183	109	0	0	0	0	0	60	7	0	0	0	0	0	286	6	0	3
assemblage-238-351	19	30	0	0	0	0	65	141	0	0	6	0	0	213	11	0	6
assemblage-358-189	148	0	0	0	0	0	44	20	0	0	0	0	0	257	23	0	8
assemblage-262-640	224	0	0	0	0	0	47	11	0	0	0	0	0	130	62	0	2
assemblage-262-104	271	0	0	0	0	0	0	0	0	0	0	0	0	189	29	0	11
assemblage-103-910	0	0	0	0	0	13	0	161	0	0	0	0	93	204	0	8	6
assemblage-264-360	29	37	0	0	0	0	60	156	0	0	12	0	0	180	3	0	8
assemblage-901-855	33	0	0	58	0	0	109	0	0	0	86	0	0	181	0	20	5
assemblage-463-409	0	0	0	52	16	0	0	62	0	76	2	112	0	123	0	45	12
assemblage-575-462	272	0	0	0	0	0	9	0	0	0	0	0	0	170	40	0	9
assemblage-734-635	0	0	0	0	0	0	0	127	0	0	19	11	0	263	0	63	17
assemblage-501-749	0	0	29	0	0	0	0	93	0	0	44	6	0	198	0	107	16
assemblage-721-988	0	0	0	0	0	0	0	63	0	63	40	16	5	306	0	0	7
assemblage-849-911	64	0	0	0	13	0	0	48	0	0	6	0	0	328	0	0	20
assemblage-243-471	33	0	0	0	0	0	84	61	0	0	62	10	0	108	0	99	26
assemblage-519-125	51	30	0	0	0	0	49	120	0	0	0	0	0	230	0	15	5
assemblage-918-974	8	0	0	0	22	0	0	42	0	30	0	71	34	225	0	52	9
