Assemblage_Name	1-1-1976699	5923193-1-2271439	3-1-2	1-1-9732559	1-4360157-7195774	5923193-1-8422776	1-1-2001566	4-6011673-1594533	4-6011673-4161401	1-1-2271439	5923193-1-7993277	1-1-7195774	6975480-8347676-2	4-6011673-2	6975480-1267342-2	3-4533511-0	1-5204420-2271439	2934478-1-7195774	1-3-0	1-1-5040051	6975480-1-2	3128233-1-0	5815436-6011673-2	53185-9408761-7195774	1-6900397-7195774	7118012-1-0	4300903-1-7195774	1-1-8020419
assemblage-925-970	0	0	0	0	0	0	0	0	0	213	0	94	6	41	0	0	0	0	0	0	31	0	0	0	0	97	0	18
assemblage-903-862	58	0	0	0	86	0	0	5	0	73	0	35	0	0	0	0	0	0	0	98	0	0	0	0	38	98	0	9
assemblage-516-766	43	0	0	0	0	0	0	0	0	85	0	252	46	0	0	0	8	0	0	0	0	0	0	0	0	41	0	25
assemblage-228-644	0	106	0	0	18	0	0	0	0	45	0	162	0	0	0	0	0	0	0	0	0	6	25	0	0	55	7	43
assemblage-818-651	0	0	0	0	0	0	0	0	7	15	0	0	0	353	0	0	0	0	14	0	0	0	0	0	0	37	0	24
assemblage-914-974	0	0	0	12	0	0	22	0	0	157	0	34	0	25	27	0	92	0	0	0	71	0	0	0	0	21	0	18
assemblage-891-868	0	36	0	0	0	0	0	0	0	30	0	80	0	0	0	0	0	0	0	99	0	0	120	30	0	41	0	39
assemblage-113-897	0	0	0	52	0	0	0	0	0	86	0	81	0	17	0	6	0	0	34	0	9	0	0	0	0	86	0	5
assemblage-685-298	0	0	36	10	0	0	21	0	0	8	0	0	15	167	22	0	0	0	0	0	175	0	0	0	0	11	0	26
assemblage-597-286	156	11	0	0	0	0	0	0	0	66	0	221	1	0	0	0	0	0	0	0	0	0	0	0	13	11	0	21
assemblage-226-782	0	210	0	0	10	25	0	0	0	11	0	26	0	0	0	0	0	0	0	67	0	50	0	0	0	54	0	22
assemblage-383-267	0	0	0	0	0	0	0	56	0	105	0	64	0	66	0	0	0	0	0	0	0	0	21	0	0	143	0	32
assemblage-678-943	0	114	0	0	4	0	0	0	0	0	43	101	0	0	0	0	0	3	0	73	0	0	37	0	6	101	0	18
assemblage-238-92	0	87	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	56	0	32	0	0	0	55	19	15
assemblage-234-493	120	8	0	0	0	0	0	9	0	57	0	244	9	0	0	0	0	0	0	0	0	0	0	0	12	17	0	24
assemblage-669-934	68	19	0	0	32	0	0	0	0	0	0	134	0	0	0	0	0	0	0	50	0	0	0	13	0	126	0	26
assemblage-211-180	12	221	0	0	0	10	0	0	0	0	24	43	0	0	0	0	0	0	0	39	0	8	0	0	0	54	0	18
assemblage-103-910	0	0	0	34	0	0	0	0	0	102	0	96	0	25	0	5	0	0	19	0	7	0	0	0	0	82	0	13
assemblage-359-472	3	23	0	0	48	0	0	0	0	6	68	40	0	0	0	0	0	42	0	35	0	0	36	24	0	56	0	25
assemblage-734-616	0	94	0	0	0	0	0	0	0	147	0	146	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	27
assemblage-502-119	17	91	0	0	0	0	0	7	0	37	0	78	0	0	0	0	0	0	0	196	0	0	0	0	0	32	0	11
assemblage-620-507	0	0	61	33	0	0	0	0	19	197	0	78	0	59	0	10	14	0	0	0	0	0	0	0	0	7	0	22
assemblage-599-945	0	0	77	15	0	0	0	0	17	197	0	83	0	60	0	20	9	0	0	0	0	0	0	0	0	0	0	22
assemblage-461-403	0	0	0	0	0	0	0	21	0	109	0	72	9	58	0	0	28	0	0	0	0	0	0	0	0	140	0	19
assemblage-828-136	0	0	0	0	0	0	5	0	0	122	0	205	0	78	0	0	4	0	0	0	6	0	0	0	0	21	0	11
assemblage-575-462	0	108	0	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	52	0	52	0	0	0	20	30	13
assemblage-621-771	80	98	0	0	55	0	0	0	0	6	64	30	0	0	0	0	0	7	0	12	0	30	0	7	0	73	0	11
assemblage-849-911	0	0	0	0	0	0	0	0	0	124	0	155	0	32	0	0	38	0	0	0	34	0	0	0	0	18	0	12
assemblage-739-488	0	0	0	6	0	0	29	0	0	176	0	52	0	28	21	0	62	0	0	0	57	0	0	0	0	13	0	28
assemblage-110-333	15	0	0	0	0	0	0	11	0	40	0	94	0	0	0	0	0	0	0	116	0	0	56	0	0	79	0	22
