Assemblage_Name	0-4-1	3-4847142-3	4-3-5704855	0-4-3344532	5675455-3-2	3208445-4-1	3-2-5103169	0-4-3147277	3-3764943-5103169	6552001-4-3	4-3-2	4-3-0	3-2-3	4-3-5058716
assemblage-604-525	171	76	0	9	0	0	0	0	0	127	93	3	20	1
assemblage-925-970	216	99	0	0	0	0	0	0	0	65	103	0	0	17
assemblage-340-180	372	0	0	0	0	0	28	22	17	51	0	0	0	10
assemblage-594-508	175	72	0	12	0	0	0	0	0	132	81	0	22	6
assemblage-578-483	96	0	0	0	0	0	0	110	84	83	0	0	0	1
assemblage-262-106	396	0	0	0	0	0	0	46	0	23	0	0	0	11
assemblage-472-737	294	11	0	0	62	9	29	10	0	24	45	0	0	2
assemblage-842-915	233	0	0	0	0	0	14	0	0	39	189	0	0	18
assemblage-612-275	117	40	0	0	0	0	84	0	0	97	152	0	0	3
assemblage-762-597	69	20	30	0	0	0	12	0	0	131	222	0	0	6
assemblage-230-174	383	0	0	0	0	0	0	26	28	58	0	0	0	5
assemblage-731-474	113	67	0	0	0	0	63	0	0	126	113	0	0	9
assemblage-359-472	314	0	0	0	0	0	101	13	0	28	18	0	0	1
assemblage-258-727	43	0	0	0	0	0	0	0	0	277	0	160	7	5
assemblage-818-645	349	0	0	0	0	0	0	0	0	67	23	32	0	18
assemblage-264-360	261	0	0	0	0	0	8	69	0	129	0	0	0	6
assemblage-613-755	224	0	0	0	0	0	7	86	0	162	0	0	0	14
assemblage-937-366	207	40	31	0	54	0	3	8	0	49	107	0	0	1
assemblage-227-792	268	0	0	0	0	0	30	5	0	109	0	0	0	3
assemblage-357-276	187	58	0	0	0	0	34	0	0	114	94	0	0	5
assemblage-463-409	192	0	0	0	0	0	63	0	0	111	123	0	0	11
assemblage-474-731	296	8	0	0	65	5	35	18	0	22	39	0	0	1
assemblage-734-635	221	7	0	2	0	0	88	0	0	104	77	0	0	1
assemblage-403-849	465	0	0	0	0	0	20	0	0	0	0	0	0	15
assemblage-111-900	6	96	0	0	0	0	0	0	0	0	159	0	227	12
assemblage-323-684	187	0	0	0	57	14	62	61	0	7	93	0	0	10
assemblage-501-749	147	4	0	0	0	0	89	0	0	131	126	0	0	2
assemblage-724-995	221	55	0	4	0	0	12	0	0	74	110	8	0	11
assemblage-209-484	189	51	36	0	65	0	4	8	0	52	93	0	0	2
assemblage-609-945	122	91	0	0	0	0	45	0	0	48	123	23	41	7
