Assemblage_Name	0-7024162-5118953	0-8596694-6408127	2-3-2951429	2-3-1463514	0-6735273-1	1741365-3-3	7750621-3-3	0-1-1	0-1-3	2-3-1112534	5880273-3-3	2-3-3	9058732-8189641-3	2361008-3-3	2-197041-3	243855-3-3	3-0-1238688	0-1-6408127	0-1914751-3	4613799-3-3	2-374806-2951429	2-9263861-3	0-1-2824351
assemblage-467-749	0	0	0	4	0	0	0	76	51	0	0	146	0	0	0	0	0	199	0	0	0	3	6
assemblage-730-622	0	0	6	0	40	0	0	0	74	11	0	134	29	0	0	0	0	114	0	0	0	0	5
assemblage-831-655	0	0	0	0	0	32	5	193	64	0	41	39	0	0	0	0	58	7	0	0	0	0	25
assemblage-566-457	0	0	0	0	0	0	0	13	0	0	0	59	0	0	193	0	0	210	0	0	0	0	25
assemblage-618-925	44	0	0	0	0	7	23	37	37	0	132	125	0	0	0	0	9	49	0	0	0	0	17
assemblage-665-923	0	0	0	0	0	0	0	133	34	0	0	187	0	0	0	0	0	103	0	0	0	0	33
assemblage-339-716	35	0	0	0	0	18	27	25	38	0	155	112	0	0	0	0	15	31	0	0	0	0	23
assemblage-909-972	0	0	0	0	0	0	57	0	73	0	10	202	0	0	0	0	0	121	0	0	0	0	15
assemblage-608-767	0	0	0	0	0	0	0	13	0	0	0	138	0	0	85	0	0	183	32	10	0	0	11
assemblage-745-570	0	0	78	0	0	0	63	93	0	0	0	122	5	16	0	48	0	28	0	0	10	0	22
assemblage-939-363	0	0	86	0	0	0	36	0	0	0	0	208	0	0	0	27	0	73	0	0	0	0	21
assemblage-233-168	0	120	0	0	0	0	0	89	0	0	0	37	0	0	18	0	0	60	0	0	0	0	11
assemblage-932-998	0	0	0	0	0	0	46	0	97	0	7	212	0	0	0	0	0	104	0	0	0	0	18
assemblage-249-343	0	35	22	0	0	0	0	40	18	0	0	60	0	0	0	0	0	235	51	25	0	0	14
assemblage-109-340	0	0	100	0	0	0	49	0	0	0	0	194	0	0	0	27	0	53	0	0	0	0	19
assemblage-236-112	0	0	0	0	0	0	0	9	0	0	0	67	0	0	196	0	0	196	0	0	0	0	25
assemblage-218-797	0	0	0	0	0	0	0	41	10	0	0	95	0	0	119	0	0	161	24	0	0	0	14
assemblage-632-931	30	0	0	0	0	20	11	54	44	0	54	223	0	0	0	0	4	47	0	0	0	0	13
assemblage-370-248	0	0	88	0	0	0	72	74	0	0	0	124	15	13	0	36	0	49	0	0	3	0	26
assemblage-734-616	0	0	95	0	0	0	72	64	0	0	0	131	7	20	0	42	0	28	0	0	5	0	36
assemblage-248-353	0	45	12	0	0	0	0	49	14	0	0	85	0	0	0	0	0	226	50	14	0	0	5
assemblage-845-912	0	0	27	0	0	0	0	0	0	7	0	385	0	6	0	31	0	0	0	0	0	0	23
assemblage-470-744	0	0	43	10	0	0	0	91	65	0	0	176	0	0	7	0	0	71	0	0	0	0	23
assemblage-618-292	0	0	136	0	0	0	6	14	0	0	0	244	0	0	0	25	0	0	0	0	0	36	16
assemblage-607-773	0	43	0	0	0	0	0	12	0	0	0	129	0	0	131	0	0	108	0	68	0	0	6
assemblage-724-995	11	0	0	0	10	0	16	13	65	9	11	238	0	0	0	0	0	64	0	0	0	0	33
assemblage-472-664	0	0	0	0	0	0	0	4	25	0	211	158	0	0	0	0	0	0	0	0	0	0	10
assemblage-827-631	0	0	0	0	0	34	9	192	68	0	59	14	0	0	0	0	46	4	0	0	0	0	32
assemblage-758-647	0	0	0	0	10	0	0	0	33	16	0	401	0	0	0	0	0	17	0	0	0	0	8
assemblage-516-122	0	0	0	5	0	0	0	67	45	0	0	151	0	0	0	0	0	210	0	0	0	5	5
