Assemblage_Name	5597907-4-2	3906771-2-3	1-1-3	4-4-3774682	5597907-1056809-2	5597907-1056809-5114044	9269437-4-2	3-5339-7391188	0-2-3	4-4-3	3-5339-5101666	3-525798-4	3-5339-4	4-4-3375974
assemblage-747-590	11	162	0	7	0	0	0	106	23	93	12	0	78	8
assemblage-689-282	89	0	23	0	0	0	0	0	134	193	0	0	31	17
assemblage-344-184	113	4	0	54	19	43	0	0	0	130	0	0	81	12
assemblage-246-669	134	25	0	65	29	0	57	0	0	33	0	0	83	13
assemblage-227-460	72	28	0	55	24	0	0	17	0	221	18	0	45	15
assemblage-412-850	46	77	0	53	200	0	0	0	0	45	0	0	71	8
assemblage-340-180	167	18	0	64	69	0	0	0	0	54	0	0	12	15
assemblage-352-687	68	48	0	190	0	0	0	0	0	127	0	0	25	11
assemblage-896-872	62	56	0	192	0	0	0	0	0	128	0	0	25	18
assemblage-361-291	173	47	0	0	0	0	0	0	11	171	0	0	90	4
assemblage-486-668	338	0	141	0	0	0	0	0	8	0	0	0	0	6
assemblage-114-348	59	228	0	0	0	0	0	27	0	145	24	0	6	11
assemblage-104-904	208	0	8	0	0	0	0	0	0	117	0	0	115	12
assemblage-818-138	152	0	0	16	0	0	0	7	77	171	0	44	26	7
assemblage-728-992	114	21	13	0	0	0	0	30	94	65	0	51	84	17
assemblage-405-318	121	0	0	17	86	0	75	0	0	140	0	0	19	11
assemblage-604-735	176	0	7	0	0	0	0	0	122	114	0	0	74	7
assemblage-669-934	102	21	0	178	94	0	0	0	0	45	0	0	23	9
assemblage-869-918	136	0	0	23	0	0	0	0	85	188	0	25	33	10
assemblage-361-733	107	0	14	0	0	0	0	0	160	165	0	0	25	6
assemblage-211-180	85	8	0	14	139	21	13	0	0	99	0	0	0	11
assemblage-897-857	197	61	0	19	0	0	0	8	0	97	0	0	109	2
assemblage-599-513	137	8	51	0	0	0	0	0	174	104	0	0	22	4
assemblage-818-645	62	0	12	0	0	0	0	0	4	380	0	0	0	12
assemblage-104-339	25	15	0	42	0	0	0	35	0	231	0	0	152	0
assemblage-365-269	156	0	0	39	0	0	0	0	22	225	0	0	50	8
assemblage-734-635	256	0	0	0	0	0	0	0	18	89	0	22	106	9
assemblage-261-342	49	57	0	60	217	0	0	0	0	30	0	0	70	17
assemblage-395-318	211	0	0	25	92	6	0	0	0	111	0	0	45	10
assemblage-918-974	150	0	8	0	0	0	0	0	110	163	0	0	61	1
