Assemblage_Name	2-7535099-0	2-1558078-0	1-8918004-2	2-4-5755049	2-4-3473322	0-1393227-3	6626882-2-1442967	7400820-4-0	2-2488185-0	8745900-2-1442967	995460-2-715170	2688339-2-2	1-3-1492768	0-1-3	2-4-7893577	0-1-3193390	1-2-715170	1-2-1442967	1776635-2-2	1-3301214-1442967	1-8287003-1	1-3-1	0-757179-3	2-4-0	7318693-2-2	1-6080804-715170	7505248-9768680-1442967	2-4-6471818	2-1-4043427	3153757-2-2	1-9768680-1442967	2-400897-0	0-6985679-3193390	2-3-2	6451264-4-0	1-3625486-715170	1-2-2	2-1302643-0	1-4-1	2-3-3337823	2-1-3	2-6191022-0	7995997-4-0	236634-2-1442967	2-7314549-0
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	152	0	0	0	34	0	79	0	0	0	0	0	0	52	0	0	0	0	0	105	0	0	0	0	0	0	0	7
assemblage-792-426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	91	0	0	0	0	0	66	0	0	4	0	0	0	158	0	0	0	0	0	118	0	0	0	0	0	0	0	23
assemblage-947-458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	165	0	0	0	0	0	136	0	0	0	0	0	0	158	0	0	0	0	0	27	0	0	0	0	0	0	0	7
assemblage-970-448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	161	0	0	0	0	0	155	0	0	0	0	0	0	129	0	0	0	0	0	39	0	0	0	0	0	0	0	8
assemblage-781-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	165	0	0	0	0	0	125	0	0	0	0	0	0	139	0	0	0	0	0	45	0	0	0	0	0	0	0	17
assemblage-789-310	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	187	26	0	0	0	61	0	89	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	7
assemblage-580-593	0	31	0	0	0	0	0	0	0	0	0	0	5	45	0	0	30	0	0	0	0	82	0	147	0	0	0	0	0	0	0	0	0	45	0	0	56	0	55	0	0	0	0	0	4
assemblage-775-446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	12	85	0	0	0	11	0	112	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	26	0	0	7
assemblage-486-244	0	0	0	0	0	73	0	0	0	0	0	0	0	58	105	0	72	26	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	75	0	12	0	0	0	0	0	5
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	29	0	35	0	76	0	175	0	0	0	0	0	42	8	0	0	0	0	0	102	0	0	0	0	0	0	0	10
assemblage-468-265	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	11	44	84	0	12	0	0	0	0	0	10
assemblage-407-904	0	0	0	0	0	23	0	0	0	0	0	0	0	0	15	0	66	278	0	0	0	17	0	34	0	0	0	0	0	0	19	0	0	0	0	0	44	0	0	0	0	0	0	0	4
assemblage-730-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	48	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	4	21	0	97	0	0	0	0	0	22
assemblage-940-453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	8	13	0	26	0	104	0	178	0	0	0	0	0	43	10	0	0	0	0	0	95	0	0	0	0	0	0	0	3
assemblage-171-164	0	25	0	0	0	0	0	0	0	0	0	0	13	27	0	0	27	0	0	0	0	110	0	148	0	0	0	0	0	0	0	0	0	40	0	0	52	0	47	0	10	0	0	0	1
assemblage-993-792	0	0	0	0	0	23	0	0	0	0	0	0	0	0	5	0	70	278	0	0	0	25	0	21	0	12	0	0	0	0	23	0	0	0	0	0	40	0	0	0	0	0	0	0	3
assemblage-368-841	0	0	0	0	0	0	0	0	0	0	0	0	0	16	47	0	73	26	0	0	0	68	0	215	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	10
assemblage-541-582	0	0	0	0	0	90	0	0	0	0	0	0	0	0	11	0	124	89	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	98	0	14	0	0	0	0	0	5
assemblage-614-784	0	0	0	0	0	34	0	0	0	0	0	0	0	0	98	0	7	102	0	0	0	74	0	95	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	1
assemblage-171-169	0	23	0	0	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	95	0	146	0	0	0	0	0	0	0	0	0	54	0	0	50	0	77	0	8	0	0	0	2
assemblage-823-113	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	14	11	0	0	0	0	45	0	159	0	0	0	0	0	0	0	0	0	102	0	0	9	0	61	0	8	0	0	0	1
assemblage-259-175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	81	13	0	0	13	113	0	75	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	10
assemblage-238-294	0	0	0	0	0	47	0	0	0	0	0	0	0	0	52	0	95	121	0	0	0	111	0	43	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	15
assemblage-793-937	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	50	15	0	0	0	34	0	315	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	10
assemblage-642-157	0	0	0	0	0	53	0	0	0	0	0	0	0	0	89	0	19	91	0	0	0	66	0	95	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	1
assemblage-386-578	0	0	0	0	0	0	0	27	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	307	0	0	24	0	0	9	0	0	0	0	5
assemblage-607-790	0	0	0	0	0	42	0	0	0	0	0	0	0	0	70	0	15	108	0	0	0	83	0	87	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	5
assemblage-912-205	0	0	0	0	0	87	0	0	0	0	0	0	0	0	34	0	60	78	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	4
assemblage-410-1014	0	0	10	0	0	49	0	0	0	0	0	0	0	0	11	0	167	20	0	0	0	24	0	164	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	6
assemblage-620-164	0	0	0	0	0	72	0	0	0	0	0	15	0	0	12	0	160	29	0	0	0	62	0	66	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	3
assemblage-951-342	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	152	18	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	53	0	0	116	0	0	33	0	0	0	0	12
assemblage-799-102	0	12	0	0	0	0	0	0	0	0	0	0	7	30	0	0	14	0	0	0	0	76	0	161	0	0	0	0	0	0	0	0	0	68	0	0	61	0	57	0	14	0	0	0	0
assemblage-352-864	0	0	0	0	0	70	0	0	0	0	0	0	0	43	121	0	57	23	0	0	0	5	0	89	0	0	0	0	0	0	0	0	0	0	0	0	77	0	9	0	0	0	0	0	6
assemblage-963-868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	48	145	0	0	0	4	0	132	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	14
assemblage-357-864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	26	0	133	0	0	0	57	0	0	0	0	0	0	0	39	86	0	0	0	0	0	0	0	28
assemblage-344-429	0	0	0	0	0	17	0	0	0	0	0	0	0	0	38	34	26	0	0	0	0	49	0	198	0	0	0	0	0	0	0	0	0	16	0	0	62	0	8	0	34	0	0	0	18
assemblage-290-286	0	46	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	5	0	0	0	0	111	0	122	0	0	0	10
assemblage-363-462	8	7	0	0	0	0	0	0	0	0	0	0	33	50	0	0	35	0	0	0	0	26	0	226	0	0	0	0	0	0	0	0	0	0	0	0	79	0	12	0	7	0	0	0	17
assemblage-489-327	0	0	21	0	0	8	0	0	0	0	0	0	0	0	0	0	155	41	0	0	0	65	0	84	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	8
assemblage-756-230	0	0	0	0	0	10	0	0	0	0	0	0	0	14	11	0	74	235	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	45	0	24	0	0	0	0	0	4
assemblage-463-280	0	0	0	0	0	0	0	0	0	0	0	0	5	95	0	0	64	40	0	0	0	6	0	219	0	0	0	0	0	0	0	0	0	0	0	0	5	0	53	0	0	0	0	0	13
assemblage-216-821	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	70	136	0	0	0	33	0	66	0	0	0	0	0	0	60	0	0	0	0	0	126	0	0	0	0	0	0	0	3
assemblage-669-336	0	0	0	0	0	76	0	0	0	0	0	0	0	45	108	0	59	34	0	0	0	8	0	83	0	0	0	0	0	0	0	0	0	0	0	0	80	0	6	0	0	0	0	0	1
assemblage-119-470	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	38	12	35	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6
assemblage-791-118	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	20	9	0	0	0	0	42	0	138	0	0	0	0	0	0	0	0	0	96	0	0	8	0	66	0	5	0	0	0	1
assemblage-958-370	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	153	32	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	47	0	0	103	0	0	27	0	0	0	0	9
assemblage-107-490	0	0	25	0	0	14	0	0	0	0	0	0	0	0	0	0	164	26	0	0	0	74	0	96	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	3
assemblage-949-365	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	146	21	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	54	0	0	112	0	15	40	0	0	0	0	3
assemblage-516-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	78	32	0	0	22	110	0	88	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	9
assemblage-770-926	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	7	51	55	0	0	0	0	0	138	0	0	0	0	6	0	0	0	0	24	0	0	42	0	73	0	45	0	0	0	9
assemblage-395-903	0	0	0	0	0	57	0	0	0	0	0	5	0	0	0	0	170	40	0	0	0	49	0	97	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	4
assemblage-563-597	0	21	0	0	0	0	0	0	0	0	0	0	0	101	0	0	131	38	0	0	0	18	0	76	0	0	0	0	0	0	0	0	0	35	0	0	57	0	0	0	0	0	0	0	23
assemblage-816-95	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14	0	71	240	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	46	0	13	0	0	0	0	0	12
assemblage-471-239	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	44	17	0	0	0	49	0	304	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	7
assemblage-262-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	73	124	0	0	0	35	0	88	0	0	0	0	0	0	27	0	0	0	0	0	110	0	0	0	0	0	0	0	17
assemblage-983-722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	90	0	0	0	7	0	69	0	0	4	0	0	0	174	0	0	0	0	0	108	0	0	0	0	0	3	0	10
assemblage-657-321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	154	0	0	0	35	0	153	0	0	0	53	0	0	0	0	0	0	0	21	61	0	0	0	0	0	0	0	18
assemblage-925-224	0	0	0	0	6	0	0	0	0	0	0	0	0	0	37	0	0	25	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	12	20	0	101	0	0	0	0	0	12
assemblage-945-351	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	160	18	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	55	0	0	121	0	0	26	0	0	0	0	6
assemblage-271-166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	81	177	0	3	0	0	0	56	0	0	0	0	0	0	65	0	0	0	0	0	103	0	0	0	0	0	0	0	7
assemblage-604-798	0	0	0	0	0	65	0	0	0	0	0	7	0	0	2	0	202	28	0	0	0	56	0	67	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	2
assemblage-906-226	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	108	121	0	0	0	28	0	156	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	8
assemblage-618-855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	27	0	19	0	108	0	187	0	0	0	0	0	39	2	0	0	0	0	0	101	0	0	0	0	0	0	0	5
