Assemblage_Name	3-2798493-1	0-2976261-6646589	1845392-4128558-1	5651714-2-6646589	3926036-4-1	3-3504514-1	8887372-4-1	232828-2-6646589	4-1-3	3-4-2	232828-2-9752263	9241929-4-1	0-2-2664426	903748-4-1	5031883-2-6646589	3-4-5708299	8220698-4-1	1845392-7772521-1	0-4959601-6646589	3-6304307-1	6998389-4-1	2831149-2-6120725	2831149-2-6646589	232828-1730351-6646589	3-4686026-1	3-4-729766	1845392-4-1	0-1158837-6646589	7509597-2-6646589	3-1793174-1	4-1-5924021	1429415-2-6646589	3668392-4-1	3-3588875-1	3-4-9343035	3-4-1746903	0-2-6646589	5118301-4-1	3-3385150-1	3-4-4494914	3-2380901-1	0-9759211-6646589	0-2-4238208	8013079-4-1	232828-2-9090277	7759711-4-1	3005550-4-2	8696718-3-0	3-4-1	4-7513395-3	3-7197503-1	1668801-4-1	8438311-4-1	1845392-9774221-1	0-2656673-6646589	4-8869099-3	3-4-9752149	3-4-7482333	1627572-4-1	9399947-3-0
assemblage-823-113	0	5	0	0	0	0	19	0	0	103	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	20	103	0	0	0	0	0	0	0	0	0	0	6
assemblage-259-175	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	16
assemblage-238-294	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	11
assemblage-793-937	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	7	53	0	0	0	0	0	0	0	0	0	0	0	349	0	11	0	0	0	0	0	0	0	0	6
assemblage-642-157	14	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	58	0	0	80	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	7
assemblage-386-578	0	6	0	0	0	0	0	0	13	238	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	12	0	0	0	0	22	51	13	0	0	0	0	0	0	0	0	0	0	4
assemblage-607-790	9	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	47	0	0	75	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	4
assemblage-912-205	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	139	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	28	0	9
assemblage-410-1014	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	14	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	9
assemblage-620-164	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	24	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	6
assemblage-951-342	0	0	0	0	0	0	55	0	75	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	16	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	8
assemblage-799-102	0	0	0	0	0	0	0	0	27	104	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	90	180	0	0	0	0	0	0	0	0	0	0	8
assemblage-352-864	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	5
assemblage-963-868	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	3
assemblage-357-864	0	0	0	0	0	0	26	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	12
assemblage-344-429	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	1
assemblage-290-286	0	0	0	0	0	0	0	0	54	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	109	53	0	0	0	0	4	10	0	0	0	4
assemblage-363-462	0	0	0	0	0	0	88	0	0	67	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	257	0	0	0	0	0	0	0	10	0	0	10
assemblage-489-327	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	3	0	17	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	6
assemblage-756-230	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	10	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	8
assemblage-463-280	0	0	0	0	0	0	22	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	5
assemblage-216-821	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	6	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	11
assemblage-669-336	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	7
assemblage-119-470	0	0	0	0	0	0	0	0	18	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	99	86	0	0	0	0	0	0	0	0	0	0	12
assemblage-791-118	0	21	0	0	0	0	22	0	1	75	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	21	116	0	0	0	0	0	0	0	0	0	0	1
assemblage-958-370	0	0	0	0	0	0	41	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	14	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	16
assemblage-107-490	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	10
assemblage-949-365	0	0	0	0	0	0	40	0	98	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	9	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	10
assemblage-516-770	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	11
assemblage-770-926	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	4
assemblage-395-903	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	20	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	4
assemblage-563-597	0	0	0	0	0	0	80	0	25	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	9
assemblage-816-95	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	16
assemblage-471-239	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	2	56	0	0	0	0	0	0	0	0	0	0	0	336	0	5	0	0	0	0	0	0	0	0	9
