Assemblage_Name	7639804-6063104-0	2015370-1-0	0-6587005-0	0-1-987189	0-4244522-0	0-1-5743524	0-1-5661507	0-1-3535843	3-3-0	7380728-1-0	0-1-9604070	0-3-2	0-1-5851054	0-1-0	0-9094472-7592699	6967846-1-0	5255207-1-0	0-6039181-0	0-8029119-0	2-4-323981	0-1-5136082	4-3-7274066	0-9905507-0	0-5691693-0	0-1-728448	0-1-7191463	0-3647845-0	0-9556975-0	4-4625786-3	0-1-5869442	0-1-3740638	0-1-9593126	0-1-6635834	5968368-1-0	2-4-2	5481313-1-0	0-5071082-0	9874731-1-3535843	8270357-1-0	0-1-8561666	0-6429748-0	0-1-1839080	0-1-168217	0-1-3929802	4670277-4-2	0-9094472-0	0-736767-0	5369553-1-0	3736324-1-0	0-5248089-7191463	4-1515020-3	4-3-3	0-1-711254	0-5691693-3339480
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-792-426	0	0	0	0	0	0	0	0	0	36	0	0	0	431	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-947-458	0	0	0	0	5	0	0	49	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-970-448	0	0	0	0	13	0	0	24	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-781-432	0	0	0	0	11	0	0	34	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-580-593	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	13
assemblage-775-446	0	0	0	0	0	0	0	0	0	121	16	0	0	342	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-486-244	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	76	1	0	4
assemblage-992-736	0	0	0	0	14	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-468-265	0	0	42	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	16	0	0	8
