Assemblage_Name	1-2079947-0	3624225-4-0	1-6626947-0	1-4-3582090	8012874-4-0	3-1-6205539	592625-4-0	6221659-4-0	1-2-4	5566696-4-0	1-4-0	1-7272293-0	4304861-4-3	3-4953473-3	3-4-3	1-3029817-0	6776634-1-3	8064123-4-3	2-3-4	4-3-3	1-2774853-0	7575961-4-3	1-4-3262173	3-1-3	3-9035703-3	3-4-447225	3-2277074-3	3-1663510-3
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	343	0	0	0	125	0	0	0	0	0	0	0	0	28	0	0	0	4
assemblage-792-426	0	0	0	28	0	0	0	0	0	0	328	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-947-458	0	0	0	37	0	0	0	0	0	0	443	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-970-448	0	0	0	42	0	0	0	0	0	0	431	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-781-432	0	0	0	30	0	0	0	0	0	0	439	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	312	0	0	0	61	0	0	0	0	0	0	0	0	126	0	0	0	1
assemblage-580-593	0	0	0	0	59	0	0	0	0	0	225	0	0	0	136	0	0	0	0	0	0	0	0	73	0	6	0	1
assemblage-775-446	0	0	0	0	0	0	0	0	0	80	308	0	0	0	98	0	0	0	0	0	4	0	0	8	0	0	0	2
assemblage-486-244	0	0	0	0	29	0	0	0	0	0	131	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-992-736	16	0	0	0	0	0	0	0	0	0	470	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-468-265	0	0	16	0	0	0	0	0	0	0	104	0	0	0	207	0	1	0	0	0	0	0	0	170	0	0	0	2
assemblage-407-904	0	0	0	0	0	0	0	0	0	0	373	0	15	0	90	0	0	0	0	0	0	0	0	19	0	0	0	3
assemblage-730-369	0	0	20	0	63	0	0	0	0	0	49	0	0	0	292	0	0	0	0	0	0	0	0	71	0	0	0	5
assemblage-940-453	4	0	0	0	0	0	0	0	0	0	480	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-171-164	0	0	0	0	59	0	0	0	0	0	236	8	0	0	127	0	0	0	0	0	0	0	0	58	0	12	0	0
assemblage-993-792	0	0	0	0	0	0	0	0	0	0	343	0	16	0	115	0	0	0	0	0	0	0	0	24	0	0	0	2
assemblage-368-841	0	0	7	0	0	0	0	0	0	0	193	0	0	0	147	12	0	0	0	0	0	0	0	137	0	0	0	4
assemblage-541-582	0	0	0	0	0	0	0	0	0	0	207	0	0	0	246	0	0	0	0	0	0	0	0	42	0	0	0	5
assemblage-614-784	0	9	0	0	0	0	0	0	0	0	257	0	0	0	77	0	0	0	0	0	0	0	0	156	0	0	0	1
assemblage-171-169	0	0	0	0	73	0	0	0	0	0	229	6	0	0	111	0	0	0	0	0	0	0	0	75	0	6	0	0
assemblage-823-113	0	0	0	0	0	0	0	0	0	0	133	0	0	0	258	0	0	0	0	0	0	0	0	97	0	6	6	0
assemblage-259-175	0	0	0	0	0	0	0	0	0	0	361	0	0	0	85	0	0	0	0	0	0	0	0	53	0	0	0	1
assemblage-238-294	0	0	0	0	0	0	0	0	0	0	267	0	0	0	140	0	0	0	0	0	0	0	0	93	0	0	0	0
assemblage-793-937	0	0	0	0	0	0	0	0	0	0	157	0	0	0	156	0	0	0	0	0	0	0	0	179	0	0	0	8
assemblage-642-157	0	19	0	0	0	0	0	0	0	0	261	0	0	0	74	0	0	0	0	0	0	0	0	146	0	0	0	0
assemblage-386-578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	23	0	0	0	8
assemblage-607-790	0	9	0	0	0	0	0	0	0	0	266	0	0	0	62	0	0	0	0	0	0	0	0	163	0	0	0	0
assemblage-912-205	0	0	0	0	16	0	0	0	0	0	127	0	0	0	311	0	0	0	0	0	0	0	0	41	0	0	0	5
assemblage-410-1014	0	0	0	0	0	0	0	0	0	0	261	0	0	0	85	0	0	12	0	0	0	0	0	141	0	0	0	1
assemblage-620-164	0	0	0	0	0	0	0	0	0	0	303	0	0	0	135	0	0	0	0	0	0	0	0	62	0	0	0	0
assemblage-951-342	0	0	0	0	0	0	0	0	0	0	91	0	0	0	303	0	0	0	11	20	0	0	0	75	0	0	0	0
assemblage-799-102	0	0	0	0	53	0	0	0	0	0	234	4	0	0	129	0	0	0	0	0	0	0	0	62	0	16	0	2
assemblage-352-864	0	0	0	0	22	0	0	0	0	0	108	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-963-868	0	0	0	0	0	0	0	0	0	0	445	0	0	0	17	0	0	0	0	0	0	0	0	36	0	0	0	2
assemblage-357-864	0	0	0	0	66	0	0	0	0	0	98	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-344-429	0	0	0	0	71	0	0	0	0	0	88	0	0	0	336	0	0	0	0	0	0	0	0	4	0	0	0	1
assemblage-290-286	0	0	0	0	22	0	0	10	10	0	384	0	0	0	25	0	0	0	0	0	0	0	0	49	0	0	0	0
assemblage-363-462	0	0	0	0	49	0	0	0	0	0	262	0	0	0	180	0	0	0	0	0	0	0	0	7	0	0	0	2
assemblage-489-327	0	0	0	0	0	0	0	0	0	0	303	0	0	0	56	0	0	0	0	0	0	0	0	140	0	0	0	1
assemblage-756-230	0	0	0	0	0	0	0	0	0	0	136	0	0	0	209	0	0	0	0	0	0	0	0	151	0	0	0	4
assemblage-463-280	0	0	0	0	27	0	0	0	0	0	86	0	0	0	265	0	0	0	0	0	0	0	0	121	0	0	0	1
