Assemblage_Name	3813449-3-3	2461378-3-5389748	3-289391-3	2-7741147-1	3448748-2-5613479	8001511-1-9292528	2-1-1	2455972-1-9292528	5279799-2-5613479	2461378-3-6639933	4355133-1804597-3	8722369-3-3	0-6647210-2	2-55185-1	2461378-3-9394805	2-1-2226815	3-3-3	2-2597850-9292528	2461378-9951436-3	3011205-3-3	4-4333399-5613479	1201289-1-2226815	0-0-2	4355133-3-3	8722369-1174511-8883962	0-4007064-2	2461378-3-7062784	4-2-5613479	2-2410738-1	5148645-2-5613479	7161121-3-3138013	4-8288050-381102	2-1-9292528	3818358-4007064-2	2-2183055-1	3197096-1-9292528	6673706-3-3	2-1-8559832	1309614-1-1	3-3-5634506	5285210-2-5613479	9353836-3-3	8622280-8288050-381102	8496631-1-2226815	2-2406054-1	2461378-3-3	2-1-407035	1978556-2597850-9292528	3-3-4819319	4-8458834-5613479	2461378-3-3138013	2274389-3-3	8722369-1174511-3	6879000-3-3	3-3-8285463	4-1-0	9020516-2-5613479	3-1152600-3	8979457-2-5613479	5564370-3-3	5290577-1-1	0-85814-2	8722369-5802752-3
assemblage-509-774	0	0	0	0	0	0	127	0	0	0	0	33	0	0	0	32	50	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-792-426	0	0	0	0	0	0	14	0	0	0	0	116	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	25	0	0	6	0	0	0	0	0	0	0	0	12
assemblage-947-458	0	0	0	0	0	0	67	0	0	0	0	226	0	0	8	0	19	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-970-448	0	0	0	0	0	0	47	0	0	0	0	221	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-781-432	0	0	0	0	0	0	74	0	0	0	0	178	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-789-310	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	8	104	26	0	0	0	0	0	11	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-580-593	0	0	0	0	11	0	60	0	0	0	0	0	0	0	0	100	21	0	0	0	0	0	11	0	0	20	0	117	0	0	0	26	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-775-446	1	0	0	0	0	0	161	0	0	0	0	76	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-486-244	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	106	29	0	0	0	0	16	0	0	0	0	0	197	0	0	0	0	53	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-992-736	103	22	0	0	0	0	105	0	0	0	0	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-468-265	0	0	0	0	0	0	61	0	0	0	0	5	0	0	0	0	90	122	0	0	0	0	0	0	0	0	0	186	0	14	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-407-904	0	0	0	0	0	11	191	0	0	0	0	109	0	0	0	24	0	11	0	9	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-730-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	63	0	0	12	13	0	23	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	29
assemblage-940-453	92	12	0	0	0	0	87	0	0	0	0	12	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-171-164	0	0	0	0	13	0	48	0	0	0	0	0	0	0	0	106	18	0	0	0	0	0	24	0	0	13	0	141	0	0	0	13	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-993-792	0	0	0	0	0	9	175	0	0	0	0	108	0	0	0	42	0	7	0	14	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-368-841	0	0	0	0	0	0	24	0	0	0	0	19	0	0	0	164	81	38	0	0	0	0	0	42	0	0	0	48	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-541-582	0	0	32	0	0	0	78	0	0	0	0	8	0	0	0	0	238	22	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-614-784	0	0	0	8	0	0	133	0	0	0	0	0	0	0	0	8	51	12	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-171-169	0	0	0	0	7	0	60	0	0	0	0	0	0	0	0	116	10	0	0	0	0	0	11	0	0	17	0	124	0	0	0	24	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-823-113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	94	0	0	0	0	0	13	0	0	73	0	245	0	0	0	17	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-259-175	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	8	47	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	16	0	0	0	0	0	0	55	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-238-294	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	89	101	80	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-793-937	0	0	0	0	0	0	55	0	0	0	0	88	0	0	0	23	173	33	0	0	0	0	0	0	0	0	0	31	0	0	0	0	16	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	11
assemblage-642-157	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	8	51	20	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-386-578	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	52	0	0	0	0	0	118	0	0	0	0	140	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	15	0	0	0	11
assemblage-607-790	0	0	0	8	0	0	120	0	0	0	0	0	0	0	0	14	47	10	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-912-205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	152	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	54	0	0	0	22	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-410-1014	0	0	0	0	0	0	24	0	0	0	15	0	0	0	0	58	125	46	0	0	0	0	0	46	0	0	0	101	0	0	0	0	0	0	0	44	0	0	0	0	0	3	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-620-164	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	13	118	15	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	50	16	0	0	0	0	0	4	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-951-342	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	47	0	0	0	59	3	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	19
assemblage-799-102	0	0	0	0	15	0	46	0	0	0	0	0	0	0	0	116	17	0	0	0	0	0	17	0	0	13	0	128	0	0	0	10	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-352-864	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	95	14	0	0	0	0	7	0	0	0	0	0	244	0	0	0	0	41	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-963-868	0	0	0	0	0	0	154	0	0	0	0	76	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	27	13	0	0	0	0	0	13	37	0	0	0	0	0	8	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-357-864	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	65	256	0	0	0	0	0	0	12	0	0	0	63	0	0	0	8	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-344-429	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	44	42	0	0	0	0	0	21	0	0	0	0	190	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-290-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	38	0	0	0	0	0	8	0	0	132	0	63	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-363-462	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	84	142	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-489-327	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	9	108	25	0	0	0	0	0	5	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-756-230	0	0	0	0	0	0	66	0	0	0	0	44	0	0	0	68	77	102	0	0	0	0	0	13	0	0	0	51	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-463-280	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	16	90	9	0	0	0	0	0	0	0	0	0	124	0	0	0	39	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-216-821	0	0	0	0	0	0	121	0	0	0	0	31	0	0	0	25	64	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-669-336	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	112	30	13	0	0	0	6	0	0	0	0	0	219	0	0	0	0	43	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3
