Assemblage_Name	2-1-5031638	1-2-4038249	1-4-8522162	4150191-2-4820972	9761745-2-0	0-2-895711	1566350-2-0	668361-2-0	1-2-6135796	2-2-0	3-4-6284566	4115128-2-4492555	0-0-1	0-2-1	0-0-2003886	0-2-9880906	0-2-1579968	2046051-1-1	0-2-4492555	0-1723686-1	1-2-0	1-370815-4820972	1-4-0	6504097-1-1	2-1-1	1775937-1-1	3-4-3	0-9329536-1	2-8983350-1	1-2-4820972	1-2-9830425
assemblage-509-774	0	0	0	0	0	0	0	20	0	0	0	0	0	70	0	0	0	0	83	0	45	0	31	0	71	0	0	0	0	180	0
assemblage-792-426	0	9	0	0	0	0	0	26	0	0	0	0	0	170	0	0	0	0	112	0	0	0	68	0	0	0	0	0	0	108	7
assemblage-947-458	0	0	0	0	0	0	0	160	0	0	0	0	0	78	0	0	0	0	106	0	0	0	123	0	0	0	0	0	0	32	1
assemblage-970-448	0	0	0	0	0	0	0	174	0	0	0	0	0	88	0	0	0	0	114	0	0	0	105	0	0	0	0	0	0	16	3
assemblage-781-432	0	0	0	0	0	0	0	162	0	0	0	0	0	104	0	0	0	0	105	0	0	0	105	0	0	0	0	0	0	21	3
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	5	24	0	0	0	0	123	0	49	0	2	12	273	0	0	0	0	12	0
assemblage-580-593	0	0	0	0	0	0	49	0	0	6	0	0	84	50	0	0	0	0	0	0	126	0	54	0	56	0	67	0	0	0	8
assemblage-775-446	0	0	0	0	0	0	0	188	0	0	0	0	0	69	0	0	0	4	23	0	0	0	29	0	158	7	0	0	0	18	4
assemblage-486-244	10	0	0	0	0	0	0	0	0	0	0	0	36	254	0	0	0	0	10	0	0	0	84	0	70	0	33	0	0	0	3
assemblage-992-736	0	0	0	0	0	0	0	51	0	0	0	0	0	171	0	0	0	0	42	0	0	0	133	0	28	0	0	0	0	73	2
assemblage-468-265	47	0	0	0	0	0	0	0	0	0	6	0	90	24	0	0	0	0	0	0	73	0	0	0	248	0	0	0	0	0	12
assemblage-407-904	0	0	0	0	0	0	0	56	0	0	0	0	15	53	0	0	0	0	0	0	126	0	115	0	121	0	0	0	0	11	3
assemblage-730-369	0	0	0	0	0	0	0	0	0	0	0	0	88	145	0	0	0	0	0	0	92	0	0	0	171	0	0	0	0	0	4
assemblage-940-453	0	0	0	0	0	0	0	53	0	0	0	0	0	149	0	0	0	0	41	0	0	0	145	0	30	0	0	0	0	79	3
assemblage-171-164	0	0	0	0	0	0	45	0	0	4	0	0	64	57	0	0	0	0	0	9	151	0	53	0	63	0	48	0	0	0	6
assemblage-993-792	0	0	0	0	0	0	0	63	0	0	0	0	18	56	0	0	0	0	0	0	116	0	114	0	114	0	0	0	0	13	6
assemblage-368-841	0	0	0	0	0	0	0	0	0	0	0	0	20	137	0	0	0	0	0	0	51	0	31	0	239	0	19	0	0	0	3
assemblage-541-582	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	168	0	67	0	36	0	97	0	0	0	0	0	5
assemblage-614-784	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	54	0	28	0	52	0	226	0	0	0	0	83	10
assemblage-171-169	0	0	0	0	0	0	51	0	0	2	0	0	63	70	0	0	0	0	0	0	111	0	64	0	57	0	75	0	0	0	7
assemblage-823-113	0	0	0	0	0	0	0	0	0	14	0	0	210	46	0	0	0	0	0	0	28	0	0	0	182	0	11	0	0	0	9
assemblage-259-175	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	105	0	14	0	47	0	74	0	0	0	0	114	6
assemblage-238-294	0	0	0	0	0	0	0	0	0	0	0	0	33	106	0	0	0	0	59	0	52	0	19	0	152	0	0	0	0	79	0
assemblage-793-937	9	0	0	0	0	0	0	0	0	0	0	0	46	163	0	0	0	0	0	0	0	0	5	0	253	0	17	0	0	0	7
assemblage-642-157	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	49	0	34	0	61	0	234	0	0	0	0	78	0
assemblage-386-578	0	0	0	0	0	0	0	0	0	135	0	0	252	18	0	0	0	0	0	0	11	0	0	0	74	0	0	0	0	0	10
