Assemblage_Name	4857388-4-2	3-9518590-7037169	206056-4-2	3-1160120-5884050	5434652-4-2	3-4-4917381	3-8135408-2	0-1-4769066	3-9320520-2973536	3-0-2564801	3-4-575472	3-1494774-7037169	0-8948003-0	3-1639919-3	3-9099602-2973536	3-4-2	0-4-1	6542453-4-5884050	0-1-0	3-7526006-7037169	3-9376196-5884050	0-6456331-1	3-4-7037169	8276927-4-2	7186108-4-2	3-4-5855429	3-3329176-4002237	0-6387347-1	3-4-6152249	3-3329176-5229436	5383493-4-5884050	3-4-6527248	3-0-3	1-4-8107784	3-4-4052374	3-4451725-5884050	3-4-3406324	1-4-2	1-512928-2	3-3329176-2771424	0-8706078-1	289302-4-7037169	5063919-4-2	3-4-5884050	3-1221891-5884050	3-3992027-4052374	3-4-2973536	0-5595880-1	3-4-8044294	3-3329176-3	0-6069045-1	1-4-7599946
assemblage-642-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	37	0	0	0	23	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	5
assemblage-386-578	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	182	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	41	0	0	0	0	212	0	0	0	0	0	11	0	0	0	0	0	17	0	14
assemblage-607-790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	49	0	0	0	20	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	13
assemblage-912-205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	64	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	224	0	7
assemblage-410-1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	168	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	61	0	56	0	0	0	0	0	0	0	0	40	0	0	0	0	0	70	0	6
assemblage-620-164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	9	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	6	0	0	0	0	0	0	13
assemblage-951-342	13	0	0	0	0	0	0	0	0	0	0	0	0	21	0	38	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	5
assemblage-799-102	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	136	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	194	0	11
assemblage-352-864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	113	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	187	0	3
assemblage-963-868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	121	0	0	0	0	0	0	0	9
assemblage-357-864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	13
assemblage-344-429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	111	0	4
assemblage-290-286	0	0	0	0	0	0	0	36	0	0	0	0	40	0	0	317	13	0	26	0	0	0	0	45	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	6
assemblage-363-462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	93	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	121	0	7
assemblage-489-327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	61	0	172	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	44	0	0	0	0	0	60	0	6
assemblage-756-230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	194	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	100	0	0	0	0	13	0	0	0	71	0	0	0	0	0	48	0	10
assemblage-463-280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	9	0	0	0	28	0	0	0	0	0	53	0	0	0	0	0	91	0	7
assemblage-216-821	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	35	0	0	0	0	0	218	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	6
assemblage-669-336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	114	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	191	0	2
assemblage-119-470	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	49	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	55	0	8
assemblage-791-118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	146	0	0	0	0	0	55	0	0	15	0	0	17	0	3
assemblage-958-370	11	0	0	0	0	0	0	0	0	0	0	0	0	10	0	34	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	5
assemblage-107-490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	70	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	58	0	15
assemblage-949-365	17	0	0	0	0	0	0	0	0	0	0	0	0	5	0	46	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	259	0	10
assemblage-516-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	5
assemblage-770-926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	117	0	12
assemblage-395-903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	7	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	9	0	8
assemblage-563-597	0	0	0	0	0	0	0	0	57	8	0	0	0	0	0	128	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	234	0	5
assemblage-816-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	7	0	97	0	0	0	0	39	0	0	0	50	0	0	0	0	0	55	0	13
assemblage-471-239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	136	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	50	0	0	0	0	0	184	0	7
assemblage-262-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	9	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	6
assemblage-983-722	0	0	0	45	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	18	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	3
assemblage-657-321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	3
