Assemblage_Name	3-4407194-3	3-7896728-3	4-3-9867443	2-8729853-0	3-9551794-3	2207599-1-0	1-1-2	3-4721897-3	7045315-1-0	6488526-3-3	6088818-1-2	2-8889121-0	1378416-6842769-0	1173895-4-0	1378416-4-8095662	3-3-3	2-5947063-0	3-3-3295998	2-1-2537332	1-931791-2650239	1-6796597-2	1-1-9076135	3362650-4-0	1-3282153-2	959286-1-2	1-3655649-2	3-3-7525459	1-3947832-2	2-1-2445421	1-931791-2	8939927-1-0	1-1219108-2	3-3-4845819	3-4056247-3	1378416-4-0	2303787-4-0	4527684-1-0	1378416-4-2582933	3-8246239-3	2-1-1450248	1378416-4-7860628	1-5878627-2	3-3394465-3	3-7452861-3	2-1-1576558	2385411-3-3	1378416-696861-0	560718-931791-2	1-1-449350	4-3-4793113	9969560-1-0	9033267-931791-2	4-3-2044745	1378416-4-249923	1378416-4-4433120	2-1-0	2634435-1-1576558	1-1-9902354
assemblage-509-774	0	0	0	0	16	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	10
assemblage-792-426	0	0	0	0	43	0	26	0	0	0	0	0	0	0	0	16	37	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	8
assemblage-947-458	0	0	0	0	72	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	3
assemblage-970-448	0	0	0	0	87	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	7
assemblage-781-432	0	0	0	0	75	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	8
assemblage-789-310	0	0	0	0	123	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	8
assemblage-580-593	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	38	0	0	0	0	0	0	26	0	0	65	0	0	0	0	0	0	0	7	0	0	31	0	2
assemblage-775-446	0	0	0	0	24	0	95	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0
assemblage-486-244	0	0	0	0	22	0	173	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	9	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	86	0	11
assemblage-992-736	0	0	0	0	14	0	125	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	2
