Assemblage_Name	0-3240661-5584060	1-1-0	1-1-4	0-7866543-4	2567713-1-1	5914932-4-2	0-3-9290877	3605234-3-0	1621026-3-0	0-3-4862568	0-4-2	0-651861-5136190	7969813-3-0	0-4-4	699068-1-1	0-3-5949628	0-297677-2	8614614-3-0	3164783-7174693-1	0-651861-9480190	3164783-1-7116511	0-651861-9738000	3904170-1-1	3763011-3-0	4670631-651861-2	5384008-4-2	1331120-1-1	1487579-3-0	0-3240661-7541353	3-0-1	0-3-6013753	0-3-7960777	3164783-1-909760	0-3-2465988	3164783-1-4959381	0-3-0	0-3-9476160	0-6413989-2	0-6000027-2	0-651861-6089384	2810884-1-4	1-1787793-4	3164783-1-1	3164783-8578904-1	2827629-651861-2	0-3240661-4	0-3-3237264	0-3-4306539	0-651861-2	0-8340334-0
assemblage-368-841	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	182	0	0	155	0	0	16	15
assemblage-541-582	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	28	0	0	0	0	0	85	12
assemblage-614-784	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	187	0	0	0	0	0	0	155	0	0	0	60	0	78	9
assemblage-171-169	0	30	50	0	0	0	0	0	0	0	31	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	216	0	0	0	0	0	0	6
assemblage-823-113	0	21	170	0	0	0	0	0	0	0	59	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	56	0	0	0	0	0	0	5
assemblage-259-175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	151	0	0	0	0	0	0	10
assemblage-238-294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	65	0	0	11	126	0	67	16
assemblage-793-937	0	0	20	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	130	0	0	66	0	0	107	2
assemblage-642-157	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	174	0	0	0	47	0	74	10
assemblage-386-578	0	15	43	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	25	0	0	0	0	0	374	0	0	0	0	0	0	8	0	0	0	0	0	0	1
assemblage-607-790	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	170	0	0	0	52	0	84	10
assemblage-912-205	0	0	40	0	0	0	0	0	0	0	56	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	93	0	0	23	0	0	177	2
assemblage-410-1014	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	188	0	0	37	34	0	89	3
assemblage-620-164	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	197	0	0	39	0	0	16	6
assemblage-951-342	0	0	5	0	0	0	0	0	0	0	303	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-799-102	0	36	19	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	220	0	0	0	0	0	0	11
assemblage-352-864	0	0	54	0	0	0	0	0	0	0	91	0	0	0	0	0	16	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	126	0	0	0	0	0	39	2
assemblage-963-868	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	196	0	0	0	0	0	0	108	30	0	60	55	0	28	8
assemblage-357-864	0	0	89	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	151	0	0	0	0	0	91	14
