Assemblage_Name	4-2-5395260	2781350-2-1	2-1-3	4-2642281-1	2-0-4	4-2-1	2-0-4184423	0-4-4	0-2-3	2-6726379-4
assemblage-766-303	0	0	57	0	413	29	0	0	0	1
assemblage-403-900	0	0	9	0	305	183	0	0	0	3
assemblage-768-310	0	0	62	0	388	48	0	0	0	2
assemblage-112-482	0	0	218	0	57	127	0	98	0	0
assemblage-630-843	0	0	25	0	241	231	0	0	0	3
assemblage-145-505	0	0	61	0	418	18	0	0	0	3
assemblage-943-353	0	0	0	0	182	0	0	309	0	9
assemblage-212-820	0	0	118	0	299	83	0	0	0	0
assemblage-401-583	0	0	76	0	180	178	0	34	31	1
assemblage-605-799	0	0	35	0	372	93	0	0	0	0
assemblage-874-862	0	0	85	0	329	79	0	0	0	7
assemblage-755-317	0	0	183	0	248	69	0	0	0	0
assemblage-441-260	0	0	77	0	81	168	0	172	0	2
assemblage-666-310	0	0	0	0	353	91	0	42	0	14
assemblage-400-1003	0	0	161	0	266	70	0	0	0	3
assemblage-275-182	0	0	0	0	237	258	0	0	0	5
assemblage-823-94	0	0	126	0	321	51	0	0	0	2
assemblage-756-921	0	0	0	0	138	287	0	69	0	6
assemblage-466-841	0	0	13	0	95	364	0	26	0	2
assemblage-961-871	0	0	3	0	230	267	0	0	0	0
assemblage-109-487	0	0	181	0	238	81	0	0	0	0
assemblage-403-596	0	0	57	0	190	182	0	33	34	4
assemblage-367-419	0	0	102	0	57	177	0	163	0	1
assemblage-843-848	0	0	13	0	377	72	0	38	0	0
assemblage-442-845	0	0	77	0	222	109	0	92	0	0
assemblage-954-864	0	0	12	0	245	241	0	0	0	2
assemblage-355-450	0	0	0	0	218	200	0	82	0	0
assemblage-103-500	0	0	56	0	425	18	0	0	0	1
assemblage-762-377	0	0	92	0	295	112	0	0	0	1
assemblage-775-937	0	0	42	0	200	186	0	72	0	0
assemblage-641-859	0	0	24	0	241	234	0	0	0	1
assemblage-918-230	0	0	224	0	155	121	0	0	0	0
assemblage-385-584	0	0	62	0	182	184	0	43	26	3
assemblage-514-309	0	0	178	0	253	69	0	0	0	0
assemblage-645-144	0	0	6	0	324	167	0	0	0	3
assemblage-220-285	0	0	74	0	384	41	0	0	0	1
assemblage-498-329	0	0	136	0	115	249	0	0	0	0
assemblage-867-863	0	0	134	0	246	114	0	6	0	0
assemblage-762-943	0	0	14	0	350	97	0	39	0	0
assemblage-647-322	0	0	27	0	191	188	0	94	0	0
assemblage-956-869	0	0	8	0	224	268	0	0	0	0
assemblage-348-821	0	0	187	0	157	151	0	5	0	0
assemblage-803-103	0	0	103	0	336	59	0	0	0	2
assemblage-367-826	0	0	167	0	172	155	0	0	0	6
assemblage-493-756	0	0	128	0	271	94	0	0	0	7
assemblage-735-364	0	0	16	0	378	57	0	48	0	1
assemblage-174-175	0	0	26	0	121	198	0	155	0	0
assemblage-945-370	0	0	8	0	201	7	0	283	0	1
assemblage-478-257	0	0	0	0	358	91	0	47	0	4
assemblage-505-311	0	0	123	0	119	258	0	0	0	0
assemblage-815-105	0	0	240	0	169	91	0	0	0	0
assemblage-984-355	0	0	0	0	219	0	0	274	0	7
assemblage-497-311	0	0	117	0	296	85	0	0	0	2
assemblage-994-556	0	0	0	0	386	81	0	33	0	0
assemblage-874-851	0	0	267	0	132	99	0	0	0	2
assemblage-559-595	0	0	37	0	139	173	0	150	0	1
assemblage-227-302	0	0	73	0	402	23	0	0	0	2
assemblage-644-334	0	0	157	0	203	125	0	15	0	0
assemblage-528-569	0	0	159	0	239	101	0	0	0	1
assemblage-988-792	0	0	10	0	321	159	0	0	0	10
assemblage-554-568	0	0	244	0	167	89	0	0	0	0
assemblage-655-312	0	0	55	0	153	217	0	75	0	0
assemblage-274-246	0	0	25	0	83	368	0	24	0	0
assemblage-775-935	0	0	0	0	219	212	0	68	0	1
assemblage-379-593	0	0	62	0	193	178	0	35	31	1
assemblage-165-150	0	0	25	0	178	151	0	146	0	0
assemblage-402-995	0	0	174	0	263	58	0	0	0	5
assemblage-357-449	0	0	0	0	208	214	0	78	0	0
assemblage-266-272	0	0	19	0	64	398	0	19	0	0
assemblage-352-867	0	0	36	0	205	187	0	71	0	1
assemblage-202-305	0	0	131	0	124	245	0	0	0	0
assemblage-979-729	0	0	68	0	196	234	0	0	0	2
assemblage-755-244	0	0	210	0	200	90	0	0	0	0
assemblage-498-742	0	13	10	0	303	173	0	0	0	1
assemblage-999-809	0	0	6	0	349	139	0	0	0	6
assemblage-779-920	0	0	0	0	381	80	0	38	0	1
assemblage-750-265	0	0	115	0	248	137	0	0	0	0
assemblage-145-150	0	0	18	0	113	344	0	23	0	2
assemblage-383-901	0	0	78	0	274	148	0	0	0	0
assemblage-818-92	0	0	97	0	336	66	0	0	0	1
assemblage-779-928	0	0	0	0	125	298	0	75	0	2
assemblage-101-463	0	0	81	0	127	178	0	102	12	0
assemblage-618-780	0	0	67	0	201	227	5	0	0	0
assemblage-191-813	0	13	5	0	302	180	0	0	0	0
assemblage-467-253	0	0	47	0	174	227	0	46	0	6
assemblage-766-933	0	0	85	0	63	180	0	170	0	2
assemblage-763-309	0	0	163	0	272	65	0	0	0	0
assemblage-541-590	0	0	166	0	269	62	0	0	0	3
assemblage-436-255	0	0	0	0	121	314	0	64	0	1
assemblage-569-598	0	0	27	0	135	211	0	126	0	1
assemblage-819-111	0	0	60	0	229	92	0	119	0	0
assemblage-951-437	0	0	83	0	180	237	0	0	0	0
assemblage-786-950	0	0	0	0	346	104	0	48	0	2
