Assemblage_Name	8097818-4-1	4-898925-3459422	4-3-3459422	144824-3-3459422	1-1-2	1119288-7310699-1	1-3839450-1	4-8112617-3459422	2732350-4-1	8870563-3-1384887	8241402-3-1	2-5723064-3	4-3-1571521	0-3-3217020	8870563-3-3459422	2-4925576-1	1-5838883-1	5547616-4-1	2-2-3	2-4-5211081	9402555-3-3459422	8051672-3-1	2-8507577-1	1119288-3-1	8870563-3-4574579	4-3-8908801	8870563-2882071-3459422	8100163-4-1	4-3-4266992	5277107-3-3459422	2-2-9730779	8100163-3942049-1	2-2283747-1	8870563-2328638-3459422	985118-4-1	5277107-3-516127	1-1832478-1	1748348-3-1	1-3-1	2-4-1	4-3-520043	6631180-3-1	4514380-3-3459422	1-3846984-1	8870563-3-1126199	1-3-9285226	1-3-5283330	5128079-3-3459422	2-3761444-1	1-3-663562	4-3-6708120	4908361-3-1	926513-4-1	2869869-3-3459422	1-3-3492214
assemblage-238-294	0	0	32	0	0	0	0	0	0	0	0	0	0	0	251	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	78	0	0	0	0	0	0	0	0	81	0	0	0	0	0	6
assemblage-793-937	0	0	182	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	118	0	0	6	0	0	0	0	0	0	42	0	0	0	0	9
assemblage-642-157	0	0	7	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	198	13	0	0	0	0	0	0	0	0	76	0	0	0	0	0	7
assemblage-386-578	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	22	0	0	0	0	0	0	42	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-607-790	0	0	6	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	12	0	0	0	0	0	0	0	0	87	0	0	0	0	0	9
assemblage-912-205	0	9	178	0	0	0	0	9	0	0	0	0	0	0	70	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-410-1014	0	0	93	9	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	154	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1
assemblage-620-164	0	0	134	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	4	9	0	0	68	0	0	0	0	0	0	0	0	168	37	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6
assemblage-951-342	0	0	451	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	5
assemblage-799-102	0	0	79	0	0	0	0	0	0	0	0	31	0	0	0	0	0	12	92	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	222	19	0	0	0	0	0	0	0	0	16	8	0	0	0	11
assemblage-352-864	0	5	176	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	38	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-963-868	0	0	117	0	0	0	0	0	0	0	7	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	62	0	5	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7
assemblage-357-864	0	0	102	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	4	0	0	0	0	0	90	206	0	0	15	0	0	0	0	0	0	7	0	0	0	0	6
assemblage-344-429	0	0	118	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	199	0	0	5	0	0	0	0	0	0	70	0	0	0	0	5
assemblage-290-286	0	0	24	0	38	0	4	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	158	0	0	0	0	0	0	9	0	0	14	0	0	0	0	8
assemblage-363-462	0	0	180	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-489-327	0	0	77	0	0	0	0	0	0	4	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	184	0	0	0	0	14	0	0	0	19	0	0	0	0	0	2
assemblage-756-230	0	0	22	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-463-280	5	15	163	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-216-821	0	0	80	0	0	0	0	0	0	0	36	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-669-336	0	7	178	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-119-470	0	0	44	0	0	0	0	0	0	0	0	0	0	48	50	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-791-118	0	0	141	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	22	190	0	0	0	0	0	0	0	10	0	0	0	0	0	0	15
assemblage-958-370	0	0	419	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	34	0	0	0	12
