Assemblage_Name	7476240-5782233-5801410	221842-3-0	2620046-750547-2078105	7582015-8086500-5736306	7476240-2295293-0	1-3249238-7357035	1-1-9803699	1766691-3-9465674	8300936-2-8102224	8956616-3-0	3-1-0	3-9607369-0	7476240-8947601-4321011	3-4093252-0	293602-3-0	7476240-6181120-0	7476240-3675351-5835044	7886418-1-0	1641909-3-0	7476240-7547444-0	3-7330762-8483733	4272843-2-5736306	5205955-7536468-0	3-1-2078105	2-2755173-2785891	8895456-3-0	7476240-6937856-0	7476240-3-4002532	7476240-3946548-0	9684633-3-0	7476240-3-7535919	1-1-6128708	3146012-3-0	7476240-5782233-4572937	4119223-2-8483733	7476240-3-0	6861584-3-0	4254676-3-0	1-3161216-9803699	7476240-6795967-0	8252424-3-0	1-1-878914	2620046-5782115-2078105	2516618-3-0	4272843-2754044-5736306	7476240-3-1001607	7582015-9364782-5736306	1789127-2-5736306	7476240-3-6767304	5205955-7562828-0	444001-3-0	5830491-3-0	7476240-6119269-0	7582015-4127068-5736306	2684495-1-0	7476240-3-3510931	3-2-8483733	7476240-3-985120	3565305-3-0	3-750547-2078105	7476240-3-252572	7476240-5955304-4572937	3302773-2-5736306	2-2755173-2	8753154-3-0	2-2-0	1486135-4514705-0	3046179-3-0	8017564-1-7357035	8079020-3-985120	7476240-3675351-0	7476240-8947601-0	7582015-2-8483733	5571775-1-7357035	1-1-2266546	3-1-4640106	7476240-5782233-0	3-8476381-0	3-1980139-0	1-1751264-7357035	3-2-8102224	1-1-5176049	1-4661528-9803699	8781752-0-2	1113830-3-0	7094972-3-0	7476240-1129750-5801410	2065620-3-0	7476240-43191-0	7728513-3-0	4135768-2-0	7476240-3-9824088	2102295-3-0	7582015-2-5736306	7476240-1325008-0	4742795-1-0	2936974-3-0	3-9607369-3984480	1766691-3-0	3725070-3-0	959696-3-0	7476240-4200246-0	9882674-1-0	1-1-7357035	7476240-4761875-0
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	24	0	70	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13
assemblage-792-426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-947-458	0	33	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	372	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	15
assemblage-970-448	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	18
assemblage-781-432	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	33
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	51	0	0	0	0	304	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	13	0	0	7
assemblage-580-593	0	0	0	0	0	0	10	0	0	0	143	0	0	0	0	0	0	0	0	9	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	10	26	10
assemblage-775-446	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	226	33	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	9	24	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-486-244	11	0	0	0	0	0	0	0	0	0	5	0	63	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	51	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	29	22
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	19
assemblage-468-265	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	102	20	0	86	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	27	0	0	0	0	0	18
assemblage-407-904	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	279	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	8
assemblage-730-369	0	0	17	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	12	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	107	0	0	0	0	6	21
assemblage-940-453	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	12
assemblage-171-164	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	12	19	22
