Assemblage_Name	8501221-4-0	5553581-7309698-7402296	7719791-3608167-1	8565605-3-1740542	1-5812525-1	6728637-3-1740542	6872808-1-35719	1-6354061-1	3300794-9250014-1	1-9250014-1	1-7309698-7402296	3937583-2-6011717	4035975-1-7704794	6872808-1-1095920	1-4956384-1	8851399-2-6011717	1-1553389-0	1-1801002-1	1-3-4128671	1-7309698-9443127	881387-0-4	1-9250014-4731465	9627572-0-4	5226700-0-4	3753562-1-1	1-9009196-1	1-1-5882652	0-1961800-4	1-7309698-5035362	1-6453618-1	1-9250014-607006	8457173-1-1	4258525-1-1095920	1-1-1	1-3-6218411	1741996-0-4	7343371-3-1740542	6495863-1-1	8501221-3902786-4490025	4415577-3-0	159140-3-6380524	1-3-5173981	0-0-4	6841435-4-4490025	3-8246712-5124223	1-7551627-1	1-1-6502263	1-1-1415299	3428402-2-3	1-1564696-0	8754419-1-3231308	2-9150494-3	9404900-3-6380524	1741996-0-7694415	1-3-6115478	1-5204020-7402296	1-3-1477684	2-2-3	1-7016158-1	6945923-4-4490025	1928263-9250014-1	1-5219522-0	5079204-1-4998439	1-9983522-7069604	1-3-6380524	8969083-3-0	1-7318049-1	8754419-1-1095920	1-5766579-3235961	9390395-1-1	1741996-0-9343228	1437802-3608167-1	1-7523847-1	5079204-1-1095920	1-9119381-3235961	1-1-3113498	1-6694887-1	1-3-0	5553581-9927437-7402296	8542137-2-3	1-9250014-5730717	1-1-3550254	1741996-4961953-4	1694299-3-0	8754419-1-4304401	1-9250014-3235961	1-3-7069604	1-3-9139458	7719791-1-1	6931424-9250014-1	1-2558121-1	2601316-2-3	1-7309698-5180226	1-1-1095920	9404900-3-1126287	1-9272924-1	4670291-9250014-1	4035975-1-1095920	1-7666846-1	7719791-9362887-1	1-6116106-1	3415182-3-0	1-3-9469181	1-3-8727471	8968424-1-1	1-3-7402296	1-1-3544416	3-8246712-73547	1-9250014-7994781	1253415-9250014-1	8501221-4-4490025	804771-0-4	6809878-8246712-5124223	1-3-1740542	1-3-1439081	7489809-0-4
assemblage-509-774	0	0	0	0	0	0	0	0	0	177	22	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	23
assemblage-792-426	0	0	0	0	0	0	0	8	6	227	29	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	10	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	117	18
assemblage-947-458	0	0	0	0	0	0	0	61	0	50	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	13	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	9
assemblage-970-448	0	0	0	0	0	0	0	53	0	62	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	10
assemblage-781-432	0	9	0	0	0	0	0	53	0	40	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	13	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	16
assemblage-789-310	0	0	0	0	0	0	0	0	0	143	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	12	174	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-580-593	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	27	0	0	4	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	31
assemblage-775-446	0	0	0	0	0	0	0	0	0	117	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	27	24
assemblage-486-244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	11	0	8
assemblage-992-736	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	151	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	28
