Assemblage_Name	906423-3-0	1-1-3	9033135-3-0	2873095-3-2239417	340785-3-0	3-3599417-6619223	3-3-4289548	3-3-0	2-7641181-0	2981604-3-0	940782-1-0	2-7641181-3241835	3-3-7633688	2366522-0-1	2650832-0-1	3-3599417-0	3-8969415-0	2-7641181-149049	0-0-1	2873095-3-7601022	2873095-3-3038909	2-9740852-0	2-8920112-0	3856645-3-0	9556330-3-0	2-1-3921145	788667-3-0	2873095-3-0	2-891670-0	2-7641181-8907481	3-3-4159959	1630110-1-0	3-411685-0	2-2653324-0	2-7641181-7544906	1-4-4	2873095-3-9268610	2-9156270-0	2-1-0	1-4-4908830	5095452-1-0	2-1-1481128	2-4842270-0	195779-3-0	5325734-3-0	1196020-3-0	2-1-4472224
assemblage-509-774	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	13
assemblage-792-426	0	0	0	0	0	0	0	149	48	0	0	0	0	0	0	59	0	0	0	0	0	0	0	12	0	0	11	179	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	3
assemblage-947-458	0	0	0	0	7	18	0	272	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	9	0	0	0	0	0	95	0	0	0	0	0	0	0	7
assemblage-970-448	0	0	0	0	9	6	0	271	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	15	0	0	0	0	0	118	0	0	0	0	0	0	0	12
assemblage-781-432	0	0	0	0	8	18	0	270	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	17	0	0	0	0	0	99	0	0	0	0	0	0	0	6
assemblage-789-310	0	0	0	0	0	0	0	331	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	4
assemblage-580-593	0	0	0	0	0	0	0	157	5	0	0	0	24	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	202	0	0	0	0	0	0	0	10
assemblage-775-446	0	0	0	0	0	0	0	144	58	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3
assemblage-486-244	0	0	0	0	0	0	0	114	98	0	0	0	0	0	0	0	0	11	61	0	0	0	0	0	0	2	0	8	0	4	0	0	0	0	0	46	0	0	152	0	0	0	0	0	0	0	4
assemblage-992-736	0	0	0	0	0	0	0	311	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5
assemblage-468-265	0	0	0	0	0	0	0	155	71	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	6
assemblage-407-904	0	0	0	0	0	0	0	219	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	194	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
assemblage-730-369	0	0	0	0	0	0	0	282	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	59	0	0	7	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	14
assemblage-940-453	0	0	0	0	0	0	0	308	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3
assemblage-171-164	0	0	0	0	0	0	0	130	5	0	0	0	21	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	218	0	0	0	0	0	0	0	4
assemblage-993-792	0	0	0	0	0	0	0	251	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	158	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	6
assemblage-368-841	0	0	0	0	0	0	0	334	39	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	12
assemblage-541-582	0	0	0	0	0	0	0	207	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	9
assemblage-614-784	0	0	0	0	0	0	0	291	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	91	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	44	15
assemblage-171-169	0	0	0	0	0	0	0	151	13	0	0	0	32	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	207	0	0	0	0	0	0	0	17
assemblage-823-113	0	0	0	0	0	0	0	49	95	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	288	0	17	0	0	0	0	0	6
assemblage-259-175	0	0	0	0	0	0	0	198	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	7
assemblage-238-294	0	0	0	0	0	0	0	209	41	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	1
