Assemblage_Name	2-8682202-5845182	9096289-4-0	2-4-8707812	2-4-44565	2-4638367-5845182	8474982-7057101-3	6263198-7057101-3	2-4-8844615	2-9397540-5845182	5647129-0-2	6759333-0-2	4-3-4323348	2-531440-0	3129457-531440-0	4-3235846-3	2-4-183273	2-6402706-0	9669638-4-0	1-3-5522894	2-4-4865915	0-2-2	0-2-4	2-5425343-0	4-0-4219753	4-9596784-3	3806857-3-3	3806857-2531605-3	4-0-2	6692734-4-0	2-4-5845182	6007263-0-2	1-3-2	2-4-4759318	4-7057101-7880450	2-531440-8523139	2-4-0	1-3-2529431	4-7057101-6734170	5123231-4-0	2-3202530-0	7145755-0-2	2-551412-0	2-8486574-0	1847468-4-0	9476439-4-0	3806857-3-1838035	8960740-3-3	2-4-2969536	2-1435727-0	4-3-3	4-7057101-3	4-6383479-3	2-531440-9897555	2-4-8433573	1-3-6923708	8591906-0-2
assemblage-195-187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-621-440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	86	0	0	0	44	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	25	53	0	0	0	0	12
assemblage-525-934	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	7	8	0	90	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	14
assemblage-499-512	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	135	0	0	0	0	0	0	0	184	40	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	7
assemblage-943-691	0	0	0	0	0	0	0	0	0	0	33	0	18	0	0	0	56	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	255	0	0	0	0	25	0	0	0	0	0	0	0	0	0	29	0	0	0	0	14
assemblage-900-267	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	6	0	0	0	0	0	0	0	0	23	0	31	0	103	0	0	0	0	0	236	6	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-711-905	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	178	0	68	0	69	0	0	0	0	0	113	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-411-344	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	70	32	63	0	100	0	0	0	0	0	86	0	0	0	0	0	0	11	62	0	0	0	0	0	0	0	0	23	0	0	7
assemblage-673-388	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	37	0	169	0	0	29	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	22
assemblage-518-548	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	35	0	30	0	203	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
