Assemblage_Name	1-6851594-0	4579836-0-495436	1-8092132-5376206	0-8368908-1	3-3-1	1-8092132-0	3-8604947-1	4-508700-0	4-5180155-495436	0-1-1	6505826-1-4	4-209931-495436	3657716-0-495436	0-9793988-1	4-6053368-495436	0-8142930-1	3-1-4	4-2449732-495436	4708040-0-495436	4-0-495436	4-2449732-6528690	4897015-0-0	4-2449732-2044594	4-3-4	4-2-0	1-8092132-9469947	3264759-8092132-0	4-9515191-495436	1-8092132-9679453	1-8092132-6508779	4-2-8241146	5382900-8092132-6508779	3-3-1454976
assemblage-907-527	63	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4
assemblage-621-440	0	0	0	0	0	137	0	0	42	149	0	0	0	0	0	0	63	0	0	67	0	0	0	38	0	0	0	0	0	0	0	0	4
assemblage-925-992	0	0	0	0	29	91	0	0	5	103	0	0	0	0	0	0	44	0	0	86	0	0	0	0	135	0	0	0	0	0	0	0	7
assemblage-460-153	0	0	0	0	71	77	0	0	0	200	0	0	4	0	0	0	22	0	0	107	0	0	0	0	19	0	0	0	0	0	0	0	0
assemblage-950-251	0	0	0	0	99	232	0	11	0	75	0	0	0	0	0	0	0	0	0	49	0	0	0	0	25	0	0	0	0	0	0	0	9
assemblage-815-972	0	0	0	0	77	188	0	0	0	56	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	24	0	28	5
assemblage-325-227	0	0	0	0	43	163	0	0	0	16	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-606-238	0	0	0	0	18	268	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	59	13
assemblage-688-487	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	100	0	141	0	0	0	0	0	0	0	0	0	0	0	92	2
assemblage-358-786	0	0	24	0	0	210	0	0	0	0	0	0	0	0	0	0	0	14	0	147	0	0	0	0	0	0	0	0	0	0	0	102	3
