Assemblage_Name	0-3731468-2	4-4742269-3	8426723-0-3	2-3-4	8225307-3-2	0-1-4348437	4-0-3287143	8225307-3-7794810	0-8230468-2	188961-0-3	0-1-1849687	0-8230468-988909	188961-0-1353812	0-1-2	0-9473612-2	0-7802105-2	9152710-0-3047486	4-4830362-3	9152710-0-3	4-0-3	4-2970034-3	0-0-1	4-1773106-3	5568015-0-3	0-8230468-8803984	0-816519-4802851	9152710-3071375-3	0-9473612-4802851	0-2315853-2	0-1226362-2	4-3390923-3	0-8230468-7597093	4-8827250-3	2-7569902-4	2-6107023-2118455	2-6107023-4	4-3713788-3	4-2970034-5441056	3-2-1	3-2-477318	9152710-4716236-3
assemblage-258-243	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	26	4
assemblage-621-440	0	0	0	0	0	4	0	0	57	46	0	0	0	156	0	0	0	0	139	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-934-1004	0	0	0	12	0	7	0	0	71	0	0	0	0	131	38	0	0	0	57	47	0	84	0	0	0	0	0	29	0	0	0	0	0	0	0	10	0	0	0	0	14
assemblage-575-740	0	0	0	0	0	34	0	0	0	0	0	0	0	96	0	0	0	0	165	72	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-957-688	0	0	0	0	0	35	0	0	36	0	0	0	0	14	0	0	0	0	124	190	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	4
assemblage-894-247	0	0	0	0	0	0	0	0	99	0	0	0	0	12	0	0	0	11	98	203	54	0	0	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	7
assemblage-256-346	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	6	0	124	101	130	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	7
assemblage-599-228	0	0	0	0	0	0	0	0	55	0	0	0	0	42	0	0	0	0	84	53	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-673-417	0	0	0	0	0	0	0	0	22	0	0	0	0	127	0	0	0	0	11	5	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	1
assemblage-526-569	0	0	0	0	0	0	0	0	4	0	0	0	0	230	0	0	0	0	31	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
