Assemblage_Name	8918921-1-1	1-4485758-1	1-2-719972	1-1-2	1-2-360165	1-2-1	2-9328064-1	1-607690-1	2-1-1	1-1163147-1	1-2-7925981	1-2-6266788	5781429-2-1	2-3-2	8898135-2-719972	0-2-0	2-1-2188645
assemblage-242-242	0	0	0	0	0	0	0	0	230	0	0	0	0	75	0	194	1
assemblage-172-188	0	0	0	41	0	177	0	0	214	0	0	0	0	0	0	59	9
assemblage-525-934	0	0	0	215	0	70	0	0	184	0	0	0	0	0	0	30	1
assemblage-575-740	0	0	0	10	0	341	0	0	136	7	0	0	0	0	0	0	6
assemblage-936-696	0	0	16	45	0	352	0	0	80	0	0	0	0	0	0	0	7
assemblage-277-528	0	0	115	70	0	260	0	9	46	0	0	0	0	0	0	0	0
assemblage-352-230	0	0	62	19	0	346	0	11	60	0	0	0	0	0	0	0	2
assemblage-594-237	0	0	129	155	0	215	0	0	1	0	0	0	0	0	0	0	0
assemblage-689-477	0	0	64	187	0	244	0	0	0	0	0	0	0	0	0	0	5
assemblage-520-558	0	0	102	126	0	271	0	0	0	0	0	0	0	0	0	0	1
