Assemblage_Name	1-3-1517043	1-3-9258641	1-8156414-5210008	0-1449546-0	1-3-1192933	8685439-2-0	1-8526610-1517043	1255240-3-9258641	1-8156414-1517043	0-2-0	8819633-3-9258641	1-3-3	49629-3-9258641	8184657-396758-2	3-0-1	4-4-3	2-4196683-982476	8184657-0-4051409	8184657-0-2	0-6647474-0
assemblage-246-669	0	258	0	63	14	0	0	0	0	30	48	0	0	0	0	0	0	0	58	8
assemblage-364-249	0	50	0	0	0	0	100	0	0	130	0	87	0	18	0	0	0	0	78	9
assemblage-903-862	0	187	0	0	0	0	0	0	0	218	0	20	0	0	0	0	0	0	9	14
assemblage-222-939	35	237	0	0	0	56	5	0	0	78	0	54	0	0	0	0	0	0	10	11
assemblage-731-490	123	38	9	0	0	0	0	0	15	129	0	96	0	0	0	0	31	0	17	7
assemblage-896-872	0	249	0	0	7	0	0	0	0	92	0	41	0	0	0	0	0	0	77	8
assemblage-492-657	55	0	0	0	0	0	0	0	59	74	0	84	0	0	8	0	132	0	45	10
assemblage-613-289	0	184	0	0	0	0	37	0	0	82	0	142	0	21	0	0	0	0	14	8
assemblage-113-897	16	68	0	0	0	0	0	0	0	47	0	0	0	0	50	0	0	106	127	24
assemblage-685-298	122	18	0	0	0	0	0	0	27	144	0	74	0	0	0	8	10	13	50	20
assemblage-365-492	0	96	0	0	58	0	0	0	0	146	0	0	0	0	0	0	0	0	177	10
assemblage-114-348	61	99	0	0	0	0	7	0	0	235	0	40	0	15	0	0	0	0	0	20
assemblage-252-346	0	209	0	19	20	0	0	0	0	182	0	0	14	0	0	0	0	0	47	9
assemblage-405-318	0	181	0	5	2	0	0	0	0	104	84	0	82	0	0	0	0	0	7	10
assemblage-383-267	0	278	0	0	0	0	35	0	0	113	0	0	0	0	0	0	0	0	5	13
assemblage-331-188	0	111	0	0	45	0	0	21	0	164	89	0	38	0	0	0	0	0	17	15
assemblage-458-410	0	60	0	0	0	22	25	0	41	199	0	36	0	0	0	0	0	0	94	23
assemblage-268-734	161	0	0	0	0	0	0	0	0	270	0	0	0	0	0	38	0	0	7	17
assemblage-262-104	0	61	0	0	0	0	0	41	0	151	62	0	82	0	0	0	0	0	97	6
assemblage-601-501	43	40	0	0	0	0	0	0	32	17	0	83	0	0	5	72	3	68	44	17
assemblage-734-991	148	58	47	0	0	0	0	0	10	24	0	7	0	0	0	61	0	7	107	20
assemblage-358-487	0	68	0	0	48	0	0	0	0	162	0	0	0	0	0	0	0	0	190	17
assemblage-814-115	25	101	17	0	0	15	21	0	0	168	0	95	0	0	0	12	0	0	28	2
assemblage-826-115	16	93	11	0	0	15	23	0	0	187	0	96	0	0	0	13	0	0	35	8
assemblage-450-743	0	226	0	0	0	0	0	0	0	96	0	53	0	0	0	0	0	0	73	26
assemblage-608-503	63	44	0	0	0	0	0	0	40	109	0	63	0	0	21	22	10	30	42	25
assemblage-724-995	79	54	29	0	0	0	3	0	30	94	0	60	0	0	0	25	15	20	59	25
assemblage-393-321	0	86	0	0	0	0	0	36	0	159	62	0	71	0	0	0	0	0	78	8
assemblage-209-484	5	207	0	0	0	0	14	0	0	171	0	15	0	0	0	0	0	0	37	20
assemblage-224-778	0	174	0	13	21	0	0	37	0	94	74	0	19	0	0	0	0	0	45	15
