Assemblage_Name	3842726-3196347-5370887	7922401-2-5370887	4272639-3483629-5370887	0-6937903-3	2-3483629-5370887	7697511-8491317-5370887	2227462-3483629-5370887	2-2178646-2	2-2-5370887	2-5616714-5370887	2-3196347-5370887	2-6926804-5370887	2039369-3196347-5370887	4272639-886311-5370887	2-0-1	4-3-1	2-2-3246952	4272639-8491317-5370887	0-9263470-3	251922-3310323-5370887	2862130-3483629-5370887	2039369-3310323-5370887	2163167-2-5370887	4-4-2	0-2686721-7166169	2-2720409-2	0-2686721-8028980	4272639-9708735-5370887
assemblage-677-301	0	53	0	66	16	0	0	25	50	0	5	0	0	0	47	133	32	0	0	0	0	0	11	13	0	0	5	16
assemblage-604-525	0	42	0	76	22	0	0	7	35	0	0	0	0	0	42	156	28	0	0	0	0	0	15	14	0	0	17	12
assemblage-831-655	0	0	0	0	0	0	0	16	215	0	119	0	0	0	0	54	0	0	0	0	0	0	31	0	0	0	0	18
assemblage-810-118	0	0	0	189	67	0	0	0	0	0	26	95	0	0	0	5	0	0	0	0	0	0	0	30	0	40	0	10
assemblage-362-487	0	0	267	118	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	12	0	20
assemblage-909-972	0	12	0	111	10	0	0	12	0	0	60	52	0	0	0	126	0	0	0	0	0	0	0	5	2	69	3	17
assemblage-236-475	0	0	36	134	31	0	0	90	0	0	0	0	40	0	0	0	0	0	0	0	0	113	0	0	0	11	0	31
assemblage-237-956	0	0	30	144	6	0	0	161	23	0	0	0	44	0	0	0	0	0	0	0	0	0	0	36	0	0	0	17
assemblage-933-359	6	0	100	49	133	0	0	42	0	23	0	0	24	0	0	0	0	0	0	0	0	0	0	12	0	91	0	12
assemblage-226-782	0	0	172	97	0	9	0	0	0	0	0	0	0	0	0	0	0	97	59	9	0	14	0	0	0	0	0	19
assemblage-469-755	11	0	168	102	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	18
assemblage-879-838	17	0	202	119	14	0	9	26	0	10	0	0	0	0	0	0	0	0	0	0	33	36	0	0	0	0	0	25
assemblage-821-647	0	0	0	0	0	0	0	18	209	0	125	0	0	0	0	67	0	0	0	0	0	0	37	0	0	0	0	20
assemblage-597-731	0	4	0	132	71	0	0	19	20	0	13	40	0	0	0	16	0	0	0	0	0	0	0	13	40	0	17	20
assemblage-249-343	0	0	163	115	0	0	12	0	0	0	0	0	0	0	0	0	0	0	12	80	11	87	0	0	0	0	0	14
assemblage-383-267	0	0	5	37	190	0	0	64	4	0	0	15	42	0	0	0	0	0	0	0	0	0	0	0	0	94	0	13
assemblage-331-183	0	0	88	176	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	20	0	31	0	0	0	0	0	13
assemblage-894-875	0	0	154	12	31	0	4	54	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	30	0	15
assemblage-268-734	0	0	0	0	0	0	0	0	0	0	9	0	0	0	287	0	0	0	0	0	0	0	0	60	0	0	84	22
assemblage-341-187	0	0	228	66	0	0	0	0	0	0	0	0	0	15	0	0	0	0	97	35	0	0	0	0	0	0	0	37
assemblage-722-982	0	10	0	141	64	0	0	14	28	0	10	11	0	0	0	40	0	0	0	0	0	0	0	87	0	0	52	28
assemblage-367-320	0	0	323	58	0	0	0	0	0	0	0	0	0	0	0	0	0	21	83	0	0	0	0	0	0	0	0	15
assemblage-858-890	0	0	59	244	10	0	0	7	52	0	4	15	4	0	0	32	0	0	0	0	0	0	0	22	0	7	0	35
assemblage-599-945	0	0	0	68	8	0	0	78	34	0	13	34	0	0	51	42	15	0	0	0	0	0	0	94	0	0	0	8
assemblage-357-276	0	0	19	153	14	0	0	169	29	0	0	0	40	0	0	0	0	0	0	0	0	0	0	30	0	0	0	17
assemblage-936-352	0	0	279	18	46	0	0	37	0	0	0	0	6	0	0	0	0	0	0	0	0	16	0	47	0	0	0	17
assemblage-435-396	0	0	0	203	42	0	0	45	20	0	24	0	21	0	0	19	0	0	0	0	0	0	0	55	9	0	0	24
assemblage-564-470	0	0	277	89	0	16	0	0	0	0	0	0	0	0	0	0	0	71	8	0	0	0	0	0	0	0	0	21
assemblage-420-841	0	0	349	91	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	6	18	0	0	0	0	0	21
assemblage-214-177	0	0	282	93	0	13	0	0	0	0	0	0	0	5	0	0	0	73	10	0	0	0	0	0	0	0	0	14
