Assemblage_Name	2-1-3	7991151-4-2	3-1-7890162	3-1-2	3-1-4	2-1-1364777	2-1266148-3	1-4-2	6574511-1-4	2-1-924753
assemblage-255-725	148	8	0	33	92	0	0	164	49	6
assemblage-339-716	163	13	0	110	157	0	0	10	0	13
assemblage-236-475	448	0	0	45	0	0	0	0	0	7
assemblage-868-903	211	0	0	253	0	0	0	0	0	10
assemblage-262-106	334	0	0	0	0	37	121	0	0	8
assemblage-252-346	326	0	0	134	0	0	37	0	0	3
assemblage-755-641	298	0	0	172	13	0	0	0	0	17
assemblage-600-497	274	0	0	96	40	0	0	41	36	7
assemblage-524-131	428	0	0	72	0	0	0	0	0	0
assemblage-821-647	53	0	0	383	30	0	0	11	0	8
assemblage-509-129	454	0	0	31	0	0	0	0	0	2
assemblage-932-368	471	0	0	16	0	0	0	0	0	1
assemblage-234-940	402	0	0	96	0	0	0	0	0	2
assemblage-254-112	378	0	0	0	0	75	37	0	0	7
assemblage-669-934	404	0	0	86	0	0	0	0	0	10
assemblage-358-189	370	0	70	54	0	0	0	0	0	6
assemblage-211-180	378	0	40	17	0	5	52	0	0	6
assemblage-121-343	383	0	0	107	0	0	0	0	0	10
assemblage-421-842	353	0	93	28	0	0	0	0	0	3
assemblage-239-733	163	14	0	38	92	0	0	156	35	2
assemblage-752-603	476	0	0	12	0	0	0	0	0	5
assemblage-814-115	224	0	0	248	22	0	0	0	0	6
assemblage-928-974	330	0	0	136	18	0	0	0	6	2
assemblage-357-276	400	0	0	99	0	0	0	0	0	1
assemblage-732-983	317	0	0	53	128	0	0	0	0	2
assemblage-327-693	299	0	0	200	0	0	0	0	0	1
assemblage-362-702	231	0	0	144	70	0	0	25	7	9
assemblage-213-781	409	0	13	0	0	0	53	0	0	9
assemblage-243-797	324	0	13	27	0	38	69	0	0	2
assemblage-918-974	346	0	0	82	45	0	0	0	0	10
