Assemblage_Name	3-2-9588920	0-4-2030307	4-1-1	0-4-3	5952020-2-1	3273167-4-5224893	0-7576319-5224893	3-8987153-1	0-7907915-5224893	0-4-5224893	0-8685708-5224893	3-4-1	3-2-1	5952020-2-8927447
assemblage-571-457	0	21	0	0	0	0	0	5	38	230	0	0	180	2
assemblage-473-651	0	0	96	51	0	0	0	0	0	249	0	21	77	6
assemblage-618-925	0	0	39	0	0	0	0	0	0	310	0	0	138	13
assemblage-943-355	0	12	31	0	14	0	32	0	0	121	0	0	254	9
assemblage-731-490	6	0	43	0	0	0	0	0	0	203	0	0	209	14
assemblage-352-687	0	0	0	0	0	9	8	3	43	333	0	0	98	6
assemblage-361-291	0	0	28	0	0	0	0	0	0	267	48	0	143	14
assemblage-237-956	0	0	15	0	0	0	0	0	0	192	0	0	275	18
assemblage-939-363	0	35	0	0	12	0	48	0	0	341	0	0	57	7
assemblage-523-751	0	0	25	0	0	0	0	0	0	262	45	0	155	13
assemblage-137-330	0	46	0	0	16	0	57	0	6	323	0	0	49	3
assemblage-879-838	0	218	0	0	0	0	7	31	0	97	0	0	132	1
assemblage-478-642	0	0	109	44	0	0	0	0	0	248	0	9	87	3
assemblage-336-184	0	17	0	0	0	14	0	0	156	256	0	0	47	10
assemblage-412-860	0	11	0	0	0	33	0	0	98	211	0	0	144	3
assemblage-604-735	0	0	9	107	0	0	0	0	0	168	0	0	198	14
assemblage-264-339	0	8	0	0	0	24	0	0	108	196	0	0	157	7
assemblage-110-907	0	0	26	0	0	0	0	0	0	328	0	19	89	22
assemblage-612-728	0	0	83	79	0	0	0	0	0	272	0	0	55	4
assemblage-866-914	0	0	9	6	0	0	0	0	0	249	106	0	113	5
assemblage-620-507	0	0	31	0	0	0	0	0	0	308	0	0	149	12
assemblage-610-770	0	59	0	0	0	0	0	44	7	296	0	0	87	7
assemblage-685-929	0	8	0	0	0	79	0	18	17	331	0	0	20	17
assemblage-463-409	0	0	55	14	50	0	0	0	0	196	0	0	131	13
assemblage-474-731	0	35	0	0	0	0	90	6	0	210	0	0	87	4
assemblage-828-136	15	0	0	114	0	0	0	0	0	226	38	0	68	8
assemblage-621-771	0	12	0	0	0	0	0	0	92	260	0	0	91	17
assemblage-369-692	66	0	52	0	0	0	0	0	0	193	56	0	102	10
assemblage-247-170	0	0	0	0	0	0	0	0	225	204	0	0	70	1
assemblage-395-318	0	7	0	0	0	0	0	13	84	181	0	0	117	3
